hospital_id,hospital_fns_id,region,row_index,21_value,22_value
101100,103,15,8223,39905799,24127007
102100,203,1,8226,65722852,28506829
103100,303,3,8230,80664643,79152302
103101,304,3,8231,31993071,13260920
104100,403,3,8239,37184911,23978052
105100,503,4,8246,49306395,34084510
105101,504,4,8247,47879940,32793232
105102,505,4,8248,36064822,20293925
108100,803,5,8278,24392234,11555045
108101,804,5,8279,19449988,10086527
107101,704,5,8266,27726355,16587744
107100,703,5,8265,73961728,55759352
106100,603,5,8257,65324704,32905612
107102,705,5,8267,21626622,9267415
106102,607,5,8261,16857696,8545169
110120,2708,13,8484,72417001,34646118
109101,2605,13,8473,33927217,15090933
109100,2606,13,8474,72267203,53933894
109103,2607,13,8475,18614634,15708175
109102,2608,13,8476,15486762,6587341
112102,2304,13,8447,34120989,27365592
112106,2307,13,8450,5045731,1849377
110110,27010,13,8486,9232552,10111732
112100,2306,13,8449,52942559,67015555
112104,2308,13,8451,14657122,11361149
112103,2303,13,8446,18587400,25296385
110100,2709,13,8485,72691313,65774777
111195,2405,13,8458,71915289,32346066
112105,2309,13,8452,4380800,1890050
111100,2404,13,8457,78256611,48170014
113130,2505,13,8465,27131886,13900540
113100,2503,13,8463,86210607,68234902
112101,2305,13,8448,32381849,16720828
111101,2406,13,8459,72629935,41843886
114105,2807,13,8494,9095515,6358245
114103,3001,13,8496,50250316,35278797
114101,2805,13,8492,11610047,4358931
113180,2508,13,8468,37915758,20479020
106103,604,5,8258,19328081,11762786
110150,2705,13,8481,18216599,9177507
115100,903,6,8290,74466883,44797561
115107,9010,6,8297,20730938,16717200
116100,1003,7,8307,33387824,28978004
116105,1008,7,8312,79017763,48483608
116108,10011,7,8315,27557520,16312121
117102,1104,16,8323,18438656,9308849
117101,1103,16,8322,64636530,32782736
119101,1304,8,8344,13458962,5221623
119100,1303,8,8343,63893481,44461796
118100,1203,8,8333,121672399,76588191
118105,1205,8,8335,17671078,4915692
118106,1206,8,8336,13807437,5054819
120101,1405,8,8351,4611694,1982485
129100,1603,9,8366,26122756,9955553
129106,1604,9,8367,20962258,9831429
121109,17016,9,8388,88124414,66556286
122100,1803,14,8392,58672291,40479274
123100,1903,10,8403,51691574,30565860
124105,20011,10,8419,85528894,56673035
133150,3302,10,8500,25923666,9410999
125100,2107,11,8428,38668639,17812264
126100,2205,12,8436,49183753,29185353
