hospital_id,hospital_fns_id,region,21_value,22_value,hospital_discharge,diagnostic_tests,surgical_interventions,medical_consultations,GRD
101100,103,15,27302702,16966132,16100,1157269.0,13387.0,2450.0,0.7937
102100,203,1,39576665,19423838,17280,994542.0,20546.0,290.0,0.7792
103100,303,3,41466624,28430399,17711,1275952.0,17302.0,0.0,0.8631
103101,304,3,14710851,8314550,8000,509442.0,3419.0,0.0,0.6568
104100,403,3,24403896,15096365,11048,681309.0,8887.0,0.0,0.751
105100,503,4,26192709,19649343,13131,1114507.0,16652.0,0.0,0.9065
105101,504,4,27329383,18369938,13378,863668.0,15609.0,0.0,0.9849
105102,505,4,15999566,8962984,8960,792431.0,10118.0,0.0,0.6956
106100,603,5,45034968,28639461,24295,1391735.0,15457.0,0.0,1.0014
106102,607,5,11017215,5116721,5632,658432.0,3675.0,0.0,1.0224
106103,604,5,11398652,6553893,7887,666780.0,4718.0,0.0,0.6824
107100,703,5,47220040,39855547,18881,1887079.0,16380.0,0.0,1.1893
107101,704,5,17561446,11696213,9945,1031465.0,9744.0,0.0,0.7353
107102,705,5,15153635,6848820,7140,379618.0,6554.0,1965.0,0.7443
108100,803,5,15380150,7885000,11195,585576.0,10806.0,0.0,0.7936
108101,804,5,12694027,6739997,9208,498568.0,10993.0,0.0,0.7634
109100,2606,13,50458037,30840894,25447,4171073.0,40231.0,0.0,0.8115
109101,2605,13,26533253,11395597,8684,563099.0,8091.0,0.0,1.0498
109102,2608,13,12265532,5210086,2511,57100.0,0.0,0.0,
109103,2607,13,12476524,8169497,2806,306788.0,2878.0,0.0,
110100,2709,13,50732280,40573052,23095,3823129.0,20560.0,194.0,1.0051
110110,27010,13,7076818,7821537,3439,231648.0,7641.0,0.0,1.1858
110120,2708,13,35080259,26871639,16312,1340920.0,18062.0,0.0,0.8239
110150,2705,13,13041486,5548852,6988,593287.0,7365.0,512.0,0.6431
111100,2404,13,54414626,48381619,24768,2811411.0,18004.0,5482.0,0.9022
111101,2406,13,44095278,27684440,17340,1981103.0,10321.0,3866.0,0.9023
111195,2405,13,43316395,25104974,8250,924015.0,8232.0,3085.0,1.2387
112100,2306,13,35756463,46492437,9498,1820439.0,18015.0,0.0,1.205
112101,2305,13,20452277,11085765,15410,73602.0,9064.0,0.0,0.7307
112102,2304,13,23188704,21244488,8161,958249.0,9111.0,0.0,1.3819
112103,2303,13,12042491,16052316,4901,522197.0,2096.0,0.0,1.672
112104,2308,13,11510434,9112487,3975,266926.0,3919.0,0.0,1.6767
112105,2309,13,2894661,1468074,3792,3126.0,0.0,0.0,
112106,2307,13,3273353,990052,990,428.0,0.0,0.0,
113100,2503,13,61428500,40765114,28639,3928749.0,26633.0,4445.0,0.9329
113130,2505,13,17824033,8770461,7120,355198.0,6244.0,0.0,1.1206
113180,2508,13,24345156,11706309,14153,1245379.0,9954.0,0.0,0.7777
114101,2805,13,84219123,50353809,40888,3053957.0,35297.0,8918.0,0.9634
114103,3001,13,37233369,19857190,18989,2159726.0,11844.0,884.0,0.7808
114105,2807,13,40374120,32187984,15382,824115.0,12733.0,2323.0,0.8561
115100,903,6,46631674,35042623,18467,1866884.0,19163.0,5205.0,1.0119
115107,9010,6,12580936,8748584,9000,521510.0,7623.0,0.0,0.7833
116100,1003,7,22796232,16272144,13978,2163509.0,15082.0,352.0,0.7971
116105,1008,7,51581216,31019580,22744,2810727.0,20399.0,0.0,1.0011
116108,10011,7,18841724,9170788,13611,959933.0,11679.0,0.0,0.7844
117101,1103,16,41241309,23104577,19237,1608671.0,18412.0,1044.0,0.8578
117102,1104,16,11675669,5955066,6449,388002.0,6470.0,6699.0,0.6931
118100,1203,8,78370653,54640155,31217,3000794.0,28491.0,36255.0,1.0926
118105,1205,8,11113391,3137289,7100,642470.0,5171.0,13897.0,0.5976
118106,1206,8,8934338,3298815,4671,510379.0,2907.0,12097.0,
119100,1303,8,40733467,29403993,20066,2075769.0,18408.0,0.0,0.9247
119101,1304,8,7790642,2800876,3977,454742.0,3494.0,6454.0,
120101,1405,8,3038063,1442881,25257,2427218.0,19503.0,3370.0,0.8426
121109,17016,9,60287182,53265696,30998,3090923.0,23588.0,4631.0,1.0096
122100,1803,14,38382355,32554523,19718,2026464.0,17450.0,1926.0,0.8997
123100,1903,10,35541318,19977484,15545,1602721.0,16123.0,0.0,0.8473
124105,20011,10,54021029,36787819,22539,1746742.0,18541.0,0.0,0.9052
125100,2107,11,28168891,12575417,8839,777431.304,5070.0,0.0,0.7896
126100,2205,12,32374616,20652296,11743,794462.0,9523.0,0.0,0.9591
129100,1603,9,12865662,4963823,7451,424492.05,4511.0,5562.0,0.6425
129106,1604,9,13141401,6090898,7296,459973.0,5049.0,1646.0,0.7209
133150,3302,10,17695879,6591644,7024,492229.0,6324.0,2495.0,0.8353
