hospital_id,hospital_fns_id,region,21_value,22_value,hospital_discharge,diagnostic_tests,surgical_interventions,medical_consultations,21_value_normalized,22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,GRD
101100,103,15,34916658.69,20392702.9,15597,972059.0,11213.0,2740.0,0.27,0.25,0.34,0.21,0.23,0.05,0.77
102100,203,1,46544251.42,23567682.55,17090,913875.0,13011.0,2349.0,0.37,0.29,0.37,0.2,0.27,0.05,0.75
103100,303,3,51297140.99,26660749.33,18738,1083407.0,15286.0,0.0,0.41,0.33,0.41,0.24,0.32,0.0,0.84
103101,304,3,18964690.44,7451406.83,7858,465478.0,3187.0,0.0,0.14,0.08,0.17,0.1,0.07,0.0,0.61
104100,403,3,30544324.33,19143233.83,10436,519166.0,7733.0,0.0,0.24,0.23,0.23,0.11,0.16,0.0,0.72
105100,503,4,29282504.25,21390532.51,14128,1077647.0,12857.0,0.0,0.23,0.26,0.31,0.24,0.27,0.0,0.84
105101,504,4,32675966.23,21454046.42,13734,717322.0,14338.0,0.0,0.26,0.26,0.3,0.16,0.3,0.0,0.92
105102,505,4,18822049.02,9327138.18,9406,682217.1,9011.0,0.0,0.14,0.11,0.2,0.15,0.19,0.0,0.67
106100,603,5,55487514.79,37288061.77,25637,1338496.0,17013.0,0.0,0.45,0.46,0.56,0.29,0.35,0.0,0.95
106102,607,5,13191230.7,7210769.22,5036,1588944.0,3372.0,0.0,0.09,0.08,0.11,0.35,0.07,0.0,1.03
106103,604,5,14043118.78,8396460.26,9518,596721.0,5102.0,0.0,0.1,0.1,0.21,0.13,0.11,0.0,0.65
107100,703,5,57238574.47,49201768.74,22146,2084833.0,17054.0,0.0,0.46,0.62,0.48,0.46,0.35,0.0,1.15
107101,704,5,20578703.42,13130647.72,11513,910442.0,9566.0,0.0,0.15,0.16,0.25,0.2,0.2,0.0,0.72
107102,705,5,17386327.3,7322648.67,7287,365105.0,5360.0,0.0,0.13,0.08,0.16,0.08,0.11,0.0,0.68
108100,803,5,18958702.52,9011986.31,11421,527650.0,9910.0,0.0,0.14,0.1,0.25,0.12,0.21,0.0,0.74
108101,804,5,15477456.83,8385557.45,9361,503916.0,9549.0,0.0,0.11,0.1,0.2,0.11,0.2,0.0,0.7
109100,2606,13,60785337.55,40857680.97,27599,3770824.0,45800.0,0.0,0.49,0.51,0.6,0.82,0.95,0.0,0.79
109101,2605,13,33273444.5,15754622.21,8479,548040.0,7954.0,0.0,0.26,0.19,0.18,0.12,0.17,0.0,1.05
109102,2608,13,14268872.15,7393378.09,2605,22616.0,0.0,0.0,0.1,0.08,0.05,0.0,0.0,0.0,
109103,2607,13,12423941.79,11676666.62,2845,282677.0,2069.0,0.0,0.09,0.14,0.06,0.06,0.04,0.0,
110100,2709,13,59881357.62,56161449.27,23760,3609216.0,19543.0,30.0,0.48,0.71,0.52,0.79,0.41,0.0,1.0
110110,27010,13,8928704.78,9751681.29,3630,233976.0,7755.0,0.0,0.06,0.11,0.08,0.05,0.16,0.0,1.2
110120,2708,13,39463187.32,31130105.91,14695,1044591.0,15069.0,0.0,0.31,0.39,0.32,0.23,0.31,0.0,0.77
110150,2705,13,15485019.01,6871508.12,7097,474051.0,6514.0,482.0,0.11,0.08,0.15,0.1,0.14,0.01,0.63
111100,2404,13,67018498.01,70067704.45,22123,2552721.0,16693.0,5598.0,0.54,0.88,0.48,0.56,0.35,0.11,0.87
111101,2406,13,45228272.98,28452739.93,14299,1478959.0,8536.0,1433.0,0.36,0.35,0.31,0.32,0.18,0.03,0.77
111195,2405,13,49382344.12,26010650.95,7712,751555.0,7957.0,3579.0,0.4,0.32,0.17,0.16,0.17,0.07,1.22
112100,2306,13,43769749.17,62445636.06,18986,1750036.0,19665.0,0.0,0.35,0.79,0.41,0.38,0.41,0.0,1.14
112101,2305,13,24025384.3,17543947.51,17138,71153.0,8694.0,0.0,0.18,0.21,0.37,0.02,0.18,0.0,0.68
112102,2304,13,28538080.46,28209045.33,9172,907005.0,8804.0,0.0,0.22,0.35,0.2,0.2,0.18,0.0,1.26
112103,2303,13,14739241.56,20192484.46,4621,476662.0,1728.0,0.0,0.11,0.25,0.1,0.1,0.04,0.0,1.71
112104,2308,13,14355363.74,11666937.38,3797,244060.0,2878.0,0.0,0.1,0.14,0.08,0.05,0.06,0.0,1.73
112105,2309,13,3471884.14,2342749.63,3561,3864.0,4.0,0.0,0.01,0.02,0.08,0.0,0.0,0.0,
