hospital_id,hospital_discharge,diagnostic_tests,surgical_interventions,medical_consultations,GRD
102100,15713,0.0,0.0,1886.0,0.9486
103101,9146,0.0,0.0,0.0,0.9312
103100,16654,0.0,0.0,0.0,1.1642
104100,10434,0.0,0.0,0.0,0.8541
105102,7028,0.0,0.0,0.0,0.9239
105101,11531,0.0,0.0,0.0,1.06
105100,10610,0.0,0.0,0.0,1.0353
106103,5403,0.0,0.0,0.0,0.7693
106102,3628,0.0,0.0,0.0,1.2613
107102,6106,0.0,0.0,1186.0,0.8274
106100,12749,0.0,0.0,0.0,1.1529
107100,16476,0.0,0.0,0.0,1.2488
107101,7828,0.0,0.0,0.0,0.8968
108101,6807,0.0,0.0,0.0,0.9108
108100,8460,0.0,0.0,0.0,0.9293
115107,5981,0.0,0.0,0.0,1.0019
115100,19075,0.0,0.0,7353.0,1.1737
116108,10025,0.0,0.0,0.0,0.9013
116105,22417,0.0,0.0,0.0,1.1496
116100,11726,0.0,0.0,0.0,0.9228
120101,19704,0.0,0.0,2813.0,0.9865
118106,3064,0.0,0.0,3153.0,0.7684
119101,2680,0.0,0.0,574.0,0.8295
119100,15817,0.0,0.0,0.0,1.0611
118100,22485,0.0,0.0,11638.0,1.2976
121109,21485,0.0,0.0,5242.0,1.1538
129100,5736,0.0,0.0,7233.0,0.8299
129106,5154,0.0,0.0,2786.0,0.8801
123100,13559,0.0,0.0,0.0,0.9724
124105,19900,0.0,0.0,5299.0,1.0634
133150,5828,0.0,0.0,1639.0,0.8367
125100,7014,0.0,0.0,0.0,0.9257
126100,7945,0.0,0.0,0.0,1.1723
109103,2411,0.0,0.0,0.0,1.156
111195,8789,0.0,0.0,3921.0,1.6671
113130,4865,0.0,0.0,2303.0,1.1478
113100,26714,0.0,0.0,7307.0,1.0949
112101,13910,0.0,0.0,0.0,0.8725
111101,14797,0.0,0.0,4477.0,1.1488
114105,13417,0.0,0.0,2244.0,1.1274
114103,14097,0.0,0.0,1852.0,0.9737
114101,32035,0.0,0.0,0.0,1.1491
113180,11828,0.0,0.0,0.0,0.9676
110150,5921,0.0,0.0,1946.0,0.7671
110100,16896,0.0,0.0,62.0,1.2862
112103,2848,0.0,0.0,0.0,2.3067
111100,16936,0.0,0.0,5149.0,1.0091
109100,21955,0.0,0.0,0.0,0.9686
109101,4966,0.0,0.0,0.0,1.3251
110120,14910,0.0,0.0,0.0,1.0216
109102,1738,0.0,0.0,0.0,
112104,2446,0.0,0.0,0.0,1.9684
112102,5308,0.0,0.0,0.0,1.6276
112106,1185,0.0,0.0,0.0,
110110,3143,0.0,0.0,0.0,1.25
112105,802,0.0,0.0,0.0,
112100,10078,0.0,0.0,0.0,1.4069
122100,15258,0.0,0.0,4299.0,1.0516
101100,13845,0.0,0.0,2583.0,0.9804
117102,5834,0.0,0.0,2434.0,0.7874
117101,15819,0.0,0.0,3196.0,0.9798
118105,5124,0.0,0.0,6956.0,0.6961
