hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input,te_output,te_directional
101100,0.32,0.3,0.32,0.37,0.28,0.08,NA,0.189,5.279,0.681
102100,0.53,0.35,0.35,0.41,0.28,0.05,NA,0.082,12.202,0.849
103100,0.66,1,0.4,0.55,0.31,0,NA,0.035,28.742,0.933
103101,0.25,0.16,0.18,0.21,0.1,0,NA,0.033,30.556,0.937
104100,0.29,0.29,0.24,0.22,0.2,0,NA,0.051,19.575,0.903
105100,0.39,0.42,0.25,0.35,0.22,0,NA,0.042,23.932,0.92
105101,0.38,0.41,0.26,0.24,0.26,0,NA,0.051,19.731,0.904
105102,0.28,0.25,0.16,0.33,0.16,0,NA,0.042,23.625,0.919
106100,0.53,0.41,0.3,0.33,0.18,0,NA,0.026,38.867,0.95
106102,0.12,0.1,0.07,0.11,0.06,0,NA,0.037,27,0.929
106103,0.14,0.14,0.13,0.15,0.06,0,NA,0.042,23.692,0.919
107100,0.6,0.7,0.35,0.39,0.25,0,NA,0.031,32.4,0.94
107101,0.21,0.2,0.17,0.23,0.16,0,NA,0.056,17.719,0.893
107102,0.16,0.11,0.13,0.11,0.09,0.03,NA,0.137,7.293,0.759
108100,0.19,0.14,0.17,0.21,0.14,0,NA,0.055,18.321,0.896
108101,0.14,0.12,0.15,0.14,0.16,0,NA,0.085,11.812,0.844
109100,0.59,0.68,0.47,0.78,0.73,0,NA,0.092,10.911,0.832
109101,0.27,0.18,0.12,0.14,0.13,0,NA,0.036,28.038,0.931
109102,0.11,0.07,0.04,0.02,0,0,NA,0.017,60.5,0.967
109103,0.14,0.19,0.06,0.08,0.07,0,NA,0.037,27,0.929
110100,0.59,0.83,0.39,0.89,0.32,0,NA,0.044,22.539,0.915
110110,0.06,0.12,0.06,0.05,0.12,0,NA,0.148,6.75,0.742
110120,0.59,0.43,0.4,0.46,0.43,0,NA,0.054,18.523,0.898
110150,0.13,0.11,0.13,0.16,0.1,0.02,NA,0.129,7.766,0.772
111100,0.64,0.6,0.16,0.31,0.16,0.09,NA,0.094,10.667,0.829
111101,0.59,0.52,0.33,0.57,0.24,0.16,NA,0.177,5.656,0.7
111195,0.58,0.4,0.23,0.37,0.21,0.11,NA,0.128,7.828,0.773
112100,0.43,0.84,0.22,0.49,0.33,0,NA,0.057,17.591,0.892
112101,0.25,0.2,0.29,0.02,0.14,0,NA,0.053,18.966,0.9
112102,0.27,0.34,0.15,0.18,0.15,0,NA,0.041,24.3,0.921
112103,0.14,0.31,0.07,0.14,0.04,0,NA,0.029,34,0.943
112104,0.1,0.13,0.06,0.07,0.06,0,NA,0.044,22.5,0.915
112105,0.02,0.01,0,0,0,0,NA,0,1e+30,1
112106,0.02,0.01,0.03,0,0,0,NA,0.068,14.667,0.872
113100,0.7,0.86,0.61,0.78,0.47,0.17,NA,0.175,5.728,0.703
113130,0.21,0.17,0.14,0.09,0.1,0.04,NA,0.134,7.448,0.763
113180,0.3,0.25,0.26,0.35,0.17,0,NA,0.042,23.824,0.919
114101,0.08,0.04,0.81,0.82,0.7,0,NA,0.648,1.543,0.213
114103,0.4,0.44,0.29,0.49,0.16,0.03,NA,0.069,14.585,0.872
114105,0.06,0.07,0.31,0.25,0.21,0.06,NA,0.758,1.32,0.138
115100,0.61,0.56,0.42,0.63,0.4,0.12,NA,0.147,6.788,0.743
115107,0.16,0.2,0.13,0.2,0.14,0,NA,0.065,15.429,0.878
116100,0.26,0.36,0.23,0.53,0.21,0,NA,0.06,16.679,0.887
116105,0.64,0.61,0.49,0.88,0.44,0,NA,0.051,19.636,0.903
116108,0.21,0.2,0.21,0.35,0.2,0,NA,0.071,14.175,0.868
117101,0.52,0.41,0.36,0.5,0.36,0.06,NA,0.103,9.739,0.814
117102,0.14,0.11,0.13,0.16,0.11,0,NA,0.058,17.182,0.89
118100,1,0.97,0.56,0.92,0.49,0.35,NA,0.226,4.418,0.631
118105,0.13,0.05,0.11,0.15,0.04,0.19,NA,1,1,0
118106,0.1,0.05,0.06,0.14,0.05,0.17,NA,1,1,0
119100,0.52,0.56,0.34,0.62,0.32,0,NA,0.046,21.938,0.913
119101,0.09,0.06,0.06,0.16,0.05,0.03,NA,0.228,4.392,0.629
120101,0.02,0.01,0.44,0.68,0.27,0.01,NA,1,1,0
121109,0.72,0.84,0.47,0.67,0.37,0.14,NA,0.139,7.219,0.757
122100,0.47,0.51,0.32,0.46,0.29,0.15,NA,0.215,4.643,0.646
123100,0.41,0.38,0.31,0.56,0.26,0,NA,0.047,21.288,0.91
124105,0.7,0.71,0.46,0.54,0.34,0.06,NA,0.075,13.375,0.861
125100,0.31,0.22,0.15,0.29,0.08,0,NA,0.028,36.345,0.946
126100,0.39,0.36,0.2,0.23,0.17,0,NA,0.032,30.971,0.937
129100,0.2,0.12,0.15,0.19,0.12,0.15,NA,0.461,2.168,0.369
129106,0.16,0.11,0.12,0.15,0.09,0.08,NA,0.316,3.164,0.52
133150,0.2,0.11,0.12,0.17,0.13,0.05,NA,0.178,5.633,0.698
