hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input_grd,te_output_grd,te_directional_grd
101100,0.27,0.25,0.34,0.21,0.23,0.05,0.77,0.442,1.341,0.208
102100,0.37,0.29,0.37,0.2,0.27,0.05,0.75,0.364,1.548,0.26
103100,0.41,0.33,0.41,0.24,0.32,0,0.84,0.42,1.68,0.28
103101,0.14,0.08,0.17,0.1,0.07,0,0.61,0.332,1.12,0.18
104100,0.24,0.23,0.23,0.11,0.16,0,0.72,0.303,1.711,0.294
105100,0.23,0.26,0.31,0.24,0.27,0,0.84,0.578,1.221,0.155
105101,0.26,0.26,0.3,0.16,0.3,0,0.92,0.571,1.482,0.215
105102,0.14,0.11,0.2,0.15,0.19,0,0.67,0.556,0.807,0.062
106100,0.45,0.46,0.56,0.29,0.35,0,0.95,0.491,1.836,0.302
106102,0.09,0.08,0.11,0.35,0.07,0,1.03,1.03,1.03,0
106103,0.1,0.1,0.21,0.13,0.11,0,0.65,0.548,0.771,0.055
107100,0.46,0.62,0.48,0.46,0.35,0,1.15,0.577,2.293,0.382
107101,0.15,0.16,0.25,0.2,0.2,0,0.72,0.602,0.861,0.064
107102,0.13,0.08,0.16,0.08,0.11,0,0.68,0.433,1.067,0.151
108100,0.14,0.1,0.25,0.12,0.21,0,0.74,0.723,0.758,0.009
108101,0.11,0.1,0.2,0.11,0.2,0,0.7,0.7,0.7,0
109100,0.49,0.51,0.6,0.82,0.95,0,0.79,0.79,0.79,0
109101,0.26,0.19,0.18,0.12,0.17,0,1.05,0.424,2.602,0.446
109102,0.1,0.08,0.05,0,0,0,NA,NA,NA,NA
109103,0.09,0.14,0.06,0.06,0.04,0,NA,NA,NA,NA
110100,0.48,0.71,0.52,0.79,0.41,0,1,0.631,1.585,0.226
110110,0.06,0.11,0.08,0.05,0.16,0,1.2,1.2,1.2,0
110120,0.31,0.39,0.32,0.23,0.31,0,0.77,0.414,1.43,0.231
110150,0.11,0.08,0.15,0.1,0.14,0.01,0.63,0.498,0.797,0.074
111100,0.54,0.88,0.48,0.56,0.35,0.11,0.87,0.405,1.87,0.318
111101,0.36,0.35,0.31,0.32,0.18,0.03,0.77,0.318,1.863,0.32
111195,0.4,0.32,0.17,0.16,0.17,0.07,1.22,0.322,4.614,0.71
112100,0.35,0.79,0.41,0.38,0.41,0,1.14,0.72,1.805,0.258
112101,0.18,0.21,0.37,0.02,0.18,0,0.68,0.458,1.009,0.133
112102,0.22,0.35,0.2,0.2,0.18,0,1.26,0.602,2.638,0.446
112103,0.11,0.25,0.1,0.1,0.04,0,1.71,0.614,4.762,0.807
112104,0.1,0.14,0.08,0.05,0.06,0,1.73,0.604,4.955,0.834
112105,0.01,0.02,0.08,0,0,0,NA,NA,NA,NA
112106,0.02,0.01,0.02,0,0,0,NA,NA,NA,NA
113100,0.61,0.67,0.59,0.72,0.5,0.13,0.91,0.508,1.632,0.258
113130,0.16,0.12,0.15,0.08,0.14,0,1.07,0.575,1.993,0.323
113180,0.23,0.19,0.33,0.24,0.19,0,0.78,0.506,1.201,0.165
114101,0.82,0.71,0.9,0.61,0.65,0.17,0.86,0.459,1.611,0.261
114103,0.34,0.33,0.42,0.4,0.23,0.02,0.67,0.38,1.182,0.185
114105,0.39,0.43,0.25,0.23,0.2,0.05,0.88,0.292,2.651,0.442
115100,0.4,0.52,0.4,0.35,0.4,0.13,0.95,0.531,1.7,0.269
115107,0.1,0.09,0.19,0.08,0.16,0,0.68,0.641,0.721,0.02
116100,0.21,0.23,0.3,0.42,0.3,0.38,0.76,0.76,0.76,0
116105,0.43,0.44,0.42,0.52,0.33,0,0.94,0.518,1.707,0.273
116108,0.17,0.11,0.33,0.18,0.23,0.07,0.72,0.713,0.727,0.004
117101,0.4,0.35,0.45,0.32,0.4,0,0.8,0.488,1.311,0.194
117102,0.09,0.07,0.15,0.08,0.13,0,0.71,0.637,0.791,0.038
118100,0.76,0.88,0.66,0.74,0.48,0.11,1.01,0.457,2.233,0.381
118105,0.1,0.03,0.15,0.12,0.1,0.35,0.57,0.57,0.57,0
118106,0.07,0.03,0.11,0.09,0.06,0.25,NA,NA,NA,NA
119100,0.4,0.46,0.45,0.39,0.34,0,0.83,0.456,1.512,0.242
119101,0.06,0.03,0.08,0.09,0.09,0.14,NA,NA,NA,NA
120101,0.44,0.51,0.55,0.47,0.35,0,0.74,0.417,1.314,0.206
121109,0.61,0.75,0.75,0.71,0.48,0.08,0.95,0.541,1.667,0.26
122100,0.38,0.44,0.44,0.42,0.31,0.04,0.87,0.492,1.541,0.242
123100,0.35,0.31,0.35,0.29,0.32,0,0.8,0.452,1.415,0.222
124105,0.5,0.51,0.49,0.32,0.33,0,0.86,0.378,1.954,0.335
125100,0.28,0.16,0.19,0.22,0.12,0,0.76,0.313,1.846,0.317
126100,0.3,0.28,0.26,0.14,0.16,0,0.85,0.314,2.306,0.392
129100,0.12,0.07,0.16,0.08,0.11,0,0.62,0.438,0.877,0.107
129106,0.13,0.09,0.16,0.08,0.11,0.04,0.7,0.425,1.154,0.171
133150,0.16,0.08,0.16,0.09,0.12,0.08,0.79,0.468,1.333,0.202
