hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input,te_output,te_directional
109100,0.49,0.51,0.6,0.82,0.95,0,0.79,1,1,0
109101,0.26,0.19,0.18,0.12,0.17,0,1.05,0.51,1.959,0.324
109102,0.1,0.08,0.05,0,0,0,NA,0.156,6.4,0.73
109103,0.09,0.14,0.06,0.06,0.04,0,NA,0.421,2.377,0.408
110100,0.48,0.71,0.52,0.79,0.41,0,1,0.983,1.017,0.008
110110,0.06,0.11,0.08,0.05,0.16,0,1.2,1,1,0
110120,0.31,0.39,0.32,0.23,0.31,0,0.77,0.539,1.857,0.3
110150,0.11,0.08,0.15,0.1,0.14,0.01,0.63,1,1,0
111100,0.54,0.88,0.48,0.56,0.35,0.11,0.87,0.956,1.046,0.023
111101,0.36,0.35,0.31,0.32,0.18,0.03,0.77,0.723,1.383,0.161
111195,0.4,0.32,0.17,0.16,0.17,0.07,1.22,0.914,1.095,0.045
112100,0.35,0.79,0.41,0.38,0.41,0,1.14,0.696,1.437,0.179
112101,0.18,0.21,0.37,0.02,0.18,0,0.68,0.749,1.336,0.144
112102,0.22,0.35,0.2,0.2,0.18,0,1.26,0.574,1.743,0.271
112103,0.11,0.25,0.1,0.1,0.04,0,1.71,0.574,1.743,0.271
112104,0.1,0.14,0.08,0.05,0.06,0,1.73,0.358,2.793,0.473
112105,0.01,0.02,0.08,0,0,0,NA,1,1,0
112106,0.02,0.01,0.02,0,0,0,NA,0.5,2,0.333
113100,0.61,0.67,0.59,0.72,0.5,0.13,0.91,1,1,0
113130,0.16,0.12,0.15,0.08,0.14,0,1.07,0.673,1.485,0.195
113180,0.23,0.19,0.33,0.24,0.19,0,0.78,0.977,1.023,0.011
114101,0.82,0.71,0.9,0.61,0.65,0.17,0.86,1,1,0
114103,0.34,0.33,0.42,0.4,0.23,0.02,0.67,0.9,1.111,0.053
114105,0.39,0.43,0.25,0.23,0.2,0.05,0.88,0.615,1.625,0.238
