hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input_grd,te_output_grd,te_directional_grd
109100,0.57,0.65,0.48,0,0,0,0.97,0.599,1.57,0.229
109101,0.27,0.18,0.11,0,0,0,1.33,0.488,3.627,0.616
109102,0.11,0.08,0.04,0,0,0,NA,NA,NA,NA
109103,0.13,0.14,0.05,0,0,0,1.16,0.327,4.112,0.65
110100,0.57,0.76,0.37,0,0,0,1.29,0.614,2.71,0.458
110110,0.06,0.11,0.07,0,0,0,1.25,1.07,1.461,0.098
110120,0.5,0.38,0.33,0,0,0,1.02,0.573,1.814,0.286
110150,0.13,0.09,0.13,0,0,0.04,0.77,0.77,0.77,0
111100,0.62,0.67,0.37,0,0,0.1,1.01,0.583,1.749,0.271
111101,0.54,0.49,0.32,0,0,0.09,1.15,0.666,1.986,0.307
111195,0.47,0.35,0.19,0,0,0.08,1.67,0.924,3.019,0.481
112100,0.42,0.98,0.22,0,0,0,1.41,0.541,3.67,0.627
112101,0.22,0.23,0.3,0,0,0,0.87,0.87,0.87,0
112102,0.26,0.32,0.11,0,0,0,1.63,0.505,5.253,0.857
112103,0.12,0.29,0.06,0,0,0,2.31,0.848,6.299,1.07
112104,0.1,0.13,0.05,0,0,0,1.97,0.723,5.372,0.912
112105,0.02,0.01,0.02,0,0,0,NA,NA,NA,NA
112106,0.02,0.01,0.02,0,0,0,NA,NA,NA,NA
113100,0.68,0.8,0.58,0,0,0.14,1.09,0.876,1.356,0.119
113130,0.21,0.15,0.1,0,0,0.04,1.15,0.712,1.857,0.27
113180,0.28,0.25,0.26,0,0,0,0.97,0.714,1.318,0.147
114101,0.98,0.99,0.7,0,0,0,1.15,0.613,2.157,0.351
114103,0.39,0.37,0.31,0,0,0.04,0.97,0.652,1.444,0.19
114105,0.48,0.68,0.29,0,0,0.04,1.13,0.582,2.193,0.362
