MODEL;S_MODEL;hospital_id;X21_value_normalized;X22_value_normalized;hospital_discharge_normalized;diagnostic_tests_normalized;surgical_interventions_normalized;medical_consultations_normalized;grd;te_input;te_output;te_directional
M_NIRS_2014;M;101100;0.25;0.21;0.3;0.19;0.2;0.06;0.73;0.706;1.288;0.147
M_NIRS_2014;M;102100;0.36;0.3;0.32;0.18;0.25;0.04;0.76;0.523;1.524;0.264
M_NIRS_2014;M;103100;0.39;0.3;0.36;0.21;0.29;0;0.83;0.604;1.339;0.183
M_NIRS_2014;M;103101;0.13;0.05;0.12;0.09;0.04;0;0.62;0.662;1.325;0.182
M_NIRS_2014;M;104100;0.22;0.21;0.21;0.11;0.15;0;0.74;0.534;1.738;0.303
M_NIRS_2014;M;105100;0.22;0.27;0.29;0.25;0.27;0;0.83;0.83;1.166;0.084
M_NIRS_2014;M;105101;0.25;0.27;0.28;0.15;0.34;0;0.91;0.77;1.279;0.126
M_NIRS_2014;M;105102;0.13;0.1;0.17;0.13;0.16;0;0.65;0.789;1.258;0.118
M_NIRS_2014;M;106100;0.44;0.42;0.54;0.24;0.31;0;0.92;0.819;1.161;0.085
M_NIRS_2014;M;106102;0.09;0.07;0.07;0.35;0.05;0;0.98;1;1;0
M_NIRS_2014;M;106103;0.09;0.09;0.16;0.1;0.07;0;0.64;1;1;0
M_NIRS_2014;M;107100;0.44;0.6;0.43;0.41;0.29;0;1.1;0.683;1.375;0.177
M_NIRS_2014;M;107101;0.14;0.14;0.2;0.26;0.18;0;0.72;0.993;1.007;0.004
M_NIRS_2014;M;107102;0.12;0.08;0.11;0.09;0.11;0;0.65;0.627;1.576;0.229
M_NIRS_2014;M;108100;0.14;0.1;0.22;0.11;0.22;0;0.77;1;1;0
M_NIRS_2014;M;108101;0.1;0.08;0.17;0.11;0.17;0;0.7;1;1;0
M_NIRS_2014;M;109100;0.48;0.61;0.6;0.79;0.89;0;0.75;1;1;0
M_NIRS_2014;M;109101;0.25;0.17;0.14;0.1;0.15;0;1.03;0.395;2.12;0.429
M_NIRS_2014;M;110100;0.46;0.72;0.49;0.74;0.42;0;0.97;0.947;1.037;0.022
M_NIRS_2014;M;110120;0.3;0.31;0.29;0.19;0.26;0;0.75;0.567;1.554;0.25
