hospital_id,hospital_fns_id,region,row_index,21_value,22_value
101100,103,15,8195,36666453,22610577
102100,203,1,8198,50593476,22542086
103100,303,3,8202,72713992,58421587
103101,304,3,8203,29206747,13406369
104100,403,3,8211,30935922,19262895
105100,503,4,8218,39677943,25996929
105101,504,4,8219,42124891,25849170
105102,505,4,8220,31545087,15982324
108100,803,5,8250,21192911,9689381
108101,804,5,8251,17133722,8979426
107101,704,5,8238,22939929,17201007
107100,703,5,8237,63448444,56035495
106100,603,5,8229,55729668,31398383
107102,705,5,8239,19335026,10228260
106102,607,5,8233,13850893,8599123
110120,2708,13,8455,57370976,28615832
109101,2605,13,8444,32194763,13792318
109100,2606,13,8445,66097123,48052916
112102,2304,13,8418,30779397,24100152
112100,2306,13,8420,49046468,72476716
112104,2308,13,8422,13380060,10426242
112103,2303,13,8417,15940491,22117463
110100,2709,13,8456,65140354,56204172
111195,2405,13,8429,54516968,26228418
111100,2404,13,8428,71731590,49630187
113130,2505,13,8436,25155418,12164222
113100,2503,13,8434,77802979,59568622
112101,2305,13,8419,26360265,17422394
111101,2406,13,8430,62283071,36391847
114103,3001,13,8467,45969194,28243902
114101,2805,13,8462,111125367,73082444
113180,2508,13,8439,33579922,18782242
106103,604,5,8230,13931330,7955457
110150,2705,13,8452,16584128,7683504
115100,903,6,8262,65696442,39467625
115107,9010,6,8269,17238737,13955989
116100,1003,7,8279,29055962,23233345
116105,1008,7,8284,68871066,42097766
116108,10011,7,8287,24382729,13343015
117102,1104,16,8295,16314249,7639487
117101,1103,16,8294,56105971,29989268
119100,1303,8,8315,55960267,37508006
118100,1203,8,8305,104027944,64952563
118105,1205,8,8307,14696616,4693738
120101,1405,8,8323,4112173,1854248
129100,1603,9,8338,21169088,8589320
129106,1604,9,8339,18628624,7946065
121109,17016,9,8360,79170596,64664442
122100,1803,14,8363,49906891,38923057
123100,1903,10,8374,46211245,29381733
124105,20011,10,8390,75943962,50918757
133150,3302,10,8471,22558213,7819690
125100,2107,11,8399,34761656,15935599
126100,2205,12,8407,44747978,25644951
