DMUs,region,GRD,period,21_value_normalized,22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized
101100,15,0.73,2014,0.25,0.21,0.3,0.19,0.2,0.06
113130,13,1.03,2014,0.15,0.12,0.12,0.06,0.13,0.0
111100,13,0.86,2014,0.53,0.74,0.5,0.56,0.32,0.12
111195,13,1.16,2014,0.4,0.3,0.14,0.17,0.16,0.08
110100,13,0.97,2014,0.46,0.72,0.49,0.74,0.42,0.0
112103,13,1.71,2014,0.09,0.23,0.05,0.09,0.01,0.0
112104,13,1.76,2014,0.09,0.15,0.03,0.03,0.03,0.0
112100,13,1.14,2014,0.35,0.81,0.33,0.45,0.31,0.0
133150,10,0.75,2014,0.14,0.07,0.11,0.08,0.1,0.07
112102,13,1.21,2014,0.21,0.39,0.15,0.19,0.18,0.0
109100,13,0.75,2014,0.48,0.61,0.6,0.79,0.89,0.0
109101,13,1.03,2014,0.25,0.17,0.14,0.1,0.15,0.0
110120,13,0.75,2014,0.3,0.31,0.29,0.19,0.26,0.0
106102,5,0.98,2014,0.09,0.07,0.07,0.35,0.05,0.0
107102,5,0.65,2014,0.12,0.08,0.11,0.09,0.11,0.0
106100,5,0.92,2014,0.44,0.42,0.54,0.24,0.31,0.0
125100,11,0.82,2014,0.24,0.17,0.14,0.19,0.09,0.0
107100,5,1.1,2014,0.44,0.6,0.43,0.41,0.29,0.0
107101,5,0.72,2014,0.14,0.14,0.2,0.26,0.18,0.0
108101,5,0.7,2014,0.1,0.08,0.17,0.11,0.17,0.0
124105,10,0.83,2014,0.42,0.43,0.41,0.27,0.26,0.0
113100,13,0.92,2014,0.62,0.68,0.57,0.67,0.48,0.13
112101,13,0.71,2014,0.18,0.19,0.36,0.01,0.16,0.0
111101,13,0.74,2014,0.24,0.31,0.11,0.04,0.07,0.0
129106,9,0.67,2014,0.12,0.06,0.11,0.07,0.08,0.0
129100,9,0.62,2014,0.11,0.06,0.12,0.07,0.08,0.0
120101,8,0.74,2014,0.42,0.47,0.53,0.43,0.34,0.0
118105,8,0.56,2014,0.09,0.03,0.12,0.1,0.09,0.27
118100,8,0.93,2014,0.74,0.76,0.74,0.72,0.52,0.12
119100,8,0.86,2014,0.39,0.48,0.47,0.36,0.35,0.0
122100,14,0.84,2014,0.38,0.39,0.42,0.4,0.38,0.03
117101,16,0.78,2014,0.37,0.33,0.43,0.32,0.37,0.0
117102,16,0.66,2014,0.08,0.05,0.09,0.07,0.1,0.0
108100,5,0.77,2014,0.14,0.1,0.22,0.11,0.22,0.0
116108,7,0.71,2014,0.16,0.11,0.28,0.17,0.24,0.08
116100,7,0.76,2014,0.2,0.17,0.27,0.39,0.26,0.42
115107,6,0.69,2014,0.1,0.09,0.15,0.07,0.13,0.0
115100,6,0.95,2014,0.39,0.46,0.36,0.31,0.34,0.06
123100,10,0.79,2014,0.34,0.29,0.33,0.28,0.32,0.0
110150,13,0.59,2014,0.08,0.07,0.11,0.08,0.1,0.0
106103,5,0.64,2014,0.09,0.09,0.16,0.1,0.07,0.0
113180,13,0.69,2014,0.22,0.18,0.32,0.23,0.21,0.0
114101,13,0.9,2014,0.76,0.75,1.0,0.6,0.69,0.18
114103,13,0.7,2014,0.32,0.32,0.4,0.38,0.21,0.02
116105,7,0.93,2014,0.4,0.42,0.39,0.49,0.3,0.0
105102,4,0.65,2014,0.13,0.1,0.17,0.13,0.16,0.0
121109,9,0.9,2014,0.59,0.7,0.75,0.68,0.42,0.09
105101,4,0.91,2014,0.25,0.27,0.28,0.15,0.34,0.0
105100,4,0.83,2014,0.22,0.27,0.29,0.25,0.27,0.0
103101,3,0.62,2014,0.13,0.05,0.12,0.09,0.04,0.0
126100,12,0.79,2014,0.29,0.23,0.22,0.13,0.15,0.0
102100,1,0.76,2014,0.36,0.3,0.32,0.18,0.25,0.04
103100,3,0.83,2014,0.39,0.3,0.36,0.21,0.29,0.0
104100,3,0.74,2014,0.22,0.21,0.21,0.11,0.15,0.0
111195,13,1.22,2015,0.4,0.32,0.12,0.16,0.14,0.07
111100,13,0.87,2015,0.55,0.89,0.46,0.55,0.33,0.11
118105,8,0.57,2015,0.09,0.03,0.11,0.11,0.08,0.35
121109,9,0.95,2015,0.62,0.76,0.73,0.71,0.46,0.08
126100,12,0.85,2015,0.3,0.28,0.22,0.13,0.14,0.0
110100,13,1.0,2015,0.49,0.71,0.49,0.79,0.39,0.0
112103,13,1.71,2015,0.1,0.24,0.05,0.1,0.01,0.0
120101,8,0.74,2015,0.45,0.51,0.53,0.46,0.33,0.0
112104,13,1.73,2015,0.1,0.13,0.03,0.05,0.03,0.0
124105,10,0.86,2015,0.51,0.51,0.46,0.29,0.28,0.0
112100,13,1.14,2015,0.35,0.79,0.38,0.38,0.39,0.0
112102,13,1.26,2015,0.22,0.35,0.16,0.19,0.16,0.0
133150,10,0.79,2015,0.15,0.08,0.11,0.08,0.1,0.08
109100,13,0.79,2015,0.5,0.51,0.58,0.82,0.95,0.0
109101,13,1.05,2015,0.26,0.19,0.14,0.11,0.14,0.0
110120,13,0.77,2015,0.31,0.39,0.28,0.22,0.29,0.0
105100,4,0.84,2015,0.23,0.26,0.27,0.23,0.25,0.0
104100,3,0.72,2015,0.24,0.23,0.19,0.11,0.14,0.0
113130,13,1.07,2015,0.15,0.12,0.11,0.07,0.12,0.0
103101,3,0.61,2015,0.14,0.08,0.13,0.09,0.04,0.0
106102,5,1.03,2015,0.09,0.07,0.06,0.34,0.04,0.0
117102,16,0.71,2015,0.09,0.06,0.1,0.07,0.1,0.0
102100,1,0.75,2015,0.37,0.29,0.34,0.19,0.25,0.05
116108,7,0.72,2015,0.17,0.1,0.29,0.17,0.21,0.07
117101,16,0.8,2015,0.4,0.35,0.42,0.31,0.39,0.0
116105,7,0.94,2015,0.44,0.44,0.39,0.51,0.31,0.0
116100,7,0.76,2015,0.21,0.23,0.27,0.41,0.28,0.38
