hospital_id,hospital_name,year,te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
101100,Hospital Doctor Juan Noé,2017,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.05,1.06,1.07,1.08,1.08,0.94,0.94,0.94,0.94,0.94,0.94
102100,Hospital de Iquique,2017,1.06,1.06,1.06,1.06,1.06,1.06,1.05,1.02,0.98,0.95,0.93,0.92,1.06,1.06,1.06,1.06,1.06,1.06
103100,Hospital de Antofagasta,2017,0.94,0.94,0.94,0.94,0.94,0.94,0.95,0.97,0.99,0.99,0.99,0.98,1.12,1.12,1.12,1.12,1.12,1.12
103101,Hospital de Calama,2017,0.85,0.85,0.85,0.85,0.85,0.85,0.86,0.87,0.88,0.85,0.83,0.82,0.99,0.99,0.99,0.99,0.99,0.99
104100,Hospital de Copiapó,2017,1.12,1.12,1.12,1.12,1.12,1.12,1.11,1.1,1.12,1.16,1.17,1.18,1.06,1.06,1.06,1.06,1.06,1.06
105100,Hospital de La Serena,2017,0.99,0.99,0.99,0.99,0.99,0.99,0.96,0.97,0.98,0.98,1.0,1.01,8106784234895396.0,8106784234895396.0,8106784234895396.0,inf,inf,inf
105101,Hospital de Coquimbo,2017,1.06,1.06,1.06,1.06,1.06,1.06,1.05,1.06,1.06,1.07,1.07,1.07,0.95,0.95,0.95,0.95,0.95,0.95
105102,Hospital de Ovalle,2017,0.94,0.94,0.94,0.94,0.94,0.94,0.97,1.01,1.04,1.06,1.07,1.09,1.0,1.0,1.0,1.0,1.0,1.0
106100,Hospital Carlos Van Buren,2017,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.99,0.99,0.99,0.99,0.99,0.99
106102,Hospital Dr. Eduardo Pereira Ramírez,2017,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.98,0.98,1.0,1.01,1.02,1.15,1.15,1.15,1.15,1.15,1.15
106103,Hospital Claudio Vicuña,2017,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,0.97,0.97,0.97,0.97,0.97,0.97
107100,Hospital Dr. Gustavo Fricke,2017,1.15,1.15,1.15,1.15,1.15,1.15,1.17,1.13,1.11,1.09,1.06,1.05,1.1,1.1,1.1,1.1,1.1,1.1
