hospital_id,hospital_name,year,te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
101100,Hospital Doctor Juan Noé,2015,0.95,0.95,0.95,0.95,0.95,0.95,0.98,1.0,0.99,0.97,0.96,0.95,0.99,0.99,0.99,0.99,0.99,0.99
101100,Hospital Doctor Juan Noé,2016,1.0,1.0,1.0,1.0,1.0,1.0,1.01,1.01,1.0,0.99,0.99,0.98,0.88,0.88,0.88,0.88,0.88,0.88
101100,Hospital Doctor Juan Noé,2017,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.05,1.06,1.07,1.08,1.08,0.94,0.94,0.94,0.94,0.94,0.94
101100,Hospital Doctor Juan Noé,2018,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.21,1.21,1.21,1.21,1.21,1.21
101100,Hospital Doctor Juan Noé,2019,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.59,1.59,1.59,1.59,1.59,1.59
101100,Hospital Doctor Juan Noé,2020,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
102100,Hospital de Iquique,2015,1.02,1.02,1.02,1.02,1.02,1.02,1.06,1.08,1.11,1.11,1.12,1.12,1.02,1.02,1.02,1.02,1.02,1.02
102100,Hospital de Iquique,2016,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.88,0.88,0.88,0.88,0.88,0.87,0.87,0.87,0.87,0.87,0.87
102100,Hospital de Iquique,2017,1.06,1.06,1.06,1.06,1.06,1.06,1.05,1.02,0.98,0.95,0.93,0.92,1.06,1.06,1.06,1.06,1.06,1.06
102100,Hospital de Iquique,2018,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
102100,Hospital de Iquique,2019,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22
