hospital_id,hospital_fns_id,region,21_value,22_value,hospital_discharge,diagnostic_tests,surgical_interventions,medical_consultations,GRD
101100,103,15,23266444,13588519,15597.0,972059.0,11213.0,2740.0,0.768
102100,203,1,31014400,15704142,17090.0,913875.0,13011.0,2349.0,0.7467
103100,303,3,34181451,17765183,18738.0,1083407.0,15286.0,0.0,0.8394
103101,304,3,12636974,4965187,7858.0,465478.0,3187.0,0.0,0.6124
104100,403,3,20352973,12755945,10436.0,519166.0,7733.0,0.0,0.7169
105100,503,4,19512169,14253415,14128.0,1077647.0,12857.0,0.0,0.8397
105101,504,4,21773376,14295737,13734.0,717322.0,14338.0,0.0,0.9151
105102,505,4,12541926,6215066,9406.0,682217.1,9011.0,0.0,0.6661
106100,603,5,36973674,24846610,25637.0,1338391.0,17013.0,0.0,0.9459
106102,607,5,8789874,4804840,5036.0,1588944.0,3372.0,0.0,1.0308
106103,604,5,9357523,5594916,9518.0,596721.0,5102.0,0.0,0.6537
107100,703,5,38140479,32785216,22146.0,2084833.0,17054.0,0.0,1.1489
107101,704,5,13712459,8749505,11513.0,910442.0,9566.0,0.0,0.7213
107102,705,5,11585244,4879390,7287.0,365105.0,5360.0,0.0,0.6803
108100,803,5,12632984,6005067,11421.0,527650.0,9910.0,0.0,0.7435
108101,804,5,10313283,5587651,9361.0,503916.0,9549.0,0.0,0.7002
109100,2606,13,40503837,27225198,27599.0,3770824.0,45800.0,0.0,0.7862
109101,2605,13,22171501,10497970,8479.0,548040.0,7954.0,0.0,1.0534
110100,2709,13,39901477,37422745,23760.0,3609216.0,19543.0,30.0,0.9959
110120,2708,13,26295988,20743304,14695.0,1044591.0,15069.0,0.0,0.7667
110150,2705,13,10318322,4578776,7097.0,474206.0,6514.0,482.0,0.6335
111100,2404,13,44657255,46689070,22123.0,2552721.0,16693.0,5598.0,0.872
111101,2406,13,30137508,18959262,14299.0,1461813.0,8483.0,1433.0,0.7695
111195,2405,13,32905541,17331995,7712.0,751555.0,7957.0,3579.0,1.2195
112100,2306,13,29165632,41610164,18986.0,1750036.0,19665.0,0.0,1.1381
112101,2305,13,16009128,11690273,17138.0,71153.0,8630.0,0.0,0.6829
112102,2304,13,19016128,18796878,9172.0,907005.0,8804.0,0.0,1.2591
112103,2303,13,9821379,13455105,4621.0,476662.0,1728.0,0.0,1.7059
112104,2308,13,9565585,7774173,3797.0,244060.0,2878.0,0.0,1.7301
113100,2503,13,49983016,35378270,27007.0,3274290.0,24167.0,6443.0,0.9089
113130,2505,13,14058971,7061737,7135.0,351793.0,6784.0,0.0,1.0708
113180,2508,13,19801315,10321891,14968.0,1080442.0,9328.0,0.0,0.7768
114101,2805,13,67096400,37801048,41256.0,2805431.0,31295.0,8561.0,0.859
114103,3001,13,28265460,18020991,19315.0,1835903.0,11126.0,820.0,0.6699
115100,903,6,33339723,27476049,18196.0,1595307.0,19053.0,3959.0,0.9511
115107,9010,6,9767850,5395003,8645.0,373482.0,7479.0,0.0,0.6803
116100,1003,7,18274442,12635210,13973.0,1917368.0,14538.0,19667.0,0.7617
116105,1008,7,35861911,23288670,19192.0,2360261.0,15882.0,0.0,0.9383
116108,10011,7,14920324,6375037,14927.0,829864.0,11286.0,3361.0,0.7236
117101,1103,16,33178717,18710918,20429.0,1441236.0,19383.0,0.0,0.7968
117102,1104,16,8983856,4249254,6783.0,378302.0,6188.0,0.0,0.7066
118100,1203,8,62070518,46380000,30225.0,3397046.0,23185.0,5765.0,1.0061
118105,1205,8,9052656,2431086,7052.0,542390.0,5002.0,18041.0,0.5743
119100,1303,8,33139909,24348725,20784.0,1772167.0,16304.0,0.0,0.8346
120101,1405,8,36598988,27082138,25343.0,2131957.0,16811.0,0.0,0.7382
121109,17016,9,50213667,39670003,34057.0,3254481.0,22901.0,4232.0,0.9451
122100,1803,14,31657539,23785821,20076.0,1938059.0,15025.0,2012.0,0.8749
123100,1903,10,29405806,16529623,15835.0,1336590.0,15374.0,0.0,0.8032
124105,20011,10,41129908,27169136,22230.0,1337033.0,14497.0,0.0,0.8603
125100,2107,11,23501725,8852133,8800.0,992407.0,5579.0,0.0,0.7639
126100,2205,12,25512039,15118230,11821.0,642916.0,7708.0,0.0,0.8532
129100,1603,9,10826403,4125447,7497.0,367666.0,5374.0,0.0,0.6187
129106,1604,9,11768822,5219744,7421.0,388228.0,5387.0,1954.0,0.6955
133150,3302,10,13827905,4867959,7237.0,409547.0,5976.0,3982.0,0.788
