hospital_id,hospital_fns_id,region,21_value,22_value,hospital_discharge,diagnostic_tests,surgical_interventions,medical_consultations,21_value_normalized,22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,GRD
101100,103,15,29684003.64,16481933.17,15196.0,915532.0,10576.0,2885.0,0.25,0.21,0.3,0.19,0.2,0.06,0.73
102100,203,1,41842022.02,23102549.19,16453.0,847461.0,12945.0,2199.0,0.36,0.3,0.32,0.18,0.25,0.04,0.76
103100,303,3,44976045.23,22608594.3,17785.0,980303.0,14840.0,0.0,0.39,0.3,0.36,0.21,0.29,0.0,0.83
103101,304,3,17046630.99,5114661.62,7782.0,428208.0,3083.0,0.0,0.13,0.05,0.12,0.09,0.04,0.0,0.62
104100,403,3,26827705.59,16554799.63,11483.0,544843.0,8406.0,0.0,0.22,0.21,0.21,0.11,0.15,0.0,0.74
105100,503,4,26813346.6,20694465.26,14935.0,1184727.0,14191.0,0.0,0.22,0.27,0.29,0.25,0.27,0.0,0.83
105101,504,4,29708672.65,20932632.66,14699.0,724991.0,17247.0,0.0,0.25,0.27,0.28,0.15,0.34,0.0,0.91
105102,505,4,17253114.97,8893998.89,9760.0,614435.0,8660.0,0.0,0.13,0.1,0.17,0.13,0.16,0.0,0.65
106100,603,5,50256608.1,31189827.47,25973.0,1137232.0,15751.0,0.0,0.44,0.42,0.54,0.24,0.31,0.0,0.92
106102,607,5,12436238.77,6557066.09,5647.0,1609247.0,3584.0,0.0,0.09,0.07,0.07,0.35,0.05,0.0,0.98
106103,604,5,13045758.9,7650190.57,9313.0,513761.0,4812.0,0.0,0.09,0.09,0.16,0.1,0.07,0.0,0.64
107100,703,5,50541104.55,44443018.83,21171.0,1913659.0,14880.0,0.0,0.44,0.6,0.43,0.41,0.29,0.0,1.1
107101,704,5,18134989.15,11778483.67,11190.0,1236123.0,9610.0,0.0,0.14,0.14,0.2,0.26,0.18,0.0,0.72
107102,705,5,15574632.12,7115424.82,7311.0,464691.0,6520.0,0.0,0.12,0.08,0.11,0.09,0.11,0.0,0.65
108100,803,5,17656754.41,8512142.56,11948.0,558114.0,11637.0,0.0,0.14,0.1,0.22,0.11,0.22,0.0,0.77
108101,804,5,13983797.91,6904146.0,9671.0,519487.0,9484.0,0.0,0.1,0.08,0.17,0.11,0.17,0.0,0.7
109100,2606,13,54402348.68,44866244.3,28204.0,3611204.0,42799.0,0.0,0.48,0.61,0.6,0.79,0.89,0.0,0.75
109101,2605,13,30354421.91,13685176.59,8319.0,514832.0,8166.0,0.0,0.25,0.17,0.14,0.1,0.15,0.0,1.03
110100,2709,13,52978443.72,52970932.56,23428.0,3394859.0,21160.0,32.0,0.46,0.72,0.49,0.74,0.42,0.0,0.97
110120,2708,13,35071964.77,23298435.02,15134.0,894463.0,13727.0,0.0,0.3,0.31,0.29,0.19,0.26,0.0,0.75
110150,2705,13,12029386.27,6376559.74,7296.0,424769.0,5976.0,231.0,0.08,0.07,0.11,0.08,0.1,0.0,0.59
111100,2404,13,60078083.86,54416826.23,23979.0,2575706.0,16491.0,5979.0,0.53,0.74,0.5,0.56,0.32,0.12,0.86
111101,2406,13,28614026.42,23359960.46,7162.0,233350.0,4634.0,114.0,0.24,0.31,0.11,0.04,0.07,0.0,0.74
111195,2405,13,46312901.83,22727061.95,8450.0,790304.0,8767.0,3944.0,0.4,0.3,0.14,0.17,0.16,0.08,1.16
112100,2306,13,40822331.27,59755738.98,16796.0,2072193.0,15763.0,0.0,0.35,0.81,0.33,0.45,0.31,0.0,1.14
112101,2305,13,21992747.08,15404501.82,17950.0,72772.0,8794.0,0.0,0.18,0.19,0.36,0.01,0.16,0.0,0.71
112102,2304,13,25932539.44,29201779.96,9129.0,891576.0,9825.0,0.0,0.21,0.39,0.15,0.19,0.18,0.0,1.21
112103,2303,13,12834433.56,18259573.78,4409.0,434248.0,1762.0,0.0,0.09,0.23,0.05,0.09,0.01,0.0,1.71
112104,2308,13,12721919.3,11859009.86,3862.0,176486.0,2922.0,0.0,0.09,0.15,0.03,0.03,0.03,0.0,1.76
113100,2503,13,69867269.9,49950172.46,27139.0,3094460.0,23625.0,6564.0,0.62,0.68,0.57,0.67,0.48,0.13,0.92
113130,2505,13,19680123.11,10037333.31,7424.0,327768.0,7496.0,0.0,0.15,0.12,0.12,0.06,0.13,0.0,1.03
113180,2508,13,26543560.3,14366334.08,16236.0,1065814.0,11299.0,0.0,0.22,0.18,0.32,0.23,0.21,0.0,0.69
114101,2805,13,85090102.31,55253442.88,45626.0,2765699.0,33831.0,9232.0,0.76,0.75,1.0,0.6,0.69,0.18,0.9
114103,3001,13,37412800.97,24596791.88,19908.0,1767946.0,11327.0,1269.0,0.32,0.32,0.4,0.38,0.21,0.02,0.7
115100,903,6,45543327.31,34128932.83,17920.0,1452878.0,17391.0,3268.0,0.39,0.46,0.36,0.31,0.34,0.06,0.95
115107,9010,6,13874700.82,7937502.4,9027.0,351508.0,7417.0,0.0,0.1,0.09,0.15,0.07,0.13,0.0,0.69
116100,1003,7,24133849.58,13399827.72,14146.0,1786150.0,13499.0,21757.0,0.2,0.17,0.27,0.39,0.26,0.42,0.76
116105,1008,7,46788666.37,31346149.55,19192.0,2277376.0,15533.0,0.0,0.4,0.42,0.39,0.49,0.3,0.0,0.93
116108,10011,7,20865688.08,9444727.91,14504.0,804990.0,12771.0,4023.0,0.16,0.11,0.28,0.17,0.24,0.08,0.71
117101,1103,16,43124183.0,25365800.63,21057.0,1484690.0,18859.0,0.0,0.37,0.33,0.43,0.32,0.37,0.0,0.78
117102,1104,16,11508908.97,4746074.75,6534.0,350188.0,6055.0,0.0,0.08,0.05,0.09,0.07,0.1,0.0,0.66
118100,1203,8,83271365.7,55626740.55,34321.0,3320798.0,25498.0,6269.0,0.74,0.76,0.74,0.72,0.52,0.12,0.93
118105,1205,8,12306752.76,3518010.59,7583.0,511082.0,5629.0,13921.0,0.09,0.03,0.12,0.1,0.09,0.27,0.56
119100,1303,8,44763555.32,35870245.27,22611.0,1666541.0,17659.0,0.0,0.39,0.48,0.47,0.36,0.35,0.0,0.86
120101,1405,8,48566902.78,34957642.14,25379.0,1990832.0,17363.0,0.0,0.42,0.47,0.53,0.43,0.34,0.0,0.74
121109,17016,9,66591969.43,51808201.2,35000.0,3129489.0,20787.0,4470.0,0.59,0.7,0.75,0.68,0.42,0.09,0.9
122100,1803,14,44106819.21,29050275.23,20575.0,1847927.0,19269.0,1746.0,0.38,0.39,0.42,0.4,0.38,0.03,0.84
123100,1903,10,39990907.15,22069362.37,16667.0,1300333.0,16123.0,0.0,0.34,0.29,0.33,0.28,0.32,0.0,0.79
124105,20011,10,48125916.16,32125754.96,20044.0,1279006.0,13396.0,0.0,0.42,0.43,0.41,0.27,0.26,0.0,0.83
125100,2107,11,29424009.61,13831302.7,8706.0,923349.0,5385.0,0.0,0.24,0.17,0.14,0.19,0.09,0.0,0.82
126100,2205,12,34911857.85,17758217.29,11924.0,622377.0,8157.0,0.0,0.29,0.23,0.22,0.13,0.15,0.0,0.79
129100,1603,9,14390432.81,5508130.61,7804.0,338764.0,5123.0,0.0,0.11,0.06,0.12,0.07,0.08,0.0,0.62
129106,1604,9,15548691.99,6047745.22,7323.0,349343.0,5241.0,0.0,0.12,0.06,0.11,0.07,0.08,0.0,0.67
133150,3302,10,18613987.76,6298793.4,7079.0,388675.0,5891.0,3608.0,0.14,0.07,0.11,0.08,0.1,0.07,0.75
