hospital_id,hospital_discharge,diagnostic_tests,surgical_interventions,medical_consultations,GRD
101100,13845.0,1221029.0,9081.0,2583.0,0.9804
102100,15713.0,1312964.0,12834.0,1886.0,0.9486
103100,16654.0,2041820.0,12116.0,0.0,1.1642
103101,9146.0,777862.0,4188.0,0.0,0.9312
104100,10434.0,808407.0,7504.0,0.0,0.8541
105100,10610.0,1167277.0,7703.0,0.0,1.0353
105101,11531.0,845822.0,9414.0,0.0,1.06
105102,7028.0,965632.0,6418.0,0.0,0.9239
106100,12749.0,1239822.0,8831.0,0.0,1.1529
106102,3628.0,636054.0,2654.0,0.0,1.2613
106103,5403.0,469346.0,2830.0,0.0,0.7693
107100,16476.0,1598317.0,12647.0,0.0,1.2488
107101,7828.0,973744.0,6725.0,0.0,0.8968
107102,6106.0,449506.0,4353.0,1186.0,0.8274
108100,8460.0,785479.0,7579.0,0.0,0.9293
108101,6807.0,466177.0,6918.0,0.0,0.9108
109100,21955.0,3305399.0,36561.0,0.0,0.9686
109101,4966.0,539246.0,4860.0,0.0,1.3251
110100,16896.0,3695001.0,16877.0,62.0,1.2862
110120,14910.0,1352143.0,13112.0,0.0,1.0216
110150,5921.0,562373.0,4688.0,1946.0,0.7671
111100,16936.0,2041019.0,11756.0,5149.0,1.0091
111101,14797.0,2026250.0,9443.0,4477.0,1.1488
111195,8789.0,1340564.0,9066.0,3921.0,1.6671
112100,10078.0,1871320.0,12384.0,0.0,1.4069
112101,13910.0,74320.0,5943.0,0.0,0.8725
112102,5308.0,758040.0,5045.0,0.0,1.6276
112103,2848.0,502104.0,1382.0,0.0,2.3067
112104,2446.0,253033.0,2623.0,0.0,1.9684
113100,26714.0,3421955.0,20159.0,7307.0,1.0949
113130,4865.0,336489.0,3829.0,2303.0,1.1478
113180,11828.0,1454381.0,8016.0,0.0,0.9676
114101,32035.0,2887421.0,26618.0,0.0,1.1491
114103,14097.0,1977039.0,8237.0,1852.0,0.9737
115100,19075.0,2106721.0,17498.0,7353.0,1.1737
115107,5981.0,622599.0,5254.0,0.0,1.0019
116100,11726.0,1641143.0,10725.0,0.0,0.9228
116105,22417.0,2821455.0,19580.0,0.0,1.1496
116108,10025.0,1002889.0,7849.0,0.0,0.9013
117101,15819.0,1724095.0,14013.0,3196.0,0.9798
117102,5834.0,555383.0,4684.0,2434.0,0.7874
118100,22485.0,3438565.0,17985.0,11638.0,1.2976
118105,5124.0,531094.0,2890.0,6956.0,0.6961
119100,15817.0,2113472.0,12358.0,0.0,1.0611
120101,19704.0,2229796.0,13290.0,2813.0,0.9865
121109,21485.0,2244466.0,17218.0,5242.0,1.1538
122100,15258.0,1709677.0,13442.0,4299.0,1.0516
123100,13559.0,1859968.0,14713.0,0.0,0.9724
124105,19900.0,2007573.0,14831.0,5299.0,1.0634
125100,7014.0,910923.0,3793.0,0.0,0.9257
126100,7945.0,757734.0,5744.0,0.0,1.1723
129100,5736.0,424995.0,3221.0,7233.0,0.8299
129106,5154.0,427688.0,3423.0,2786.0,0.8801
133150,5828.0,543613.0,5094.0,1639.0,0.8367
