hospital_id,03020101-Col1,03020101-Col2,03020101-Col3,03020101-Col4,03020101-Col5,03020101-Col6,03020101-Col7,03020101-Col8,03020101-Col9,03020101-Col10,03020101-Col11,03020101-Col12,03020101-Col13,03020101-Col14,03020101-Col15,03020101-Col16,03020101-Col17,03020101-Col18,03020101-Col19,03020101-Col20,03020101-Col21,03020101-Col22,03020201-Col1,03020201-Col2,03020201-Col3,03020201-Col4,03020201-Col20,03020201-Col21,03020201-Col22,03020301-Col1,03020301-Col2,03020301-Col3,03020301-Col4,03020301-Col5,03020301-Col6,03020301-Col7,03020301-Col8,03020301-Col9,03020301-Col10,03020301-Col11,03020301-Col12,03020301-Col13,03020301-Col14,03020301-Col15,03020301-Col16,03020301-Col17,03020301-Col18,03020301-Col19,03020301-Col20,03020301-Col21,03020301-Col22,03020402-Col1,03020402-Col2,03020402-Col3,03020402-Col4,03020402-Col5,03020402-Col6,03020402-Col7,03020402-Col8,03020402-Col9,03020402-Col10,03020402-Col11,03020402-Col12,03020402-Col13,03020402-Col14,03020402-Col15,03020402-Col16,03020402-Col17,03020402-Col18,03020402-Col19,03020402-Col20,03020402-Col21,03020402-Col22,03020403-Col1,03020403-Col10,03020403-Col11,03020403-Col12,03020403-Col13,03020403-Col14,03020403-Col15,03020403-Col16,03020403-Col17,03020403-Col18,03020403-Col19,03020403-Col20,03020403-Col21,03020403-Col22,03020401-Col1,03020401-Col2,03020401-Col3,03020401-Col4,03020401-Col5,03020401-Col6,03020401-Col7,03020401-Col8,03020401-Col9,03020401-Col10,03020401-Col11,03020401-Col12,03020401-Col13,03020401-Col14,03020401-Col15,03020401-Col16,03020401-Col17,03020401-Col18,03020401-Col19,03020401-Col20,03020401-Col21,03020401-Col22,03040210-Col1,03040210-Col5,03040210-Col6,03040210-Col7,03040210-Col8,03040210-Col9,03040210-Col10,03040210-Col11,03040210-Col12,03040210-Col13,03040210-Col14,03040210-Col15,03040210-Col21,03040210-Col22,03040220-Col1,03040220-Col2,03040220-Col3,03040220-Col4,03040220-Col5,03040220-Col6,03040220-Col7,03040220-Col8,03040220-Col9,03040220-Col10,03040220-Col11,03040220-Col12,03040220-Col13,03040220-Col14,03040220-Col15,03040220-Col16,03040220-Col17,03040220-Col18,03040220-Col19,03040220-Col21,03040220-Col22,04040100-Col1,04040100-Col7,04040100-Col8,04040100-Col9,04040100-Col10,04040100-Col11,04040100-Col12,04040100-Col13,04040100-Col21,04040100-Col22,04025010-Col1,04025010-Col2,04025010-Col3,04025010-Col4,04025010-Col5,04025010-Col6,04025010-Col7,04025010-Col8,04025010-Col9,04025010-Col10,04025010-Col11,04025010-Col12,04025010-Col13,04025010-Col14,04025010-Col15,04025010-Col16,04025010-Col17,04025010-Col18,04025010-Col19,04025010-Col20,04025010-Col21,04025010-Col22,04025020-Col1,04025020-Col2,04025020-Col3,04025020-Col4,04025020-Col5,04025020-Col6,04025020-Col7,04025020-Col8,04025020-Col9,04025020-Col10,04025020-Col11,04025020-Col12,04025020-Col13,04025020-Col14,04025020-Col15,04025020-Col16,04025020-Col17,04025020-Col18,04025020-Col19,04025020-Col20,04025020-Col21,04025020-Col22,03020501-Col1,03020501-Col2,03020501-Col3,03020501-Col4,03020501-Col5,03020501-Col6,03020501-Col7,03020501-Col8,03020501-Col9,03020501-Col10,03020501-Col11,03020501-Col12,03020501-Col13,03020501-Col14,03020501-Col15,03020501-Col16,03020501-Col17,03020501-Col18,03020501-Col19,03020501-Col20,03020501-Col21,03020501-Col22,03020702-Col1,03020702-Col2,03020702-Col3,03020702-Col4,03020702-Col5,03020702-Col6,03020702-Col7,03020702-Col8,03020702-Col9,03020702-Col10,03020702-Col11,03020702-Col12,03020702-Col13,03020702-Col14,03020702-Col15,03020702-Col16,03020702-Col17,03020702-Col18,03020702-Col19,03020702-Col20,03020702-Col21,03020702-Col22,04025030-Col1,04025030-Col2,04025030-Col3,04025030-Col4,04025030-Col5,04025030-Col6,04025030-Col7,04025030-Col8,04025030-Col9,04025030-Col10,04025030-Col11,04025030-Col12,04025030-Col13,04025030-Col14,04025030-Col15,04025030-Col16,04025030-Col17,04025030-Col18,04025030-Col19,04025030-Col21,04025030-Col22,04025040-Col1,04025040-Col2,04025040-Col3,04025040-Col4,04025040-Col5,04025040-Col6,04025040-Col7,04025040-Col8,04025040-Col9,04025040-Col10,04025040-Col11,04025040-Col12,04025040-Col13,04025040-Col14,04025040-Col15,04025040-Col16,04025040-Col17,04025040-Col18,04025040-Col19,04025040-Col20,04025040-Col21,04025040-Col22,04040200-Col1,04040200-Col7,04040200-Col8,04040200-Col9,04040200-Col10,04040200-Col11,04040200-Col12,04040200-Col13,04040200-Col14,04040200-Col15,04040200-Col20,04040200-Col21,04040200-Col22,04025050-Col1,04025050-Col2,04025050-Col3,04025050-Col4,04025050-Col5,04025050-Col6,04025050-Col7,04025050-Col8,04025050-Col9,04025050-Col10,04025050-Col11,04025050-Col12,04025050-Col13,04025050-Col14,04025050-Col15,04025050-Col16,04025050-Col17,04025050-Col18,04025050-Col19,04025050-Col20,04025050-Col21,04025050-Col22,03020604-Col1,03020604-Col2,03020604-Col3,03020604-Col4,03020604-Col5,03020604-Col6,03020604-Col7,03020604-Col8,03020604-Col9,03020604-Col10,03020604-Col11,03020604-Col12,03020604-Col13,03020604-Col14,03020604-Col15,03020604-Col16,03020604-Col17,03020604-Col18,03020604-Col19,03020604-Col20,03020604-Col21,03020604-Col22,03020908-Col1,03020908-Col2,03020908-Col3,03020908-Col4,03020908-Col5,03020908-Col6,03020908-Col7,03020908-Col8,03020908-Col9,03020908-Col10,03020908-Col11,03020908-Col12,03020908-Col13,03020908-Col14,03020908-Col15,03020908-Col16,03020908-Col17,03020908-Col18,03020908-Col19,03020908-Col20,03020908-Col21,03020908-Col22,03030250-Col1,03030250-Col2,03030250-Col3,03030250-Col4,03030250-Col5,03030250-Col6,03030250-Col7,03030250-Col8,03030250-Col9,03030250-Col10,03030250-Col11,03030250-Col12,03030250-Col13,03030250-Col14,03030250-Col15,03030250-Col16,03030250-Col17,03030250-Col18,03030250-Col19,03030250-Col20,03030250-Col21,03030250-Col22,03030260-Col1,03030260-Col2,03030260-Col3,03030260-Col4,03030260-Col5,03030260-Col6,03030260-Col7,03030260-Col8,03030260-Col9,03030260-Col10,03030260-Col11,03030260-Col12,03030260-Col13,03030260-Col14,03030260-Col15,03030260-Col16,03030260-Col17,03030260-Col18,03030260-Col19,03030260-Col20,03030260-Col21,03030260-Col22,03030270-Col1,03030270-Col2,03030270-Col3,03030270-Col4,03030270-Col5,03030270-Col6,03030270-Col7,03030270-Col8,03030270-Col9,03030270-Col10,03030270-Col11,03030270-Col12,03030270-Col13,03030270-Col14,03030270-Col15,03030270-Col16,03030270-Col17,03030270-Col18,03030270-Col19,03030270-Col20,03030270-Col21,03030270-Col22,03030280-Col1,03030280-Col2,03030280-Col3,03030280-Col4,03030280-Col5,03030280-Col6,03030280-Col7,03030280-Col8,03030280-Col9,03030280-Col10,03030280-Col11,03030280-Col12,03030280-Col13,03030280-Col14,03030280-Col15,03030280-Col16,03030280-Col17,03030280-Col18,03030280-Col19,03030280-Col20,03030280-Col21,03030280-Col22,03040240-Col1,03040240-Col2,03040240-Col3,03040240-Col4,03040240-Col5,03040240-Col6,03040240-Col7,03040240-Col8,03040240-Col9,03040240-Col10,03040240-Col11,03040240-Col12,03040240-Col13,03040240-Col14,03040240-Col15,03040240-Col16,03040240-Col17,03040240-Col18,03040240-Col19,03040240-Col20,03040240-Col21,03040240-Col22,04025060-Col1,04025060-Col2,04025060-Col3,04025060-Col4,04025060-Col5,04025060-Col6,04025060-Col7,04025060-Col8,04025060-Col9,04025060-Col10,04025060-Col11,04025060-Col12,04025060-Col13,04025060-Col14,04025060-Col15,04025060-Col16,04025060-Col17,04025060-Col18,04025060-Col19,04025060-Col20,04025060-Col21,04025060-Col22,03020806-Col1,03020806-Col2,03020806-Col3,03020806-Col4,03020806-Col5,03020806-Col6,03020806-Col7,03020806-Col8,03020806-Col9,03020806-Col10,03020806-Col11,03020806-Col12,03020806-Col13,03020806-Col14,03020806-Col15,03020806-Col16,03020806-Col17,03020806-Col18,03020806-Col19,03020806-Col20,03020806-Col21,03020806-Col22,01080003-Col1,01080003-Col2,01080003-Col3,01080003-Col4,01080003-Col5,01080003-Col6,01080003-Col7,01080003-Col8,01080003-Col9,01080004-Col1,01080004-Col2,01080004-Col3,01080004-Col4,01080004-Col5,01080004-Col6,01080004-Col7,01080004-Col8,01080004-Col9,04021101-Col1,04021101-Col2,04021101-Col3,04021101-Col4,04021101-Col5,04021101-Col6,04021101-Col7,04021101-Col8,04021101-Col9,04021101-Col10,04021101-Col11,04021101-Col12,04021101-Col13,04021101-Col14,04021101-Col15,04021101-Col16,04021101-Col17,04021101-Col18,04021101-Col19,04021101-Col20,04021101-Col21,04021101-Col22,04021103-Col1,04021103-Col2,04021103-Col3,04021103-Col4,04021103-Col5,04021103-Col6,04021103-Col7,04021103-Col8,04021103-Col9,04021103-Col10,04021103-Col11,04021103-Col12,04021103-Col13,04021103-Col14,04021103-Col15,04021103-Col16,04021103-Col17,04021103-Col18,04021103-Col19,04021103-Col20,04021103-Col21,04021103-Col22,04021102-Col1,04021102-Col2,04021102-Col3,04021102-Col4,04021102-Col5,04021102-Col6,04021102-Col7,04021102-Col8,04021102-Col9,04021102-Col10,04021102-Col11,04021102-Col12,04021102-Col13,04021102-Col14,04021102-Col15,04021102-Col16,04021102-Col17,04021102-Col18,04021102-Col19,04021102-Col20,04021102-Col21,04021102-Col22,04021104-Col1,04021104-Col2,04021104-Col3,04021104-Col4,04021104-Col5,04021104-Col6,04021104-Col7,04021104-Col8,04021104-Col9,04021104-Col10,04021104-Col11,04021104-Col12,04021104-Col13,04021104-Col14,04021104-Col15,04021104-Col16,04021104-Col17,04021104-Col18,04021104-Col19,04021104-Col20,04021104-Col21,04021104-Col22,04040300-Col1,04040300-Col2,04040300-Col3,04040300-Col4,04040300-Col5,04040300-Col6,02021707-Col1,02021707-Col2,02021707-Col3,02021707-Col4,02021707-Col5,02021707-Col6,03030290-Col1,04040400-Col1,04025070-Col1,04025070-Col2,04025070-Col3
101100,8,,,,,,,,1,1,1,1,1,1,2,,,,,1,7,8,,,,,,,,4,,,,,,,,,1,2,,,,1,,,,,,4,4,3,,,,,,,,,1,,,1,,,1,,,,,3,3,,,,,,,,,,,,,,,283,1,1,4,1,,22,28,32,35,39,24,39,24,22,3,1,6,1,58,225,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2587,3,15,6,2,18,201,460,352,330,302,207,220,187,112,84,44,33,11,832,1755,2587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,9,25,18,24,21,41,45,29,11,3,7,6,1,59,181,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2199,0,0,0,5,71,267,320,273,225,228,260,219,203,118,10,0,0,0,477,1722,2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,0,0,0,1,13,40,28,17,9,9,10,1,1,1,0,0,0,0,,130,128,,,,,,,,,,,,,,,,,,,,,,,636,,0,0,0,13,35,66,76,67,68,62,116,48,85,0,0,0,0,71,565,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103102,33,9,3,,1,1,,1,5,,1,,2,5,2,2,,,1,17,16,33,156,69,63,24,79,77,156,212,11,28,16,3,7,3,5,5,5,3,6,14,23,20,13,21,10,19,82,130,212,24,,,3,3,2,,5,1,,,,1,4,,2,,2,1,10,14,24,110,1,,5,3,14,18,28,18,13,10,73,37,110,24,,2,,1,1,2,,2,,2,1,2,5,4,1,1,,,9,15,24,,,,,,,,,,,,,,,79,,,,1,7,,14,9,10,10,6,11,3,5,1,,2,,79,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24004,386,939,1052,1049,1194,1031,909,1122,1102,1457,1617,2409,2146,2027,1905,1471,970,1218,9359,14645,24004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3004,383,1030,196,79,196,258,228,162,90,68,63,53,54,44,31,41,17,11,1000,2004,2905,,,,,,,,,,,,,,,,,,,,,,,178,,173,5,,,,,,,,,,,,,,,,105,73,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3998,603,239,194,171,375,536,376,321,202,200,186,183,113,128,70,42,26,33,1758,2240,3992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,39,2231,131,,,165,19,497,28,,,,,,,
103103,800,75,213,173,73,43,20,18,17,19,15,19,20,23,15,26,12,7,12,377,423,737,185,24,117,44,103,82,178,33,,1,2,,,,1,,,2,4,4,5,2,3,5,1,3,12,21,33,40,,,5,6,2,2,2,,2,1,3,6,,1,2,4,2,2,10,30,37,49,,,,6,2,3,6,9,13,10,33,16,45,76,1,5,6,5,2,2,2,3,5,3,5,6,7,7,4,5,2,6,27,49,70,35,,3,6,8,7,8,,2,1,,,35,31,62,,1,2,2,6,5,8,1,2,8,12,10,,2,,,,3,62,52,4,,1,,2,,1,,4,4,7,,,,,1,2,2,,,1,,,,,1,,,,2,5,7,,,,,,,,,,,,,,,,,,,,,,,8085,110,369,443,409,397,324,382,348,335,445,598,729,658,629,541,455,394,519,3271,4814,5999,16,,,,,,,2,1,,,2,1,2,1,1,,4,2,9,7,16,376,,,,2,74,89,74,51,22,18,18,7,12,5,4,,,,376,376,11,,,,,,1,2,1,2,,2,,2,,1,,,,3,8,11,,,,,,,,,,,,,,250,7,,,1,43,68,51,31,18,14,6,2,3,2,4,,,,1,249,250,495,145,82,17,22,49,42,35,27,15,12,15,10,8,7,4,2,,3,165,330,495,70,11,28,2,3,6,2,4,4,2,2,1,1,1,2,,1,,,25,45,70,402,1,309,79,12,1,,,,,,,,,,,,,,263,139,402,9,1,8,,,,,,,,,,,,,,,,,3,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698,24,30,12,2,44,94,77,63,49,49,60,69,45,30,27,8,11,4,208,490,641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337,,3833,,,,,,,,,,,74,,,
103104,1367,93,407,223,113,83,52,75,38,42,42,35,55,34,27,20,7,8,13,628,739,1367,197,40,148,9,126,71,197,101,2,22,9,3,1,2,1,0,2,3,0,9,9,6,2,13,6,11,55,46,101,27,,,2,2,2,1,1,2,2,4,,4,3,1,,2,,1,7,20,27,26,,,1,5,3,7,1,4,3,2,11,15,26,446,40,86,63,34,14,9,11,8,17,15,27,25,18,21,25,16,5,12,198,248,446,17,,6,,4,3,4,,,,,,17,17,33,,,1,1,6,1,2,4,4,4,4,2,,2,,1,,1,33,33,,,,,,,,,,,44,,,,,6,4,5,3,5,5,7,3,4,,,,,2,5,39,44,,,,,,,,,,,,,,,,,,,,,,,8501,153,579,410,398,506,532,476,511,557,615,667,815,618,506,422,275,263,198,3464,5037,8492,464,84,68,,2,10,23,7,10,13,18,31,28,23,13,42,11,27,54,222,242,464,234,,,,6,25,35,37,30,27,18,15,20,11,5,5,,,,234,234,68,,,,,5,15,16,12,12,4,2,2,,,,,,,24,44,68,,,,,,,,,,,,,,105,,,,,24,22,29,15,13,2,,,,,,,,,,105,105,1143,201,225,50,32,48,79,59,54,58,50,42,65,56,43,34,22,13,12,483,660,1143,60,,,,,,12,11,9,4,8,6,4,3,1,1,,1,,19,41,60,,,,,,,,,,,,,,,,,,,,,,,360,1,7,9,1,7,10,14,11,13,24,23,46,32,42,21,42,20,37,129,231,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1842,25,160,76,67,96,160,129,124,96,120,97,183,128,99,102,71,61,48,588,1254,1842,,,,,,,,,,7,,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570,,1313,,,,,,,,,,378,,,,
104100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104101,8,,,,1,,,2,3,1,1,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2,2,3,4,6,3,1,,,,,21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,4,,5,4,11,22,24,20,13,20,19,19,12,20,8,18,25,21,125,140,260,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,1,6,,,,,,,,,,,,7,7,31,,,,,6,18,6,1,,,,,,,,,,,,31,31,,,,,,,,,,,,,,9,,,,,1,2,6,,,,,,,,,,,,1,8,9,29,,2,,2,,,,,1,3,3,6,1,5,3,,2,1,6,23,28,39,,,,2,3,5,1,4,2,10,5,2,2,,,2,1,,21,18,39,,,,,,,,,,,,,,,,,,,,,,,67,,3,,1,7,1,2,,,3,6,3,8,1,6,9,12,5,18,49,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927,14,8,17,15,22,47,91,89,57,92,75,89,61,58,65,51,48,28,367,560,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,
104102,797,73,165,126,60,30,42,50,27,37,40,22,44,16,21,21,10,6,7,359,438,791,40,19,15,6,24,16,40,32,2,3,1,2,1,,2,1,2,4,1,1,2,1,1,1,4,3,19,13,31,64,,,19,3,7,4,1,2,5,2,5,9,2,1,2,,,2,19,45,64,40,2,,3,7,3,1,3,7,9,5,19,21,39,624,28,131,78,30,20,11,21,23,24,30,37,36,23,25,32,27,23,25,270,354,616,9,,,2,5,,1,1,,,,,9,9,66,,1,3,4,11,7,2,2,5,1,9,8,5,1,1,2,2,2,66,66,2,,1,1,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5970,104,230,242,251,314,274,310,228,324,410,520,659,405,379,322,397,264,337,2357,3613,5923,,,,,,,,,,,,,,,,,,,,,,,910,,,2,19,82,97,107,80,103,102,108,103,39,39,19,8,1,1,910,902,14,,,,,2,4,1,2,1,1,2,1,,,,,,,3,11,14,1,,,,,,1,,,,1,,1,149,1,,1,3,16,10,19,12,15,13,9,19,17,11,2,1,,,2,147,147,823,51,77,50,37,96,88,79,57,49,40,50,49,22,18,18,23,9,10,217,606,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414,16,26,10,15,117,146,145,113,109,108,106,134,87,82,68,49,37,46,433,981,1392,158,70,,88,,,,,,5,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812,0,1231,3,4,,,,,,,,,,,,
