hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input,te_output,te_directional
101100,0.28,0.26,0.31,0.22,0.21,0.05,0.78,0.733,1.364,0.154
102100,0.39,0.28,0.34,0.2,0.25,0.04,0.77,0.568,1.76,0.275
103100,0.42,0.4,0.38,0.27,0.35,0,0.85,0.616,1.624,0.238
103101,0.14,0.11,0.13,0.1,0.04,0,0.64,0.62,1.612,0.234
104100,0.24,0.24,0.19,0.12,0.14,0,0.76,0.511,1.957,0.324
105100,0.25,0.26,0.25,0.28,0.27,0,0.89,0.78,1.282,0.124
105101,0.27,0.26,0.24,0.16,0.28,0,0.96,0.632,1.582,0.225
105102,0.14,0.1,0.15,0.15,0.15,0,0.67,0.835,1.197,0.09
106100,0.48,0.44,0.51,0.29,0.33,0,1.01,0.683,1.464,0.188
106102,0.09,0.07,0.07,0.27,0.04,0,1.02,1,1,0
106103,0.1,0.1,0.14,0.13,0.07,0,0.67,0.98,1.02,0.01
107100,0.48,0.68,0.39,0.48,0.33,0,1.2,0.63,1.587,0.227
107101,0.17,0.17,0.19,0.2,0.17,0,0.71,0.832,1.201,0.091
107102,0.13,0.09,0.11,0.08,0.09,0.04,0.73,0.58,1.724,0.266
108100,0.14,0.11,0.19,0.11,0.19,0,0.79,0.943,1.06,0.029
108101,0.11,0.1,0.16,0.1,0.18,0,0.73,1,1,0
109100,0.53,0.5,0.53,0.81,0.89,0,0.79,1,1,0
109101,0.27,0.19,0.12,0.12,0.12,0,1.09,0.348,2.877,0.484
110100,0.53,0.68,0.5,0.8,0.4,0,1,0.799,1.252,0.112
110120,0.34,0.42,0.3,0.23,0.3,0,0.82,0.618,1.617,0.236
110150,0.12,0.08,0.1,0.12,0.1,0.02,0.64,0.696,1.436,0.179
111100,0.57,0.8,0.47,0.57,0.31,0.13,0.91,0.634,1.578,0.224
111101,0.44,0.4,0.31,0.36,0.19,0.05,0.84,0.53,1.885,0.307
111195,0.43,0.34,0.12,0.18,0.22,0.07,1.22,0.339,2.95,0.494
112100,0.37,0.73,0.16,0.38,0.31,0,1.17,0.574,1.743,0.271
112101,0.2,0.19,0.31,0.01,0.15,0,0.72,0.996,1.004,0.002
112102,0.23,0.33,0.15,0.19,0.14,0,1.27,0.516,1.937,0.319
112103,0.11,0.26,0.06,0.11,0,0,1.63,0.481,2.081,0.351
112104,0.1,0.14,0.03,0.05,0.04,0,1.77,0.285,3.511,0.557
113100,0.65,0.68,0.57,0.77,0.46,0.12,0.87,0.705,1.418,0.173
113130,0.17,0.13,0.1,0.08,0.1,0,1.12,0.426,2.345,0.402
113180,0.24,0.19,0.28,0.25,0.19,0,0.76,0.808,1.237,0.106
114101,0.86,0.83,0.91,0.64,0.65,0.15,0.91,0.7,1.43,0.177
114103,0.36,0.34,0.36,0.41,0.2,0.02,0.76,0.743,1.345,0.147
115100,0.45,0.62,0.32,0.34,0.31,0.08,1,0.544,1.838,0.295
115107,0.11,0.13,0.14,0.1,0.12,0,0.76,0.857,1.166,0.077
116100,0.23,0.26,0.26,0.43,0.28,0,0.77,1,1,0
116105,0.51,0.48,0.42,0.56,0.34,0,0.98,0.653,1.531,0.21
116108,0.18,0.12,0.28,0.18,0.2,0.01,0.76,1,1,0
117101,0.44,0.37,0.39,0.31,0.37,0,0.82,0.621,1.61,0.234
117102,0.1,0.07,0.11,0.07,0.12,0,0.69,0.854,1.171,0.079
118100,0.84,0.85,0.66,0.8,0.51,0.12,1.07,0.606,1.65,0.245
118105,0.09,0.03,0.1,0.12,0.09,0.31,0.59,1,1,0
119100,0.42,0.46,0.41,0.41,0.32,0,0.9,0.705,1.418,0.173
120101,0.48,0.54,0.49,0.48,0.32,0.07,0.78,0.73,1.369,0.156
121109,0.65,0.83,0.69,0.7,0.46,0.09,0.97,0.766,1.305,0.132
122100,0.41,0.49,0.4,0.43,0.29,0.04,0.9,0.717,1.394,0.165
123100,0.37,0.32,0.3,0.31,0.3,0,0.84,0.613,1.631,0.24
124105,0.55,0.55,0.47,0.35,0.34,0,0.9,0.568,1.761,0.276
125100,0.3,0.2,0.16,0.21,0.09,0,0.78,0.421,2.373,0.407
126100,0.32,0.29,0.21,0.15,0.14,0,0.92,0.431,2.319,0.397
129100,0.12,0.07,0.11,0.08,0.09,0.11,0.64,0.668,1.496,0.199
129106,0.13,0.09,0.11,0.09,0.07,0.04,0.7,0.587,1.704,0.26
133150,0.16,0.09,0.11,0.09,0.09,0.04,0.83,0.501,1.995,0.332
