hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input,te_output,te_directional
101100,0.28,0.26,0.31,0.22,0.21,0.05,0.78,0.801,1.17,0.092
102100,0.39,0.28,0.34,0.2,0.25,0.04,0.77,0.695,1.229,0.131
103100,0.42,0.4,0.38,0.27,0.35,0,0.85,0.714,1.285,0.143
103101,0.14,0.11,0.13,0.1,0.04,0,0.64,0.62,1.612,0.234
104100,0.24,0.24,0.19,0.12,0.14,0,0.76,0.511,1.761,0.324
105100,0.25,0.26,0.25,0.28,0.27,0,0.89,0.791,1.25,0.114
105101,0.27,0.26,0.24,0.16,0.28,0,0.96,0.681,1.399,0.177
105102,0.14,0.1,0.15,0.15,0.15,0,0.67,0.836,1.194,0.089
106100,0.48,0.44,0.51,0.29,0.33,0,1.01,0.885,1.097,0.053
106102,0.09,0.07,0.07,0.27,0.04,0,1.02,1,1,0
106103,0.1,0.1,0.14,0.13,0.07,0,0.67,0.98,1.02,0.01
107100,0.48,0.68,0.39,0.48,0.33,0,1.2,0.708,1.318,0.153
107101,0.17,0.17,0.19,0.2,0.17,0,0.71,0.832,1.201,0.091
107102,0.13,0.09,0.11,0.08,0.09,0.04,0.73,0.58,1.724,0.266
108100,0.14,0.11,0.19,0.11,0.19,0,0.79,0.958,1.039,0.02
108101,0.11,0.1,0.16,0.1,0.18,0,0.73,1,1,0
109100,0.53,0.5,0.53,0.81,0.89,0,0.79,1,1,0
109101,0.27,0.19,0.12,0.12,0.12,0,1.09,0.348,2.591,0.483
110100,0.53,0.68,0.5,0.8,0.4,0,1,0.985,1.013,0.007
110120,0.34,0.42,0.3,0.23,0.3,0,0.82,0.653,1.372,0.185
110150,0.12,0.08,0.1,0.12,0.1,0.02,0.64,0.696,1.434,0.179
111100,0.57,0.8,0.47,0.57,0.31,0.13,0.91,0.803,1.132,0.08
111101,0.44,0.4,0.31,0.36,0.19,0.05,0.84,0.586,1.515,0.233
111195,0.43,0.34,0.12,0.18,0.22,0.07,1.22,0.339,2.275,0.494
112100,0.37,0.73,0.16,0.38,0.31,0,1.17,0.574,1.615,0.271
112101,0.2,0.19,0.31,0.01,0.15,0,0.72,1,1,0
112102,0.23,0.33,0.15,0.19,0.14,0,1.27,0.516,1.895,0.319
112103,0.11,0.26,0.06,0.11,0,0,1.63,0.481,2.081,0.351
112104,0.1,0.14,0.03,0.05,0.04,0,1.77,0.285,3.511,0.557
113100,0.65,0.68,0.57,0.77,0.46,0.12,0.87,1,1,0
113130,0.17,0.13,0.1,0.08,0.1,0,1.12,0.426,2.316,0.402
113180,0.24,0.19,0.28,0.25,0.19,0,0.76,0.83,1.153,0.081
114101,0.86,0.83,0.91,0.64,0.65,0.15,0.91,1,1,0
114103,0.36,0.34,0.36,0.41,0.2,0.02,0.76,0.839,1.149,0.077
115100,0.45,0.62,0.32,0.34,0.31,0.08,1,0.592,1.504,0.227
115107,0.11,0.13,0.14,0.1,0.12,0,0.76,0.857,1.166,0.077
116100,0.23,0.26,0.26,0.43,0.28,0,0.77,1,1,0
116105,0.51,0.48,0.42,0.56,0.34,0,0.98,0.751,1.259,0.129
116108,0.18,0.12,0.28,0.18,0.2,0.01,0.76,1,1,0
117101,0.44,0.37,0.39,0.31,0.37,0,0.82,0.711,1.237,0.131
117102,0.1,0.07,0.11,0.07,0.12,0,0.69,0.854,1.171,0.079
118100,0.84,0.85,0.66,0.8,0.51,0.12,1.07,1,1,0
118105,0.09,0.03,0.1,0.12,0.09,0.31,0.59,1,1,0
119100,0.42,0.46,0.41,0.41,0.32,0,0.9,0.815,1.174,0.09
120101,0.48,0.54,0.49,0.48,0.32,0.07,0.78,0.904,1.085,0.045
121109,0.65,0.83,0.69,0.7,0.46,0.09,0.97,1,1,0
122100,0.41,0.49,0.4,0.43,0.29,0.04,0.9,0.837,1.155,0.08
123100,0.37,0.32,0.3,0.31,0.3,0,0.84,0.623,1.425,0.208
124105,0.55,0.55,0.47,0.35,0.34,0,0.9,0.708,1.316,0.152
125100,0.3,0.2,0.16,0.21,0.09,0,0.78,0.421,1.74,0.328
126100,0.32,0.29,0.21,0.15,0.14,0,0.92,0.431,1.941,0.388
129100,0.12,0.07,0.11,0.08,0.09,0.11,0.64,0.668,1.496,0.199
129106,0.13,0.09,0.11,0.09,0.07,0.04,0.7,0.587,1.704,0.26
133150,0.16,0.09,0.11,0.09,0.09,0.04,0.83,0.501,1.88,0.332
