hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input,te_output,te_directional
101100,0.28,0.26,0.2418,0.22,0.21,0.05,0.78,0.752,1.33,0.142
102100,0.39,0.28,0.2618,0.2,0.25,0.04,0.77,0.577,1.732,0.268
103100,0.42,0.4,0.323,0.27,0.35,0,0.85,0.668,1.497,0.199
103101,0.14,0.11,0.0832,0.1,0.04,0,0.64,0.533,1.878,0.305
104100,0.24,0.24,0.1444,0.12,0.14,0,0.76,0.512,1.954,0.323
105100,0.25,0.26,0.2225,0.28,0.27,0,0.89,0.85,1.176,0.081
105101,0.27,0.26,0.2304,0.16,0.28,0,0.96,0.759,1.317,0.137
105102,0.14,0.1,0.1005,0.15,0.15,0,0.67,0.807,1.239,0.107
106100,0.48,0.44,0.5151,0.29,0.33,0,1.01,0.908,1.102,0.048
106102,0.09,0.07,0.0714,0.27,0.04,0,1.02,1,1,0
106103,0.1,0.1,0.0938,0.13,0.07,0,0.67,0.865,1.156,0.072
107100,0.48,0.68,0.468,0.48,0.33,0,1.2,0.849,1.177,0.081
107101,0.17,0.17,0.1349,0.2,0.17,0,0.71,0.793,1.262,0.116
107102,0.13,0.09,0.0803,0.08,0.09,0.04,0.73,0.577,1.734,0.268
108100,0.14,0.11,0.1501,0.11,0.19,0,0.79,0.976,1.025,0.012
108101,0.11,0.1,0.1168,0.1,0.18,0,0.73,1,1,0
109100,0.53,0.5,0.4187,0.81,0.89,0,0.79,1,1,0
109101,0.27,0.19,0.1308,0.12,0.12,0,1.09,0.415,2.412,0.414
110100,0.53,0.68,0.5,0.8,0.4,0,1,0.898,1.113,0.053
110120,0.34,0.42,0.246,0.23,0.3,0,0.82,0.654,1.529,0.209
110150,0.12,0.08,0.064,0.12,0.1,0.02,0.64,0.668,1.498,0.199
111100,0.57,0.8,0.4277,0.57,0.31,0.13,0.91,0.706,1.417,0.173
111101,0.44,0.4,0.2604,0.36,0.19,0.05,0.84,0.554,1.804,0.287
111195,0.43,0.34,0.1464,0.18,0.22,0.07,1.22,0.356,2.813,0.475
112100,0.37,0.73,0.1872,0.38,0.31,0,1.17,0.597,1.674,0.252
112101,0.2,0.19,0.2232,0.01,0.15,0,0.72,0.944,1.059,0.029
112102,0.23,0.33,0.1905,0.19,0.14,0,1.27,0.718,1.392,0.164
112103,0.11,0.26,0.0978,0.11,0,0,1.63,0.787,1.271,0.119
112104,0.1,0.14,0.0531,0.05,0.04,0,1.77,0.456,2.191,0.373
113100,0.65,0.68,0.4959,0.77,0.46,0.12,0.87,0.743,1.346,0.147
113130,0.17,0.13,0.112,0.08,0.1,0,1.12,0.557,1.794,0.284
113180,0.24,0.19,0.2128,0.25,0.19,0,0.76,0.791,1.264,0.117
114101,0.86,0.83,0.8281,0.64,0.65,0.15,0.91,0.831,1.203,0.092
114103,0.36,0.34,0.2736,0.41,0.2,0.02,0.76,0.716,1.397,0.166
115100,0.45,0.62,0.32,0.34,0.31,0.08,1,0.641,1.56,0.219
115107,0.11,0.13,0.1064,0.1,0.12,0,0.76,0.861,1.161,0.074
116100,0.23,0.26,0.2002,0.43,0.28,0,0.77,0.997,1.003,0.001
116105,0.51,0.48,0.4116,0.56,0.34,0,0.98,0.741,1.349,0.149
116108,0.18,0.12,0.2128,0.18,0.2,0.01,0.76,1,1,0
117101,0.44,0.37,0.3198,0.31,0.37,0,0.82,0.654,1.529,0.209
117102,0.1,0.07,0.0759,0.07,0.12,0,0.69,0.854,1.171,0.079
118100,0.84,0.85,0.7062,0.8,0.51,0.12,1.07,0.756,1.323,0.139
118105,0.09,0.03,0.059,0.12,0.09,0.31,0.59,1,1,0
119100,0.42,0.46,0.369,0.41,0.32,0,0.9,0.776,1.289,0.126
120101,0.48,0.54,0.3822,0.48,0.32,0.07,0.78,0.731,1.368,0.156
121109,0.65,0.83,0.6693,0.7,0.46,0.09,0.97,0.909,1.1,0.048
122100,0.41,0.49,0.36,0.43,0.29,0.04,0.9,0.792,1.263,0.116
123100,0.37,0.32,0.252,0.31,0.3,0,0.84,0.645,1.55,0.216
124105,0.55,0.55,0.423,0.35,0.34,0,0.9,0.651,1.537,0.212
125100,0.3,0.2,0.1248,0.21,0.09,0,0.78,0.416,2.403,0.412
126100,0.32,0.29,0.1932,0.15,0.14,0,0.92,0.511,1.958,0.324
129100,0.12,0.07,0.0704,0.08,0.09,0.11,0.64,0.631,1.586,0.227
129106,0.13,0.09,0.077,0.09,0.07,0.04,0.7,0.556,1.799,0.286
133150,0.16,0.09,0.0913,0.09,0.09,0.04,0.83,0.561,1.783,0.281
