hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input,te_output,te_directional
101100,0.3,0.26,0.2706,0.29,0.28,0.06,0.82,0.047,2.067,0.753
102100,0.45,0.25,0.3034,0.25,0.4,1,0.82,1,1,0
103100,0.56,0.59,0.3813,0.41,0.28,0,0.93,0.018,1.773,0.535
103101,0.19,0.14,0.1224,0.15,0.09,0,0.72,0.053,4.416,0.947
104100,0.26,0.22,0.1716,0.17,0.21,0,0.78,0.038,3.034,0.962
105100,0.29,0.33,0.2375,0.24,0.34,0,0.95,0.034,2.068,0.624
105101,0.31,0.34,0.2626,0.2,0.3,0,1.01,0.032,2.109,0.746
105102,0.2,0.14,0.111,0.22,0.22,0,0.74,0.05,2.81,0.95
106100,0.48,0.42,0.3838,0.31,0.31,0,1.01,0.021,1.673,0.495
106102,0.1,0.07,0.0777,0.18,0.06,0,1.11,0.1,3.676,0.9
106103,0.11,0.1,0.0852,0.13,0.07,0,0.71,0.091,5.186,0.909
107100,0.53,0.65,0.476,0.41,0.35,0,1.19,0.019,1.414,0.304
107101,0.17,0.16,0.1232,0.24,0.21,0,0.77,0.059,2.898,0.941
107102,0.15,0.1,0.0836,0.1,0.12,0.02,0.76,0.067,4.62,0.933
108100,0.15,0.11,0.168,0.15,0.23,0,0.84,0.067,2.541,0.933
108101,0.12,0.1,0.1275,0.11,0.21,0,0.85,0.083,2.677,0.917
109100,0.57,0.46,0.4536,0.95,0.98,0,0.84,1,1,0
109101,0.27,0.18,0.1776,0.14,0.13,0,1.11,0.037,3.171,0.963
110100,0.55,0.76,0.5232,1,0.5,0,1.09,1,1,0
110120,0.38,0.4,0.2706,0.33,0.31,0.2,0.82,0.197,1.876,0.549
110150,0.12,0.07,0.0704,0.12,0.1,0.01,0.64,0.083,5.352,0.917
111100,0.61,0.78,0.4895,0.62,0.38,0.09,0.89,0.079,1.358,0.264
111101,0.46,0.44,0.3196,0.52,0.26,0.07,0.94,0.04,1.646,0.439
111195,0.38,0.31,0.1848,0.23,0.16,0.09,1.32,0.069,3.16,0.843
112100,0.39,0.92,0.2806,0.51,0.42,0,1.22,0.026,1.677,0.45
112101,0.21,0.16,0.2325,0.01,0.17,0,0.75,0.048,2.394,0.952
112102,0.24,0.32,0.1988,0.2,0.14,0,1.42,0.042,2.911,0.958
112103,0.11,0.27,0.1246,0.11,0.02,0,1.78,0.091,4.306,0.909
112104,0.1,0.13,0.0672,0.05,0.05,0,1.68,0.1,7.935,0.9
113100,0.65,0.77,0.627,0.93,0.59,0.1,0.95,1,1,0
113130,0.21,0.16,0.1122,0.09,0.08,0.02,1.02,0.048,4.942,0.952
113180,0.26,0.18,0.232,0.3,0.22,0,0.8,0.038,2.308,0.962
114101,0.94,0.92,0.8064,0.72,0.79,0,0.96,1,1,0
114103,0.38,0.33,0.2812,0.49,0.22,0.01,0.74,0.026,1.707,0.483
115100,0.56,0.53,0.45,0.48,0.53,0.11,1,0.216,1.357,0.26
115107,0.12,0.15,0.1215,0.14,0.14,0,0.81,0.083,4.015,0.917
116100,0.23,0.31,0.2349,0.49,0.34,0.03,0.81,0.043,1.544,0.42
116105,0.6,0.52,0.588,0.74,0.49,0,1.05,0.648,1.087,0.07
116108,0.19,0.15,0.2054,0.25,0.23,0,0.79,0.053,2.515,0.947
117101,0.45,0.39,0.3393,0.44,0.46,0.01,0.87,0.022,1.62,0.45
117102,0.11,0.08,0.077,0.18,0.15,0.23,0.7,0.76,1.238,0.12
118100,0.9,0.9,0.7659,0.92,0.57,0.91,1.11,1,1,0
118105,0.1,0.04,0.062,0.15,0.09,0.27,0.62,1,1,0
119100,0.45,0.51,0.4032,0.51,0.45,0,0.96,0.022,1.468,0.365
120101,0.01,0,0.504,0.61,0.46,0.05,0.9,1,1,0
121109,0.66,0.9,0.689,0.59,0.5,0.11,1.06,0.89,1.034,0.026
122100,0.41,0.56,0.3936,0.47,0.36,0.06,0.96,0.034,1.557,0.436
123100,0.38,0.32,0.2666,0.43,0.35,0,0.86,0.026,1.889,0.616
124105,0.62,0.65,0.4512,0.45,0.44,0.82,0.96,0.788,1.105,0.073
125100,0.29,0.19,0.1376,0.22,0.09,0,0.86,0.034,3.411,0.966
126100,0.36,0.31,0.2134,0.19,0.17,0,0.97,0.028,2.839,0.972
129100,0.13,0.06,0.0816,0.1,0.1,0.09,0.68,0.203,3.326,0.621
129106,0.13,0.08,0.0836,0.11,0.09,0.06,0.76,0.108,4.826,0.75
133150,0.19,0.09,0.0902,0.13,0.14,0.03,0.82,0.053,3.826,0.93
