hospital_id,region,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,te_input,te_output,te_directional
103100,3,0.42,0.4,0.38,0.27,0.35,0,1,1,0
103101,3,0.14,0.11,0.13,0.1,0.04,0,1,1,0
104100,3,0.24,0.24,0.19,0.12,0.14,0,0.96,1.077,0.026
105100,4,0.25,0.26,0.25,0.28,0.27,0,1,1,0
105101,4,0.27,0.26,0.24,0.16,0.28,0,1,1,0
105102,4,0.14,0.1,0.15,0.15,0.15,0,1,1,0
106100,5,0.48,0.44,0.51,0.29,0.33,0,1,1,0
106102,5,0.09,0.07,0.07,0.27,0.04,0,1,1,0
106103,5,0.1,0.1,0.14,0.13,0.07,0,1,1,0
107100,5,0.48,0.68,0.39,0.48,0.33,0,1,1,0
107101,5,0.17,0.17,0.19,0.2,0.17,0,1,1,0
107102,5,0.13,0.09,0.11,0.08,0.09,0.04,1,1,0
108100,5,0.14,0.11,0.19,0.11,0.19,0,1,1,0
108101,5,0.11,0.1,0.16,0.1,0.18,0,1,1,0
115100,6,0.45,0.62,0.32,0.34,0.31,0.08,1,1,0
115107,6,0.11,0.13,0.14,0.1,0.12,0,1,1,0
116100,7,0.23,0.26,0.26,0.43,0.28,0,1,1,0
116105,7,0.51,0.48,0.42,0.56,0.34,0,1,1,0
116108,7,0.18,0.12,0.28,0.18,0.2,0.01,1,1,0
118100,8,0.84,0.85,0.66,0.8,0.51,0.12,1,1,0
118105,8,0.09,0.03,0.1,0.12,0.09,0.31,1,1,0
119100,8,0.42,0.46,0.41,0.41,0.32,0,1,1,0
120101,8,0.48,0.54,0.49,0.48,0.32,0.07,1,1,0
121109,9,0.65,0.83,0.69,0.7,0.46,0.09,1,1,0
129100,9,0.12,0.07,0.11,0.08,0.09,0.11,1,1,0
129106,9,0.13,0.09,0.11,0.09,0.07,0.04,0.989,1.019,0.007
123100,10,0.37,0.32,0.3,0.31,0.3,0,1,1,0
124105,10,0.55,0.55,0.47,0.35,0.34,0,1,1,0
133150,10,0.16,0.09,0.11,0.09,0.09,0.04,1,1,0
109100,13,0.53,0.5,0.53,0.81,0.89,0,1,1,0
109101,13,0.27,0.19,0.12,0.12,0.12,0,0.499,2.064,0.341
110100,13,0.53,0.68,0.5,0.8,0.4,0,0.989,1.013,0.006
110120,13,0.34,0.42,0.3,0.23,0.3,0,0.745,1.364,0.157
110150,13,0.12,0.08,0.1,0.12,0.1,0.02,1,1,0
111100,13,0.57,0.8,0.47,0.57,0.31,0.13,1,1,0
111101,13,0.44,0.4,0.31,0.36,0.19,0.05,0.77,1.266,0.123
111195,13,0.43,0.34,0.12,0.18,0.22,0.07,1,1,0
112100,13,0.37,0.73,0.16,0.38,0.31,0,0.735,1.43,0.164
112101,13,0.2,0.19,0.31,0.01,0.15,0,1,1,0
112102,13,0.23,0.33,0.15,0.19,0.14,0,0.715,1.519,0.184
112103,13,0.11,0.26,0.06,0.11,0,0,1,1,0
112104,13,0.1,0.14,0.03,0.05,0.04,0,1,1,0
113100,13,0.65,0.68,0.57,0.77,0.46,0.12,1,1,0
113130,13,0.17,0.13,0.1,0.08,0.1,0,0.706,1.676,0.212
113180,13,0.24,0.19,0.28,0.25,0.19,0,1,1,0
114101,13,0.86,0.83,0.91,0.64,0.65,0.15,1,1,0
114103,13,0.36,0.34,0.36,0.41,0.2,0.02,0.96,1.042,0.021
117101,16,0.44,0.37,0.39,0.31,0.37,0,1,1,0
117102,16,0.1,0.07,0.11,0.07,0.12,0,1,1,0
