hospital_id,region,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,te_input,te_output,te_directional
103100,3,0.56,0.59,0.41,0.41,0.28,0,0.952,1.05,0.024
103101,3,0.19,0.14,0.17,0.15,0.09,0,1,1,0
104100,3,0.26,0.22,0.22,0.17,0.21,0,1,1,0
105100,4,0.29,0.33,0.25,0.24,0.34,0,1,1,0
105101,4,0.31,0.34,0.26,0.2,0.3,0,0.985,1.015,0.008
105102,4,0.2,0.14,0.15,0.22,0.22,0,1,1,0
106100,5,0.48,0.42,0.38,0.31,0.31,0,0.613,1.631,0.24
106102,5,0.1,0.07,0.07,0.18,0.06,0,1,1,0
106103,5,0.11,0.1,0.12,0.13,0.07,0,0.954,1.049,0.024
107100,5,0.53,0.65,0.4,0.41,0.35,0,0.643,1.554,0.217
107101,5,0.17,0.16,0.16,0.24,0.21,0,1,1,0
107102,5,0.15,0.1,0.11,0.1,0.12,0.02,1,1,0
108100,5,0.15,0.11,0.2,0.15,0.23,0,1,1,0
108101,5,0.12,0.1,0.15,0.11,0.21,0,1,1,0
115100,6,0.56,0.53,0.45,0.48,0.53,0.11,1,1,0
115107,6,0.12,0.15,0.15,0.14,0.14,0,1,1,0
116100,7,0.23,0.31,0.29,0.49,0.34,0.03,1,1,0
116105,7,0.6,0.52,0.56,0.74,0.49,0,0.863,1.158,0.073
116108,7,0.19,0.15,0.26,0.25,0.23,0,1,1,0
118100,8,0.9,0.9,0.69,0.92,0.57,0.91,0.202,4.945,0.664
118105,8,0.1,0.04,0.1,0.15,0.09,0.27,0.54,1.852,0.299
119100,8,0.45,0.51,0.42,0.51,0.45,0,0.022,46,0.957
120101,8,0.01,0,0.56,0.61,0.46,0.05,1,1,0
121109,9,0.66,0.9,0.65,0.59,0.5,0.11,1,1,0
129100,9,0.13,0.06,0.12,0.1,0.1,0.09,1,1,0
129106,9,0.13,0.08,0.11,0.11,0.09,0.06,1,1,0
123100,10,0.38,0.32,0.31,0.43,0.35,0,1,1,0
124105,10,0.62,0.65,0.47,0.45,0.44,0.82,1,1,0
133150,10,0.19,0.09,0.11,0.13,0.14,0.03,1,1,0
109100,13,0.57,0.46,0.54,0.95,0.98,0,1,1,0
109101,13,0.27,0.18,0.16,0.14,0.13,0,0.546,1.831,0.294
110100,13,0.55,0.76,0.48,1,0.5,0,1,1,0
110120,13,0.38,0.4,0.33,0.33,0.31,0.2,1,1,0
110150,13,0.12,0.07,0.11,0.12,0.1,0.01,1,1,0
111100,13,0.61,0.78,0.55,0.62,0.38,0.09,0.851,1.175,0.08
111101,13,0.46,0.44,0.34,0.52,0.26,0.07,0.809,1.235,0.105
111195,13,0.38,0.31,0.14,0.23,0.16,0.09,0.708,1.413,0.171
112100,13,0.39,0.92,0.23,0.51,0.42,0,0.759,1.317,0.137
112101,13,0.21,0.16,0.31,0.01,0.17,0,1,1,0
112102,13,0.24,0.32,0.14,0.2,0.14,0,0.573,1.744,0.271
112103,13,0.11,0.27,0.07,0.11,0.02,0,0.645,1.549,0.215
112104,13,0.1,0.13,0.04,0.05,0.05,0,0.378,2.648,0.452
113100,13,0.65,0.77,0.66,0.93,0.59,0.1,1,1,0
113130,13,0.21,0.16,0.11,0.09,0.08,0.02,0.514,1.947,0.321
113180,13,0.26,0.18,0.29,0.3,0.22,0,1,1,0
114101,13,0.94,0.92,0.84,0.72,0.79,0,0.767,1.304,0.132
114103,13,0.38,0.33,0.38,0.49,0.22,0.01,0.954,1.049,0.024
117101,16,0.45,0.39,0.39,0.44,0.46,0.01,0.867,1.154,0.071
117102,16,0.11,0.08,0.11,0.18,0.15,0.23,1,1,0
