te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
0,0.007,0.007,1,0.067,0.067,0.02,0.015,0.016,0.019,0.02,0.019,0.162,0.023,0.024,0.009,0.008,0.008,0,0.008,0.008,0.95,0.061,0.061,0.02,0.015,0.016
0.007,0,0.001,0.998,0.066,0.066,0.018,0.016,0.017,0.017,0.018,0.018,0.16,0.02,0.022,0.011,0.011,0.011,0.007,0.001,0.002,0.947,0.06,0.06,0.018,0.016,0.017
0.007,0.001,0,0.998,0.066,0.066,0.019,0.017,0.017,0.017,0.019,0.018,0.16,0.021,0.023,0.011,0.011,0.011,0.007,0.002,0.001,0.948,0.061,0.061,0.019,0.017,0.017
1,0.998,0.998,0,0.944,0.944,0.982,0.988,0.987,0.983,0.982,0.982,0.983,0.979,0.978,0.997,0.998,0.998,1,0.997,0.998,0.111,0.949,0.949,0.982,0.988,0.988
0.067,0.066,0.066,0.944,0,0,0.052,0.054,0.054,0.053,0.052,0.052,0.164,0.048,0.047,0.064,0.065,0.064,0.067,0.066,0.066,0.895,0.012,0.012,0.052,0.054,0.054
0.067,0.066,0.066,0.944,0,0,0.052,0.054,0.054,0.053,0.052,0.052,0.164,0.048,0.047,0.064,0.065,0.064,0.067,0.066,0.066,0.895,0.012,0.012,0.052,0.054,0.054
0.02,0.018,0.019,0.982,0.052,0.052,0,0.009,0.009,0.007,0.006,0.006,0.158,0.007,0.009,0.018,0.019,0.018,0.02,0.018,0.018,0.931,0.045,0.045,0,0.01,0.01
0.015,0.016,0.017,0.988,0.054,0.054,0.009,0,0.001,0.011,0.011,0.011,0.161,0.013,0.015,0.013,0.014,0.013,0.015,0.017,0.017,0.937,0.048,0.048,0.009,0.001,0.001
0.016,0.017,0.017,0.987,0.054,0.054,0.009,0.001,0,0.011,0.011,0.011,0.161,0.013,0.015,0.013,0.014,0.013,0.016,0.017,0.017,0.937,0.048,0.048,0.009,0.001,0.001
0.019,0.017,0.017,0.983,0.053,0.053,0.007,0.011,0.011,0,0.004,0.003,0.161,0.009,0.012,0.019,0.019,0.019,0.019,0.017,0.017,0.933,0.047,0.047,0.007,0.011,0.011
0.02,0.018,0.019,0.982,0.052,0.052,0.006,0.011,0.011,0.004,0,0.002,0.161,0.008,0.01,0.019,0.02,0.019,0.02,0.018,0.019,0.931,0.045,0.045,0.006,0.011,0.011
0.019,0.018,0.018,0.982,0.052,0.052,0.006,0.011,0.011,0.003,0.002,0,0.161,0.009,0.012,0.019,0.019,0.019,0.019,0.018,0.018,0.932,0.046,0.046,0.006,0.011,0.011
0.162,0.16,0.16,0.983,0.164,0.164,0.158,0.161,0.161,0.161,0.161,0.161,0,0.156,0.156,0.159,0.162,0.162,0.162,0.16,0.16,0.932,0.162,0.162,0.158,0.161,0.161
0.023,0.02,0.021,0.979,0.048,0.048,0.007,0.013,0.013,0.009,0.008,0.009,0.156,0,0.005,0.021,0.022,0.022,0.023,0.02,0.021,0.929,0.042,0.042,0.007,0.014,0.013
0.024,0.022,0.023,0.978,0.047,0.047,0.009,0.015,0.015,0.012,0.01,0.012,0.156,0.005,0,0.022,0.024,0.023,0.024,0.022,0.023,0.927,0.042,0.042,0.009,0.015,0.015
0.009,0.011,0.011,0.997,0.064,0.064,0.018,0.013,0.013,0.019,0.019,0.019,0.159,0.021,0.022,0,0.004,0.003,0.009,0.011,0.011,0.947,0.058,0.058,0.018,0.013,0.013
0.008,0.011,0.011,0.998,0.065,0.065,0.019,0.014,0.014,0.019,0.02,0.019,0.162,0.022,0.024,0.004,0,0.002,0.008,0.011,0.011,0.948,0.059,0.059,0.019,0.014,0.014
0.008,0.011,0.011,0.998,0.064,0.064,0.018,0.013,0.013,0.019,0.019,0.019,0.162,0.022,0.023,0.003,0.002,0,0.008,0.011,0.011,0.947,0.059,0.059,0.018,0.013,0.013
0,0.007,0.007,1,0.067,0.067,0.02,0.015,0.016,0.019,0.02,0.019,0.162,0.023,0.024,0.009,0.008,0.008,0,0.008,0.008,0.95,0.061,0.061,0.02,0.015,0.015
0.008,0.001,0.002,0.997,0.066,0.066,0.018,0.017,0.017,0.017,0.018,0.018,0.16,0.02,0.022,0.011,0.011,0.011,0.008,0,0.001,0.947,0.06,0.06,0.018,0.017,0.017
0.008,0.002,0.001,0.998,0.066,0.066,0.018,0.017,0.017,0.017,0.019,0.018,0.16,0.021,0.023,0.011,0.011,0.011,0.008,0.001,0,0.947,0.061,0.061,0.018,0.017,0.017
0.95,0.947,0.948,0.111,0.895,0.895,0.931,0.937,0.937,0.933,0.931,0.932,0.932,0.929,0.927,0.947,0.948,0.947,0.95,0.947,0.947,0,0.898,0.898,0.931,0.937,0.937
0.061,0.06,0.061,0.949,0.012,0.012,0.045,0.048,0.048,0.047,0.045,0.046,0.162,0.042,0.042,0.058,0.059,0.059,0.061,0.06,0.061,0.898,0,0,0.045,0.048,0.048
0.061,0.06,0.061,0.949,0.012,0.012,0.045,0.048,0.048,0.047,0.045,0.046,0.162,0.042,0.042,0.058,0.059,0.059,0.061,0.06,0.061,0.898,0,0,0.045,0.048,0.048
0.02,0.018,0.019,0.982,0.052,0.052,0,0.009,0.009,0.007,0.006,0.006,0.158,0.007,0.009,0.018,0.019,0.018,0.02,0.018,0.018,0.931,0.045,0.045,0,0.01,0.01
0.015,0.016,0.017,0.988,0.054,0.054,0.01,0.001,0.001,0.011,0.011,0.011,0.161,0.014,0.015,0.013,0.014,0.013,0.015,0.017,0.017,0.937,0.048,0.048,0.01,0,0
0.016,0.017,0.017,0.988,0.054,0.054,0.01,0.001,0.001,0.011,0.011,0.011,0.161,0.013,0.015,0.013,0.014,0.013,0.015,0.017,0.017,0.937,0.048,0.048,0.01,0,0
