te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
0,0,0,0,0,0,0.056,0.131,0.193,0.299,0.497,0.724,0.717,0.717,0.717,0.717,0.717,0.717
0,0,0,0,0,0,0.056,0.131,0.193,0.299,0.497,0.724,0.717,0.717,0.717,0.717,0.717,0.717
0,0,0,0,0,0,0.056,0.131,0.193,0.299,0.497,0.724,0.717,0.717,0.717,0.717,0.717,0.717
0,0,0,0,0,0,0.056,0.131,0.193,0.299,0.497,0.724,0.717,0.717,0.717,0.717,0.717,0.717
0,0,0,0,0,0,0.056,0.131,0.193,0.299,0.497,0.724,0.717,0.717,0.717,0.717,0.717,0.717
0,0,0,0,0,0,0.056,0.131,0.193,0.299,0.497,0.724,0.717,0.717,0.717,0.717,0.717,0.717
0.056,0.056,0.056,0.056,0.056,0.056,0,0.084,0.158,0.277,0.483,0.714,0.713,0.713,0.713,0.713,0.713,0.713
0.131,0.131,0.131,0.131,0.131,0.131,0.084,0,0.089,0.228,0.447,0.685,0.718,0.718,0.718,0.718,0.718,0.718
0.193,0.193,0.193,0.193,0.193,0.193,0.158,0.089,0,0.152,0.382,0.623,0.724,0.724,0.724,0.724,0.724,0.724
0.299,0.299,0.299,0.299,0.299,0.299,0.277,0.228,0.152,0,0.233,0.475,0.755,0.755,0.755,0.755,0.755,0.755
0.497,0.497,0.497,0.497,0.497,0.497,0.483,0.447,0.382,0.233,0,0.244,0.85,0.85,0.85,0.85,0.85,0.85
0.724,0.724,0.724,0.724,0.724,0.724,0.714,0.685,0.623,0.475,0.244,0,1,1,1,1,1,1
0.717,0.717,0.717,0.717,0.717,0.717,0.713,0.718,0.724,0.755,0.85,1,0,0,0,0,0,0
0.717,0.717,0.717,0.717,0.717,0.717,0.713,0.718,0.724,0.755,0.85,1,0,0,0,0,0,0
0.717,0.717,0.717,0.717,0.717,0.717,0.713,0.718,0.724,0.755,0.85,1,0,0,0,0,0,0
0.717,0.717,0.717,0.717,0.717,0.717,0.713,0.718,0.724,0.755,0.85,1,0,0,0,0,0,0
0.717,0.717,0.717,0.717,0.717,0.717,0.713,0.718,0.724,0.755,0.85,1,0,0,0,0,0,0
0.717,0.717,0.717,0.717,0.717,0.717,0.713,0.718,0.724,0.755,0.85,1,0,0,0,0,0,0
