te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
0,0,0,0,0,0,0,0.021,0.077,0,0,0,0.944,0.944,0.944,0.67,0.67,0.67
0,0,0,0,0,0,0,0.021,0.077,0,0,0,0.944,0.944,0.944,0.67,0.67,0.67
0,0,0,0,0,0,0,0.021,0.077,0,0,0,0.944,0.944,0.944,0.67,0.67,0.67
0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.67,0.67,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.67,0.67,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.67,0.67,0,0,0
0,0,0,0,0,0,0,0.022,0.078,0,0,0,0.944,0.944,0.944,0.669,0.669,0.669
0.021,0.021,0.021,0,0,0,0.022,0,0.056,0,0,0,0.959,0.959,0.959,0.691,0.691,0.691
0.077,0.077,0.077,0,0,0,0.078,0.056,0,0,0,0,1,1,1,0.747,0.747,0.747
0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.67,0.67,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.67,0.67,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.67,0.67,0,0,0
0.944,0.944,0.944,0.67,0.67,0.67,0.944,0.959,1,0.67,0.67,0.67,0,0,0,0,0,0
0.944,0.944,0.944,0.67,0.67,0.67,0.944,0.959,1,0.67,0.67,0.67,0,0,0,0,0,0
0.944,0.944,0.944,0.67,0.67,0.67,0.944,0.959,1,0.67,0.67,0.67,0,0,0,0,0,0
0.67,0.67,0.67,0,0,0,0.669,0.691,0.747,0,0,0,0,0,0,0,0,0
0.67,0.67,0.67,0,0,0,0.669,0.691,0.747,0,0,0,0,0,0,0,0,0
0.67,0.67,0.67,0,0,0,0.669,0.691,0.747,0,0,0,0,0,0,0,0,0
