te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
0,0.014,0.005,0.222,0.213,0.221,0.408,0.495,0.504,0.063,0.047,0.054,0.133,0.123,0.143,0.613,0.694,0.659,0.008,0.017,0.011,0.174,0.161,0.161,0.433,0.514,0.49
0.014,0,0.011,0.176,0.17,0.173,0.348,0.493,0.452,0.053,0.039,0.046,0.124,0.11,0.132,0.613,0.689,0.657,0.008,0.003,0.009,0.153,0.144,0.14,0.399,0.513,0.462
0.005,0.011,0,0.22,0.219,0.227,0.4,0.507,0.517,0.058,0.044,0.051,0.14,0.128,0.149,0.633,0.712,0.679,0.007,0.014,0.006,0.176,0.166,0.166,0.435,0.526,0.505
0.222,0.176,0.22,0,0.005,0.007,0.042,0.152,0.089,0.106,0.101,0.109,0.172,0.149,0.169,0.528,0.583,0.552,0.187,0.162,0.187,0.02,0.026,0.023,0.079,0.17,0.114
0.213,0.17,0.219,0.005,0,0.001,0.058,0.16,0.087,0.111,0.102,0.113,0.165,0.145,0.163,0.515,0.577,0.541,0.181,0.157,0.185,0.026,0.025,0.021,0.095,0.181,0.118
0.221,0.173,0.227,0.007,0.001,0,0.06,0.172,0.087,0.12,0.111,0.122,0.166,0.145,0.163,0.516,0.577,0.541,0.188,0.161,0.192,0.032,0.032,0.026,0.099,0.192,0.121
0.408,0.348,0.4,0.042,0.058,0.06,0,0.09,0.034,0.219,0.22,0.229,0.284,0.257,0.274,0.525,0.562,0.534,0.356,0.324,0.353,0.078,0.093,0.091,0.039,0.112,0.068
0.495,0.493,0.507,0.152,0.16,0.172,0.09,0,0.072,0.316,0.311,0.325,0.364,0.345,0.354,0.473,0.512,0.478,0.468,0.464,0.473,0.133,0.139,0.147,0.055,0.023,0.05
0.504,0.452,0.517,0.089,0.087,0.087,0.034,0.072,0,0.318,0.315,0.327,0.342,0.319,0.332,0.488,0.523,0.494,0.459,0.428,0.466,0.13,0.139,0.135,0.052,0.095,0.041
0.063,0.053,0.058,0.106,0.111,0.12,0.219,0.316,0.318,0,0.009,0.004,0.193,0.162,0.192,0.597,0.634,0.626,0.051,0.05,0.051,0.076,0.072,0.074,0.245,0.322,0.305
0.047,0.039,0.044,0.101,0.102,0.111,0.22,0.311,0.315,0.009,0,0.006,0.141,0.126,0.146,0.568,0.64,0.607,0.034,0.034,0.034,0.072,0.066,0.069,0.253,0.33,0.313
0.054,0.046,0.051,0.109,0.113,0.122,0.229,0.325,0.327,0.004,0.006,0,0.185,0.161,0.191,0.594,0.642,0.634,0.045,0.044,0.044,0.078,0.073,0.076,0.254,0.332,0.315
0.133,0.124,0.14,0.172,0.165,0.166,0.284,0.364,0.342,0.193,0.141,0.185,0,0.008,0.004,0.467,0.606,0.507,0.119,0.109,0.123,0.156,0.154,0.145,0.324,0.419,0.364
0.123,0.11,0.128,0.149,0.145,0.145,0.257,0.345,0.319,0.162,0.126,0.161,0.008,0,0.005,0.473,0.584,0.502,0.108,0.096,0.112,0.132,0.132,0.123,0.294,0.394,0.336
0.143,0.132,0.149,0.169,0.163,0.163,0.274,0.354,0.332,0.192,0.146,0.191,0.004,0.005,0,0.468,0.597,0.495,0.126,0.116,0.13,0.154,0.153,0.144,0.316,0.41,0.355
0.613,0.613,0.633,0.528,0.515,0.516,0.525,0.473,0.488,0.597,0.568,0.594,0.467,0.473,0.468,0,0.037,0.011,0.616,0.6,0.625,0.498,0.496,0.492,0.482,0.494,0.462
0.694,0.689,0.712,0.583,0.577,0.577,0.562,0.512,0.523,0.634,0.64,0.642,0.606,0.584,0.597,0.037,0,0.027,0.702,0.682,0.711,0.551,0.553,0.547,0.499,0.507,0.474
0.659,0.657,0.679,0.552,0.541,0.541,0.534,0.478,0.494,0.626,0.607,0.634,0.507,0.502,0.495,0.011,0.027,0,0.66,0.643,0.67,0.525,0.524,0.519,0.49,0.497,0.466
0.008,0.008,0.007,0.187,0.181,0.188,0.356,0.468,0.459,0.051,0.034,0.045,0.119,0.108,0.126,0.616,0.702,0.66,0,0.005,0.001,0.157,0.146,0.145,0.411,0.503,0.473
0.017,0.003,0.014,0.162,0.157,0.161,0.324,0.464,0.428,0.05,0.034,0.044,0.109,0.096,0.116,0.6,0.682,0.643,0.005,0,0.004,0.143,0.135,0.131,0.385,0.498,0.449
0.011,0.009,0.006,0.187,0.185,0.192,0.353,0.473,0.466,0.051,0.034,0.044,0.123,0.112,0.13,0.625,0.711,0.67,0.001,0.004,0,0.158,0.149,0.149,0.411,0.509,0.481
0.174,0.153,0.176,0.02,0.026,0.032,0.078,0.133,0.13,0.076,0.072,0.078,0.156,0.132,0.154,0.498,0.551,0.525,0.157,0.143,0.158,0,0.003,0.003,0.074,0.136,0.109
