te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
0,0,0,0,0,0,0,0.002,0.004,0.008,0.013,0.02,0.716,0.716,0.716,0.716,0.716,0.716
0,0,0,0,0,0,0,0.002,0.004,0.008,0.013,0.02,0.716,0.716,0.716,0.716,0.716,0.716
0,0,0,0,0,0,0,0.002,0.004,0.008,0.013,0.02,0.716,0.716,0.716,0.716,0.716,0.716
0,0,0,0,0,0,0,0.002,0.004,0.008,0.013,0.02,0.716,0.716,0.716,0.716,0.716,0.716
0,0,0,0,0,0,0,0.002,0.004,0.008,0.013,0.02,0.716,0.716,0.716,0.716,0.716,0.716
0,0,0,0,0,0,0,0.002,0.004,0.008,0.013,0.02,0.716,0.716,0.716,0.716,0.716,0.716
0,0,0,0,0,0,0,0.001,0.002,0.005,0.01,0.016,0.708,0.708,0.708,0.708,0.708,0.708
0.002,0.002,0.002,0.002,0.002,0.002,0.001,0,0.001,0.002,0.006,0.011,0.692,0.692,0.692,0.692,0.692,0.692
0.004,0.004,0.004,0.004,0.004,0.004,0.002,0.001,0,0.001,0.003,0.006,0.676,0.676,0.676,0.676,0.676,0.676
0.008,0.008,0.008,0.008,0.008,0.008,0.005,0.002,0.001,0,0.001,0.003,0.66,0.66,0.66,0.66,0.66,0.66
0.013,0.013,0.013,0.013,0.013,0.013,0.01,0.006,0.003,0.001,0,0.001,0.644,0.644,0.644,0.644,0.644,0.644
0.02,0.02,0.02,0.02,0.02,0.02,0.016,0.011,0.006,0.003,0.001,0,0.628,0.628,0.628,0.628,0.628,0.628
0.716,0.716,0.716,0.716,0.716,0.716,0.708,0.692,0.676,0.66,0.644,0.628,0,0,0,0,0,0
0.716,0.716,0.716,0.716,0.716,0.716,0.708,0.692,0.676,0.66,0.644,0.628,0,0,0,0,0,0
0.716,0.716,0.716,0.716,0.716,0.716,0.708,0.692,0.676,0.66,0.644,0.628,0,0,0,0,0,0
0.716,0.716,0.716,0.716,0.716,0.716,0.708,0.692,0.676,0.66,0.644,0.628,0,0,0,0,0,0
0.716,0.716,0.716,0.716,0.716,0.716,0.708,0.692,0.676,0.66,0.644,0.628,0,0,0,0,0,0
0.716,0.716,0.716,0.716,0.716,0.716,0.708,0.692,0.676,0.66,0.644,0.628,0,0,0,0,0,0
