hospital_id,hospital_name,2014_te_crs,2014_te_vrs,2014_te_nirs,2015_te_crs,2015_te_vrs,2015_te_nirs,2016_te_crs,2016_te_vrs,2016_te_nirs,2017_te_crs,2017_te_vrs,2017_te_nirs,2018_te_crs,2018_te_vrs,2018_te_nirs,2019_te_crs,2019_te_vrs,2019_te_nirs,2020_te_crs,2020_te_vrs,2020_te_nirs
101100,Hospital Doctor Juan Noé,0.186,0.147,0.147,0.204,0.16,0.16,0.154,0.092,0.092,0.95,0.68,0.68,0.955,0.711,0.711,0.923,0.721,0.721,0.935,0.544,0.544
102100,Hospital de Iquique,0.332,0.264,0.264,0.297,0.202,0.202,0.275,0.131,0.131,0.951,0.365,0.365,0.955,0.581,0.581,0.385,0.0,0.0,0.933,0.355,0.355
103100,Hospital de Antofagasta,0.312,0.183,0.183,0.292,0.181,0.181,0.238,0.143,0.143,0.961,0.554,0.554,0.975,0.638,0.638,0.974,0.545,0.545,0.972,0.428,0.428
103101,Hospital de Calama,0.203,0.182,0.182,0.272,0.239,0.272,0.234,0.204,0.234,0.966,0.929,0.966,0.962,0.923,0.962,0.969,0.947,0.969,0.954,0.941,0.954
104100,Hospital de Copiapó,0.304,0.303,0.303,0.363,0.361,0.363,0.324,0.321,0.324,0.968,0.96,0.968,0.966,0.957,0.966,0.965,0.962,0.965,0.959,0.945,0.945
105100,Hospital de La Serena,0.102,0.084,0.084,0.129,0.128,0.128,0.124,0.114,0.114,0.939,0.498,0.498,0.952,0.672,0.672,0.95,0.624,0.624,0.968,0.907,0.907
105101,Hospital de Coquimbo,0.134,0.126,0.126,0.163,0.163,0.163,0.225,0.177,0.177,0.947,0.59,0.59,0.955,0.705,0.705,0.959,0.746,0.746,0.961,0.775,0.775
105102,Hospital de Ovalle,0.118,0.118,0.118,0.092,0.065,0.092,0.09,0.089,0.089,0.937,0.933,0.937,0.935,0.929,0.935,0.953,0.95,0.953,0.957,0.95,0.957
106100,Hospital Carlos Van Buren,0.197,0.085,0.085,0.189,0.036,0.036,0.188,0.053,0.053,0.961,0.292,0.292,0.972,0.599,0.599,0.972,0.606,0.606,0.97,0.764,0.764
106102,Hospital Dr. Eduardo Pereira Ramírez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.951,0.9,0.951,0.933,0.875,0.933,0.943,0.9,0.943,0.947,0.9,0.947
