hospital_id,hospital_name,2014_te_crs,2014_te_vrs,2014_te_nirs,2015_te_crs,2015_te_vrs,2015_te_nirs,2016_te_crs,2016_te_vrs,2016_te_nirs,2017_te_crs,2017_te_vrs,2017_te_nirs,2018_te_crs,2018_te_vrs,2018_te_nirs,2019_te_crs,2019_te_vrs,2019_te_nirs,2020_te_crs,2020_te_vrs,2020_te_nirs
101100,Hospital Doctor Juan Noé,0.173,0.163,0.163,0.173,0.164,0.164,0.142,0.116,0.116,0.95,0.685,0.685,0.955,0.711,0.711,0.923,0.753,0.753,0.935,0.568,0.568
102100,Hospital de Iquique,0.304,0.278,0.278,0.283,0.226,0.226,0.268,0.159,0.159,0.951,0.365,0.365,0.955,0.635,0.635,0.385,0.0,0.0,0.933,0.37,0.37
103100,Hospital de Antofagasta,0.248,0.17,0.17,0.238,0.151,0.151,0.199,0.134,0.134,0.961,0.543,0.543,0.973,0.608,0.608,0.973,0.535,0.535,0.97,0.379,0.379
103101,Hospital de Calama,0.177,0.164,0.164,0.326,0.258,0.326,0.305,0.242,0.305,0.973,0.929,0.973,0.969,0.923,0.969,0.974,0.947,0.974,0.957,0.941,0.957
104100,Hospital de Copiapó,0.286,0.286,0.286,0.364,0.358,0.364,0.323,0.318,0.323,0.968,0.96,0.968,0.966,0.957,0.966,0.965,0.962,0.965,0.959,0.945,0.945
105100,Hospital de La Serena,0.05,0.035,0.035,0.086,0.086,0.086,0.081,0.071,0.071,0.939,0.498,0.498,0.952,0.672,0.672,0.95,0.624,0.624,0.968,0.907,0.907
105101,Hospital de Coquimbo,0.087,0.058,0.058,0.099,0.096,0.096,0.137,0.101,0.101,0.947,0.59,0.59,0.955,0.705,0.705,0.959,0.746,0.746,0.961,0.775,0.775
105102,Hospital de Ovalle,0.124,0.12,0.12,0.105,0.072,0.105,0.107,0.103,0.107,0.937,0.933,0.937,0.935,0.929,0.935,0.953,0.95,0.953,0.957,0.95,0.957
106100,Hospital Carlos Van Buren,0.078,0.036,0.036,0.045,0.0,0.0,0.048,0.0,0.0,0.953,0.199,0.199,0.968,0.454,0.454,0.969,0.495,0.495,0.967,0.64,0.64
106102,Hospital Dr. Eduardo Pereira Ramírez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.951,0.9,0.951,0.933,0.875,0.933,0.943,0.9,0.943,0.947,0.9,0.947
106103,Hospital Claudio Vicuña,0.037,0.0,0.037,0.005,0.0,0.005,0.072,0.001,0.072,0.948,0.9,0.948,0.946,0.9,0.946,0.962,0.909,0.962,0.959,0.889,0.959
107100,Hospital Dr. Gustavo Fricke,0.073,0.047,0.047,0.045,0.01,0.01,0.081,0.037,0.037,0.961,0.317,0.317,0.964,0.291,0.291,0.965,0.304,0.304,0.965,0.347,0.347
107101,Hospital de Quillota,0.019,0.015,0.015,0.049,0.039,0.049,0.116,0.112,0.112,0.947,0.941,0.947,0.949,0.944,0.949,0.948,0.941,0.948,0.952,0.944,0.952
