hospital_id,hospital_name,2014_te_crs,2014_te_vrs,2014_te_nirs,2015_te_crs,2015_te_vrs,2015_te_nirs,2016_te_crs,2016_te_vrs,2016_te_nirs,2017_te_crs,2017_te_vrs,2017_te_nirs,2018_te_crs,2018_te_vrs,2018_te_nirs,2019_te_crs,2019_te_vrs,2019_te_nirs,2020_te_crs,2020_te_vrs,2020_te_nirs
101100,Hospital Doctor Juan Noé,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0
102100,Hospital de Iquique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103100,Hospital de Antofagasta,0.0,0.0,0.0,0.068,0.0,0.068,0.071,0.026,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103101,Hospital de Calama,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104100,Hospital de Copiapó,0.0,0.0,0.0,0.047,0.0,0.0,0.019,0.0,0.0,0.057,0.0,0.0,0.009,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0
105100,Hospital de La Serena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105101,Hospital de Coquimbo,0.178,0.0,0.0,0.173,0.0,0.0,0.156,0.0,0.0,0.113,0.0,0.0,0.299,0.0,0.0,0.24,0.0,0.0,0.254,0.0,0.0
105102,Hospital de Ovalle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106100,Hospital Carlos Van Buren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.024,0.054,0.0,0.054
106102,Hospital Dr. Eduardo Pereira Ramírez,0.241,0.0,0.0,0.21,0.0,0.0,0.218,0.0,0.0,0.248,0.0,0.0,0.271,0.0,0.0,0.217,0.0,0.0,0.181,0.0,0.0
106103,Hospital Claudio Vicuña,0.007,0.0,0.0,0.021,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107100,Hospital Dr. Gustavo Fricke,0.189,0.056,0.189,0.194,0.0,0.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107101,Hospital de Quillota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107102,Hospital de Quilpué,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
