hospital_id,hospital_name,2014_te_crs,2014_te_vrs,2014_te_nirs,2015_te_crs,2015_te_vrs,2015_te_nirs,2016_te_crs,2016_te_vrs,2016_te_nirs,2017_te_crs,2017_te_vrs,2017_te_nirs,2018_te_crs,2018_te_vrs,2018_te_nirs,2019_te_crs,2019_te_vrs,2019_te_nirs,2020_te_crs,2020_te_vrs,2020_te_nirs
101100,Hospital Doctor Juan Noé,0.686,0.706,0.706,0.662,0.686,0.686,0.733,0.801,0.801,0.026,0.036,0.026,0.023,0.034,0.023,0.04,0.047,0.047,0.033,0.033,0.033
102100,Hospital de Iquique,0.502,0.523,0.523,0.542,0.584,0.584,0.568,0.695,0.695,0.025,0.081,0.081,0.023,0.033,0.023,0.444,1.0,1.0,0.034,0.034,0.034
103100,Hospital de Antofagasta,0.524,0.604,0.604,0.548,0.628,0.628,0.616,0.714,0.714,0.02,0.023,0.02,0.013,0.019,0.013,0.013,0.018,0.013,0.014,0.016,0.014
103101,Hospital de Calama,0.662,0.686,0.662,0.572,0.651,0.572,0.62,0.702,0.62,0.018,0.071,0.018,0.02,0.077,0.02,0.016,0.053,0.016,0.024,0.059,0.024
104100,Hospital de Copiapó,0.534,0.536,0.534,0.467,0.48,0.467,0.511,0.531,0.511,0.016,0.04,0.016,0.017,0.043,0.017,0.018,0.038,0.018,0.021,0.04,0.021
105100,Hospital de La Serena,0.816,0.83,0.83,0.771,0.772,0.771,0.78,0.791,0.791,0.031,0.037,0.031,0.025,0.034,0.025,0.025,0.034,0.025,0.016,0.029,0.016
105101,Hospital de Coquimbo,0.764,0.77,0.77,0.72,0.72,0.72,0.632,0.681,0.681,0.027,0.036,0.027,0.023,0.033,0.023,0.021,0.032,0.021,0.02,0.029,0.02
105102,Hospital de Ovalle,0.789,0.797,0.789,0.832,0.885,0.832,0.835,0.836,0.836,0.032,0.067,0.032,0.033,0.071,0.033,0.024,0.05,0.024,0.022,0.05,0.022
106100,Hospital Carlos Van Buren,0.671,0.819,0.819,0.683,0.917,0.917,0.683,0.885,0.885,0.02,0.021,0.02,0.014,0.02,0.014,0.014,0.021,0.014,0.015,0.024,0.015
106102,Hospital Dr. Eduardo Pereira Ramírez,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.025,0.1,0.025,0.034,0.125,0.034,0.03,0.1,0.03,0.027,0.1,0.027
106103,Hospital Claudio Vicuña,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.98,0.027,0.1,0.027,0.028,0.1,0.028,0.019,0.091,0.019,0.021,0.111,0.021
107100,Hospital Dr. Gustavo Fricke,0.609,0.683,0.683,0.626,0.736,0.736,0.63,0.708,0.708,0.016,0.02,0.016,0.014,0.019,0.014,0.014,0.019,0.014,0.017,0.018,0.017
107101,Hospital de Quillota,0.984,0.993,0.993,0.91,0.913,0.91,0.832,0.835,0.832,0.027,0.059,0.027,0.026,0.056,0.026,0.027,0.059,0.027,0.024,0.056,0.024
107102,Hospital de Quilpué,0.627,0.708,0.627,0.563,0.75,0.563,0.58,0.713,0.58,0.041,0.071,0.041,0.024,0.091,0.024,0.027,0.067,0.027,0.033,0.083,0.033
108100,Hospital San Camilo de San Felipe,1.0,1.0,1.0,0.939,0.942,0.939,0.943,0.958,0.958,0.034,0.067,0.034,0.042,0.091,0.042,0.033,0.067,0.033,0.043,0.083,0.043
108101,Hospital San Juan de Dios (Los Andes),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.045,0.083,0.045,0.054,0.111,0.054,0.038,0.083,0.038,0.044,0.091,0.044
109100,Hospital San José,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.039,1.0,1.0,0.044,1.0,1.0,0.037,1.0,1.0,0.052,1.0,1.0
109101,Hospital Roberto del Río,0.395,0.395,0.395,0.369,0.397,0.369,0.348,0.36,0.348,0.013,0.037,0.013,0.018,0.063,0.018,0.011,0.037,0.011,0.016,0.059,0.016
110100,Hospital San Juan de Dios (Santiago),0.767,0.947,0.947,0.763,0.968,0.968,0.799,0.985,0.985,0.029,0.779,0.779,0.027,0.819,0.819,0.03,1.0,1.0,0.03,1.0,1.0
110120,Hospital Félix Bulnes Cerda,0.563,0.567,0.567,0.614,0.614,0.614,0.618,0.653,0.653,0.025,0.027,0.025,0.019,0.027,0.019,0.105,0.197,0.197,0.026,0.026,0.026
110150,Hospital de Melipilla,0.818,1.0,0.818,0.753,0.864,0.753,0.696,0.77,0.696,0.028,0.083,0.028,0.035,0.143,0.035,0.018,0.083,0.018,0.089,0.111,0.089
111100,Hospital Clínico San Borja Arriarán,0.615,0.713,0.713,0.564,0.67,0.67,0.634,0.803,0.803,0.027,0.304,0.304,0.02,0.224,0.224,0.03,0.079,0.079,0.031,0.298,0.298
111101,Hospital El Carmen de Maipú,0.248,0.333,0.248,0.483,0.525,0.525,0.53,0.586,0.586,0.024,0.031,0.031,0.02,0.023,0.02,0.03,0.04,0.04,0.037,0.26,0.26
111195,Hospital de Urgencia Asistencia Pública,0.279,0.28,0.28,0.242,0.272,0.242,0.339,0.339,0.339,0.019,0.022,0.019,0.029,0.029,0.029,0.047,0.069,0.069,0.046,0.09,0.09
112100,Hospital Del Salvador de Santiago,0.662,0.709,0.709,0.754,0.784,0.784,0.574,0.587,0.574,0.024,0.026,0.024,0.021,0.026,0.021,0.023,0.026,0.023,0.022,0.023,0.022
112101,Hospital Santiago Oriente Luis Tisne,1.0,1.0,1.0,1.0,1.0,1.0,0.996,1.0,1.0,0.028,0.05,0.028,0.034,0.063,0.034,0.026,0.048,0.026,0.031,0.045,0.031
112102,Hospital Luis Calvo Mackena,0.525,0.552,0.525,0.522,0.547,0.522,0.516,0.519,0.516,0.019,0.043,0.019,0.014,0.04,0.014,0.014,0.042,0.014,0.013,0.038,0.013
112103,Hospital del Tórax,0.42,0.893,0.42,0.4,0.9,0.4,0.481,0.818,0.481,0.019,0.091,0.019,0.017,0.091,0.017,0.016,0.091,0.016,0.017,0.083,0.017
112104,Instituto de Neurocirugía,0.216,0.889,0.216,0.24,0.9,0.24,0.285,0.9,0.285,0.013,0.1,0.013,0.011,0.1,0.011,0.011,0.1,0.011,0.012,0.1,0.012
113100,Hospital Barros Luco Trudeau,0.611,0.785,0.785,0.647,1.0,1.0,0.705,1.0,1.0,0.024,1.0,1.0,0.022,0.971,0.971,0.031,1.0,1.0,0.041,1.0,1.0
113130,Hospital Exequiel González Cortés,0.51,0.59,0.51,0.512,0.638,0.512,0.426,0.542,0.426,0.015,0.059,0.015,0.017,0.063,0.017,0.019,0.048,0.019,0.053,0.067,0.053
113180,Hospital Sanatorio El Pino,0.85,0.902,0.902,0.754,0.797,0.797,0.808,0.83,0.83,0.021,0.04,0.021,0.029,0.056,0.029,0.02,0.038,0.02,0.027,0.042,0.027
114101,Hospital Sótero del Río,0.746,1.0,1.0,0.637,1.0,1.0,0.7,1.0,1.0,0.026,1.0,1.0,0.025,1.0,1.0,0.018,1.0,1.0,0.022,1.0,1.0
114103,Hospital Padre Alberto Hurtado,0.773,0.875,0.875,0.711,0.838,0.838,0.743,0.839,0.839,0.023,0.026,0.023,0.023,0.027,0.023,0.021,0.026,0.021,0.024,0.027,0.024
115100,Hospital de Rancagua,0.573,0.608,0.608,0.625,0.633,0.633,0.544,0.592,0.592,0.029,0.082,0.082,0.022,0.103,0.103,0.039,0.216,0.216,0.053,0.991,0.991
115107,Hospital San Fernando,0.851,0.921,0.851,0.906,0.996,0.906,0.857,0.928,0.857,0.03,0.091,0.03,0.026,0.083,0.026,0.025,0.083,0.025,0.025,0.077,0.025
116100,Hospital de Curicó,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.039,0.043,0.039,0.034,0.043,0.034,0.035,0.043,0.035,0.033,0.042,0.033
116105,Hospital de Talca,0.658,0.737,0.737,0.628,0.703,0.703,0.653,0.751,0.751,0.02,0.192,0.192,0.022,0.267,0.267,0.02,0.385,0.385,0.027,0.67,0.67
116108,Hospital de Linares,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03,0.053,0.03,0.037,0.067,0.037,0.026,0.053,0.026,0.033,0.059,0.033
117101,Hospital de Chillán,0.691,0.812,0.812,0.68,0.764,0.764,0.621,0.711,0.711,0.021,0.023,0.021,0.025,0.025,0.025,0.022,0.022,0.022,0.03,0.205,0.205
117102,Hospital de San Carlos,0.87,1.0,0.87,0.811,1.0,0.811,0.854,0.967,0.854,0.186,0.37,0.37,0.359,0.649,0.649,0.418,0.76,0.76,0.111,0.111,0.111
118100,Hospital Guillermo Grant Benavente,0.627,1.0,1.0,0.549,1.0,1.0,0.606,1.0,1.0,0.118,1.0,1.0,0.104,1.0,1.0,0.202,1.0,1.0,0.052,1.0,1.0
118105,Hospital de Coronel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.386,1.0,1.0,0.937,1.0,1.0,0.54,1.0,1.0,0.56,1.0,1.0
119100,Hospital de Las Higueras,0.716,0.811,0.811,0.663,0.76,0.76,0.705,0.815,0.815,0.021,0.023,0.021,0.019,0.022,0.019,0.022,0.022,0.022,0.02,0.02,0.02
120101,Hospital de Los Ángeles,0.756,0.895,0.895,0.709,0.909,0.909,0.73,0.904,0.904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
121109,Hospital de Temuco,0.779,0.984,0.984,0.732,1.0,1.0,0.766,1.0,1.0,0.019,0.681,0.681,0.02,0.91,0.91,0.033,0.528,0.528,0.029,0.525,0.525
122100,Hospital de Valdivia,0.698,0.78,0.78,0.693,0.799,0.799,0.717,0.837,0.837,0.021,0.024,0.021,0.019,0.024,0.019,0.029,0.034,0.034,0.037,0.354,0.354
