hospital_id,hospital_name,2014_te_crs,2014_te_vrs,2014_te_nirs,2015_te_crs,2015_te_vrs,2015_te_nirs,2016_te_crs,2016_te_vrs,2016_te_nirs,2017_te_crs,2017_te_vrs,2017_te_nirs,2018_te_crs,2018_te_vrs,2018_te_nirs,2019_te_crs,2019_te_vrs,2019_te_nirs,2020_te_crs,2020_te_vrs,2020_te_nirs
101100,Hospital Doctor Juan Noé,0.706,0.712,0.712,0.705,0.708,0.708,0.752,0.776,0.776,0.026,0.036,0.026,0.023,0.034,0.023,0.04,0.047,0.047,0.033,0.033,0.033
102100,Hospital de Iquique,0.534,0.542,0.542,0.559,0.581,0.581,0.577,0.663,0.663,0.025,0.081,0.081,0.023,0.033,0.023,0.444,1.0,1.0,0.034,0.034,0.034
103100,Hospital de Antofagasta,0.602,0.671,0.671,0.615,0.697,0.697,0.668,0.748,0.748,0.02,0.023,0.02,0.013,0.019,0.013,0.014,0.018,0.014,0.015,0.016,0.015
103101,Hospital de Calama,0.699,0.713,0.699,0.509,0.651,0.509,0.533,0.683,0.533,0.014,0.071,0.014,0.016,0.077,0.016,0.013,0.053,0.013,0.022,0.059,0.022
104100,Hospital de Copiapó,0.555,0.563,0.555,0.467,0.493,0.467,0.512,0.542,0.512,0.016,0.04,0.016,0.017,0.043,0.017,0.018,0.038,0.018,0.021,0.04,0.021
105100,Hospital de La Serena,0.904,0.928,0.928,0.842,0.842,0.842,0.85,0.861,0.861,0.031,0.037,0.031,0.025,0.034,0.025,0.025,0.034,0.025,0.016,0.029,0.016
105101,Hospital de Coquimbo,0.84,0.884,0.884,0.82,0.821,0.821,0.759,0.802,0.802,0.027,0.036,0.027,0.023,0.033,0.023,0.021,0.032,0.021,0.02,0.029,0.02
105102,Hospital de Ovalle,0.779,0.78,0.78,0.81,0.874,0.81,0.807,0.814,0.807,0.032,0.067,0.032,0.033,0.071,0.033,0.024,0.05,0.024,0.022,0.05,0.022
106100,Hospital Carlos Van Buren,0.856,0.927,0.927,0.913,1.0,1.0,0.908,1.0,1.0,0.024,0.324,0.324,0.016,0.02,0.016,0.016,0.021,0.016,0.017,0.024,0.017
106102,Hospital Dr. Eduardo Pereira Ramírez,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.025,0.1,0.025,0.034,0.125,0.034,0.03,0.1,0.03,0.027,0.1,0.027
106103,Hospital Claudio Vicuña,0.929,1.0,0.929,0.99,1.0,0.99,0.865,0.999,0.865,0.027,0.1,0.027,0.028,0.1,0.028,0.019,0.091,0.019,0.021,0.111,0.021
107100,Hospital Dr. Gustavo Fricke,0.864,0.909,0.909,0.915,0.979,0.979,0.849,0.926,0.926,0.02,0.05,0.05,0.019,0.019,0.019,0.018,0.019,0.018,0.018,0.036,0.036
107101,Hospital de Quillota,0.963,0.97,0.97,0.906,0.927,0.906,0.793,0.797,0.797,0.027,0.059,0.027,0.026,0.056,0.026,0.027,0.059,0.027,0.024,0.056,0.024
107102,Hospital de Quilpué,0.627,0.704,0.627,0.552,0.75,0.552,0.577,0.735,0.577,0.041,0.071,0.041,0.024,0.091,0.024,0.027,0.067,0.027,0.033,0.083,0.033
108100,Hospital San Camilo de San Felipe,1.0,1.0,1.0,0.948,0.968,0.948,0.976,0.98,0.98,0.034,0.067,0.034,0.042,0.091,0.042,0.033,0.067,0.033,0.043,0.083,0.043
108101,Hospital San Juan de Dios (Los Andes),1.0,1.0,1.0,0.972,1.0,0.972,1.0,1.0,1.0,0.045,0.083,0.045,0.054,0.111,0.054,0.038,0.083,0.038,0.044,0.091,0.044
109100,Hospital San José,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.039,1.0,1.0,0.044,1.0,1.0,0.037,1.0,1.0,0.052,1.0,1.0
109101,Hospital Roberto del Río,0.468,0.496,0.468,0.458,0.481,0.458,0.415,0.466,0.415,0.013,0.037,0.013,0.02,0.063,0.02,0.013,0.037,0.013,0.016,0.059,0.016
110100,Hospital San Juan de Dios (Santiago),0.917,1.0,1.0,0.915,1.0,1.0,0.898,1.0,1.0,0.029,0.928,0.928,0.027,0.917,0.917,0.03,1.0,1.0,0.03,1.0,1.0
