hospital_id,hospital_name,2014_te_crs,2014_te_vrs,2014_te_nirs,2015_te_crs,2015_te_vrs,2015_te_nirs,2016_te_crs,2016_te_vrs,2016_te_nirs,2017_te_crs,2017_te_vrs,2017_te_nirs,2018_te_crs,2018_te_vrs,2018_te_nirs,2019_te_crs,2019_te_vrs,2019_te_nirs,2020_te_crs,2020_te_vrs,2020_te_nirs
101100,Hospital Doctor Juan Noé,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.926,1.0,1.0,0.952,1.0,1.0,1.0,1.0,1.0
102100,Hospital de Iquique,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
103100,Hospital de Antofagasta,1.0,1.0,1.0,0.873,1.0,0.873,0.868,0.96,0.868,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
103101,Hospital de Calama,1.0,1.0,1.0,0.954,1.0,1.0,1.0,1.0,1.0,0.965,1.0,1.0,0.899,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
104100,Hospital de Copiapó,1.0,1.0,1.0,0.91,1.0,1.0,0.962,1.0,1.0,0.893,1.0,1.0,0.982,1.0,1.0,0.985,1.0,1.0,1.0,1.0,1.0
105100,Hospital de La Serena,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
105101,Hospital de Coquimbo,0.698,1.0,1.0,0.705,1.0,1.0,0.73,1.0,1.0,0.797,1.0,1.0,0.539,1.0,1.0,0.613,1.0,1.0,0.595,1.0,1.0
105102,Hospital de Ovalle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
106100,Hospital Carlos Van Buren,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.954,1.0,0.954,0.897,1.0,0.897
106102,Hospital Dr. Eduardo Pereira Ramírez,0.611,1.0,1.0,0.653,1.0,1.0,0.642,1.0,1.0,0.603,1.0,1.0,0.574,1.0,1.0,0.643,1.0,1.0,0.694,1.0,1.0
106103,Hospital Claudio Vicuña,0.987,1.0,1.0,0.958,1.0,1.0,0.848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
107100,Hospital Dr. Gustavo Fricke,0.681,0.938,0.681,0.676,1.0,0.676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
107101,Hospital de Quillota,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
107102,Hospital de Quilpué,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108100,Hospital San Camilo de San Felipe,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108101,Hospital San Juan de Dios (Los Andes),0.613,0.613,0.613,0.49,0.49,0.49,0.481,0.499,0.481,0.508,0.515,0.515,0.571,0.575,0.575,0.546,0.566,0.546,0.497,0.529,0.497
109100,Hospital San José,0.977,0.982,0.977,0.983,0.986,0.983,0.988,0.989,0.988,0.895,0.903,0.895,0.927,0.934,0.927,1.0,1.0,1.0,1.0,1.0,1.0
109101,Hospital Roberto del Río,0.65,0.66,0.66,0.642,0.686,0.642,0.723,0.745,0.723,0.751,0.767,0.751,0.78,0.789,0.78,1.0,1.0,1.0,0.826,0.853,0.853
