hospital_id,hospital_fns_id,region,row_index,21_value,22_value
101100,103,15,7943,19779705,10982608
102100,203,1,7946,27881106,15394204
103100,303,3,7950,29969438,15065061
103101,304,3,7951,11358890,3408115
104100,403,3,7958,17876433,11031162
105100,503,4,7965,17866865,13789596
105101,504,4,7966,19796143,13948297
105102,505,4,7967,11496479,5926447
108100,803,5,7997,11765441,5672000
108101,804,5,7998,9317995,4600524
107101,704,5,7985,12084109,7848501
107100,703,5,7984,33677672,29614260
106100,603,5,7976,33488100,20783099
107102,705,5,7986,10378035,4741308
106102,607,5,7980,8286791,4369250
110120,2708,13,8195,23369931,15524731
109101,2605,13,8184,20226433,9119011
109100,2606,13,8185,36250582,29896273
109103,2607,13,8186,6557541,6821145
109102,2608,13,8187,8557075,4311417
112102,2304,13,8159,17279946,19458379
112106,2307,13,8162,2660008,911812
110110,27010,13,8197,5362731,5936025
112100,2306,13,8161,27201643,39817772
112104,2308,13,8163,8477152,7902159
112103,2303,13,8158,8552125,12167125
110100,2709,13,8196,35301774,35296769
111195,2405,13,8170,30860242,15144001
112105,2309,13,8164,2126196,1105545
111100,2404,13,8169,40032564,36260229
113130,2505,13,8176,13113697,6688299
113100,2503,13,8174,46555512,33283909
112101,2305,13,8160,14654696,10264670
111101,2406,13,8171,19066734,15565728
114105,2807,13,8204,19726371,15300928
114103,3001,13,8206,24929729,16389881
114101,2805,13,8202,56699128,36817702
113180,2508,13,8179,17687095,9572895
106103,604,5,7977,8692940,5097645
110150,2705,13,8192,8015688,4248971
115100,903,6,8007,30347442,22741549
115107,9010,6,8014,9245299,5289093
116100,1003,7,8024,16081403,8928871
116105,1008,7,8029,31177264,20887263
116108,10011,7,8032,13903689,6293421
117102,1104,16,8040,7668872,3162510
117101,1103,16,8039,28735464,16902304
119101,1304,8,8061,5466781,1582529
119100,1303,8,8060,29827847,23901859
118100,1203,8,8050,55487227,37066446
118105,1205,8,8052,8200509,2344199
118106,1206,8,8053,6288824,2134860
120101,1405,8,8068,32362178,23293753
129100,1603,9,8082,9588953,3670300
129106,1604,9,8083,10360750,4029868
121109,17016,9,8104,44373041,34521992
122100,1803,14,8107,29390236,19357425
123100,1903,10,8117,26647630,14705748
124105,20011,10,8133,32068330,21406747
133150,3302,10,8210,12403286,4197152
125100,2107,11,8141,19606460,9216381
126100,2205,12,8149,23263245,11833050
