DMUs,period,21_value_normalized,22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized
101100,2014,0.25,0.21,0.33,0.2,0.22,0.06
111100,2014,0.52,0.73,0.52,0.56,0.34,0.12
112105,2014,0.01,0.01,0.06,0.0,0.0,0.0
111195,2014,0.4,0.3,0.18,0.17,0.18,0.08
110100,2014,0.46,0.71,0.51,0.74,0.44,0.0
112103,2014,0.1,0.24,0.09,0.09,0.04,0.0
112104,2014,0.1,0.15,0.08,0.04,0.06,0.0
112100,2014,0.35,0.81,0.37,0.45,0.33,0.0
110110,2014,0.05,0.11,0.08,0.05,0.16,0.0
133150,2014,0.15,0.07,0.15,0.08,0.12,0.07
112106,2014,0.02,0.01,0.02,0.0,0.0,0.0
112102,2014,0.21,0.39,0.2,0.19,0.2,0.0
109102,2014,0.1,0.08,0.05,0.0,0.0,0.0
109103,2014,0.07,0.13,0.05,0.06,0.04,0.0
109100,2014,0.47,0.6,0.62,0.79,0.89,0.0
109101,2014,0.25,0.18,0.18,0.11,0.17,0.0
110120,2014,0.3,0.31,0.33,0.2,0.29,0.0
106102,2014,0.09,0.08,0.12,0.35,0.07,0.0
125100,2014,0.25,0.18,0.19,0.2,0.11,0.0
107102,2014,0.12,0.09,0.16,0.1,0.14,0.0
106100,2014,0.43,0.41,0.57,0.25,0.33,0.0
107100,2014,0.43,0.6,0.46,0.42,0.31,0.0
107101,2014,0.14,0.15,0.24,0.27,0.2,0.0
108101,2014,0.11,0.08,0.21,0.11,0.2,0.0
124105,2014,0.41,0.43,0.44,0.28,0.28,0.0
113130,2014,0.16,0.13,0.16,0.07,0.16,0.0
113100,2014,0.61,0.67,0.59,0.68,0.49,0.13
112101,2014,0.18,0.2,0.39,0.02,0.18,0.0
129106,2014,0.12,0.07,0.16,0.08,0.11,0.0
129100,2014,0.11,0.06,0.17,0.07,0.11,0.0
120101,2014,0.42,0.47,0.56,0.44,0.36,0.0
118106,2014,0.07,0.03,0.1,0.08,0.05,0.21
118105,2014,0.09,0.04,0.16,0.11,0.12,0.27
118100,2014,0.73,0.75,0.75,0.73,0.53,0.12
119100,2014,0.38,0.48,0.49,0.36,0.37,0.0
119101,2014,0.06,0.02,0.08,0.08,0.08,0.1
122100,2014,0.38,0.39,0.45,0.4,0.4,0.03
117101,2014,0.37,0.34,0.46,0.32,0.39,0.0
117102,2014,0.09,0.05,0.14,0.08,0.13,0.0
108100,2014,0.14,0.1,0.26,0.12,0.24,0.0
116108,2014,0.17,0.12,0.32,0.18,0.27,0.08
116100,2014,0.2,0.17,0.31,0.39,0.28,0.42
115107,2014,0.11,0.1,0.2,0.08,0.15,0.0
115100,2014,0.39,0.46,0.39,0.32,0.36,0.06
110150,2014,0.09,0.08,0.16,0.09,0.12,0.0
123100,2014,0.34,0.29,0.36,0.28,0.34,0.0
106103,2014,0.1,0.09,0.2,0.11,0.1,0.0
113180,2014,0.22,0.18,0.35,0.23,0.23,0.0
