hospital_id,hospital_fns_id,region,21_value,22_value,hospital_discharge,diagnostic_tests,surgical_interventions,medical_consultations,21_value_normalized,22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,GRD
101100,103,15,39233104.71,24193317.39,13845,0.0,0.0,2583.0,0.31,0.3,0.3,0.0,0.0,0.05,0.98
102100,203,1,54135019.32,24120032.02,15713,0.0,0.0,1886.0,0.44,0.3,0.34,0.0,0.0,0.04,0.95
103100,303,3,77803971.44,62511098.09,16654,0.0,0.0,0.0,0.63,0.79,0.36,0.0,0.0,0.0,1.16
103101,304,3,31251219.29,14344814.83,9146,0.0,0.0,0.0,0.24,0.17,0.2,0.0,0.0,0.0,0.93
104100,403,3,33101436.54,20611297.65,10434,0.0,0.0,0.0,0.26,0.25,0.23,0.0,0.0,0.0,0.85
105100,503,4,42455399.01,27816714.03,10610,0.0,0.0,0.0,0.34,0.34,0.23,0.0,0.0,0.0,1.04
105101,504,4,45073633.37,27658611.9,11531,0.0,0.0,0.0,0.36,0.34,0.25,0.0,0.0,0.0,1.06
105102,505,4,33753243.09,17101086.68,7028,0.0,0.0,0.0,0.26,0.21,0.15,0.0,0.0,0.0,0.92
106100,603,5,59630744.76,33596269.81,12749,0.0,0.0,0.0,0.48,0.42,0.28,0.0,0.0,0.0,1.15
106102,607,5,14820455.51,9201061.61,3628,0.0,0.0,0.0,0.11,0.11,0.08,0.0,0.0,0.0,1.26
106103,604,5,14906523.1,8512338.99,5403,0.0,0.0,0.0,0.11,0.1,0.12,0.0,0.0,0.0,0.77
107100,703,5,67889835.08,59957979.65,16476,0.0,0.0,0.0,0.55,0.75,0.36,0.0,0.0,0.0,1.25
107101,704,5,24545724.03,18405077.49,7828,0.0,0.0,0.0,0.19,0.22,0.17,0.0,0.0,0.0,0.9
107102,705,5,20688477.82,10944238.2,6106,0.0,0.0,1186.0,0.16,0.13,0.13,0.0,0.0,0.02,0.83
108100,803,5,22676414.77,10367637.67,8460,0.0,0.0,0.0,0.17,0.12,0.18,0.0,0.0,0.0,0.93
108101,804,5,18333082.54,9607985.82,6807,0.0,0.0,0.0,0.14,0.11,0.15,0.0,0.0,0.0,0.91
109100,2606,13,70723921.61,51416620.12,21955,0.0,0.0,0.0,0.57,0.65,0.48,0.0,0.0,0.0,0.97
109101,2605,13,34448396.41,14757780.26,4966,0.0,0.0,0.0,0.27,0.18,0.11,0.0,0.0,0.0,1.33
109102,2608,13,15593737.02,6941256.92,1738,0.0,0.0,0.0,0.11,0.08,0.04,0.0,0.0,0.0,
109103,2607,13,17392915.27,11873932.31,2411,0.0,0.0,0.0,0.13,0.14,0.05,0.0,0.0,0.0,1.16
110100,2709,13,69700178.78,60138464.04,16896,0.0,0.0,62.0,0.57,0.76,0.37,0.0,0.0,0.0,1.29
110110,27010,13,9209794.95,9162059.04,3143,0.0,0.0,0.0,0.06,0.11,0.07,0.0,0.0,0.0,1.25
110120,2708,13,61386944.32,30618940.24,14910,0.0,0.0,0.0,0.5,0.38,0.33,0.0,0.0,0.0,1.02
110150,2705,13,17745016.96,8221349.28,5921,0.0,0.0,1946.0,0.13,0.09,0.13,0.0,0.0,0.04,0.77
111100,2404,13,76752801.3,53104300.09,16936,0.0,0.0,5149.0,0.62,0.67,0.37,0.0,0.0,0.1,1.01
111101,2406,13,66642885.97,38939276.29,14797,0.0,0.0,4477.0,0.54,0.49,0.32,0.0,0.0,0.09,1.15
111195,2405,13,58333155.76,28064407.26,8789,0.0,0.0,3921.0,0.47,0.35,0.19,0.0,0.0,0.08,1.67
112100,2306,13,52479720.76,77550086.12,10078,0.0,0.0,0.0,0.42,0.98,0.22,0.0,0.0,0.0,1.41
112101,2305,13,28205483.55,18641961.58,13910,0.0,0.0,0.0,0.22,0.23,0.3,0.0,0.0,0.0,0.87
112102,2304,13,32933954.79,25787162.64,5308,0.0,0.0,0.0,0.26,0.32,0.11,0.0,0.0,0.0,1.63
112103,2303,13,17056325.37,23665685.41,2848,0.0,0.0,0.0,0.12,0.29,0.06,0.0,0.0,0.0,2.31
112104,2308,13,14316664.2,11156078.94,2446,0.0,0.0,0.0,0.1,0.13,0.05,0.0,0.0,0.0,1.97
112105,2309,13,4319889.6,1628836.39,802,0.0,0.0,0.0,0.02,0.01,0.02,0.0,0.0,0.0,
112106,2307,13,4690892.84,1786877.53,1185,0.0,0.0,0.0,0.02,0.01,0.02,0.0,0.0,0.0,
113100,2503,13,83249187.53,63738425.54,26714,0.0,0.0,7307.0,0.68,0.8,0.58,0.0,0.0,0.14,1.09
113130,2505,13,26916297.26,13015717.54,4865,0.0,0.0,2303.0,0.21,0.15,0.1,0.0,0.0,0.04,1.15
113180,2508,13,35930516.54,20096998.94,11828,0.0,0.0,0.0,0.28,0.25,0.26,0.0,0.0,0.0,0.97
114101,2805,13,118904142.69,78198215.08,32035,0.0,0.0,0.0,0.98,0.99,0.7,0.0,0.0,0.0,1.15
114103,3001,13,49187037.58,30220975.14,14097,0.0,0.0,1852.0,0.39,0.37,0.31,0.0,0.0,0.04,0.97
114105,2807,13,59808624.77,54358521.99,13417,0.0,0.0,2244.0,0.48,0.68,0.29,0.0,0.0,0.04,1.13
115100,903,6,70295192.94,42230358.75,19075,0.0,0.0,7353.0,0.57,0.53,0.42,0.0,0.0,0.14,1.17
115107,9010,6,18445448.59,14932908.23,5981,0.0,0.0,0.0,0.14,0.18,0.13,0.0,0.0,0.0,1.0
116100,1003,7,31089879.34,24859679.15,11726,0.0,0.0,0.0,0.24,0.31,0.26,0.0,0.0,0.0,0.92
116105,1008,7,73692040.62,45044609.62,22417,0.0,0.0,0.0,0.6,0.56,0.49,0.0,0.0,0.0,1.15
116108,10011,7,26089520.03,14277026.05,10025,0.0,0.0,0.0,0.2,0.17,0.22,0.0,0.0,0.0,0.9
117101,1103,16,60033388.97,32088516.76,15819,0.0,0.0,3196.0,0.48,0.4,0.35,0.0,0.0,0.06,0.98
117102,1104,16,17456246.43,8174251.09,5834,0.0,0.0,2434.0,0.13,0.09,0.13,0.0,0.0,0.05,0.79
118100,1203,8,111309900.08,69499242.41,22485,0.0,0.0,11638.0,0.91,0.88,0.49,0.0,0.0,0.23,1.3
118105,1205,8,15725379.12,5022299.66,5124,0.0,0.0,6956.0,0.11,0.05,0.11,0.0,0.0,0.14,0.7
118106,1206,8,13137867.67,4309391.83,3064,0.0,0.0,3153.0,0.09,0.04,0.06,0.0,0.0,0.06,0.77
119100,1303,8,59877485.69,40133566.42,15817,0.0,0.0,0.0,0.48,0.5,0.35,0.0,0.0,0.0,1.06
119101,1304,8,12328706.92,4280587.43,2680,0.0,0.0,574.0,0.09,0.04,0.06,0.0,0.0,0.01,0.83
120101,1405,8,4400025.11,1984045.36,19704,0.0,0.0,2813.0,0.02,0.01,0.43,0.0,0.0,0.05,0.99
121109,17016,9,84712537.72,69190952.94,21485,0.0,0.0,5242.0,0.69,0.87,0.47,0.0,0.0,0.1,1.15
122100,1803,14,53400373.37,41647670.99,15258,0.0,0.0,4299.0,0.43,0.52,0.33,0.0,0.0,0.08,1.05
123100,1903,10,49446032.15,31438454.31,13559,0.0,0.0,0.0,0.4,0.39,0.3,0.0,0.0,0.0,0.97
124105,20011,10,81260039.34,54483069.99,19900,0.0,0.0,5299.0,0.66,0.68,0.43,0.0,0.0,0.1,1.06
125100,2107,11,37194971.92,17051090.93,7014,0.0,0.0,0.0,0.29,0.21,0.15,0.0,0.0,0.0,0.93
126100,2205,12,47880336.46,27440097.57,7945,0.0,0.0,0.0,0.38,0.34,0.17,0.0,0.0,0.0,1.17
129100,1603,9,22650924.16,9190572.4,5736,0.0,0.0,7233.0,0.17,0.11,0.12,0.0,0.0,0.14,0.83
129106,1604,9,19932627.68,8502289.55,5154,0.0,0.0,2786.0,0.15,0.1,0.11,0.0,0.0,0.05,0.88
133150,3302,10,24137287.91,8367068.3,5828,0.0,0.0,1639.0,0.18,0.1,0.13,0.0,0.0,0.03,0.84
