hospital_id,hospital_discharge,diagnostic_tests,surgical_interventions,medical_consultations,GRD
102100,16997,968415.0,13041.0,1813.0,0.768
103101,8222,515196.0,3403.0,0.0,0.6405
103100,18800,1244458.0,17650.0,0.0,0.8502
104100,10747,577516.0,8153.0,0.0,0.7622
105102,8859,736166.0,8575.0,0.0,0.6664
105101,13011,764027.0,14459.0,0.0,0.9574
105100,13452,1315462.0,14176.0,0.0,0.8919
106103,8563,626569.0,4866.0,0.0,0.6651
106102,5395,1277644.0,3266.0,0.0,1.0217
107102,6995,381535.0,5601.0,1951.0,0.732
106100,24398,1342933.0,16796.0,0.0,1.0065
107100,19157,2221028.0,16704.0,0.0,1.2024
107101,10739,941821.0,9167.0,0.0,0.7147
108101,9344,479812.0,9613.0,0.0,0.7301
108100,10752,531806.0,10201.0,0.0,0.7861
115107,8596,482731.0,7215.0,0.0,0.7568
115100,16427,1586996.0,15878.0,4055.0,1.0005
116108,14402,874443.0,10954.0,557.0,0.7566
116105,20579,2558535.0,17422.0,0.0,0.9832
116100,13684,2003373.0,14459.0,89.0,0.772
120101,23771,2199394.0,16378.0,3390.0,0.777
118106,4434,425595.0,2680.0,10818.0,
119101,3693,440645.0,3917.0,7470.0,
119100,20160,1891373.0,16395.0,0.0,0.9047
118100,31084,3659855.0,24867.0,6338.0,1.0688
121109,32139,3230748.0,22655.0,4860.0,0.9671
129100,7343,381203.0,5540.0,5597.0,0.6401
129106,7192,434588.0,4684.0,2222.0,0.7034
123100,15533,1423201.0,15330.0,0.0,0.8411
124105,22886,1609874.0,17449.0,0.0,0.8958
133150,7145,443578.0,5789.0,2057.0,0.8261
125100,9443,1001494.0,5581.0,0.0,0.7813
126100,11556,717852.0,8146.0,0.0,0.9221
109103,3039,311817.0,2320.0,0.0,
111195,7713,864977.0,11425.0,3416.0,1.2158
113130,6906,382324.0,6265.0,0.0,1.1243
113100,27120,3549134.0,23080.0,5905.0,0.8687
112101,15857,75796.0,8562.0,0.0,0.7216
111101,15656,1692053.0,10389.0,2544.0,0.8391
114105,14496,768126.0,12319.0,2097.0,0.8492
114103,17820,1900057.0,10509.0,779.0,0.759
114101,41770,2920481.0,31794.0,7818.0,0.9084
113180,14353,1162141.0,10045.0,0.0,0.7591
110150,6925,565302.0,6260.0,794.0,0.6374
110100,23870,3660426.0,20068.0,174.0,0.9964
112103,4872,523358.0,1563.0,0.0,1.6305
111100,22750,2607296.0,15747.0,6875.0,0.9064
109100,25223,3716030.0,42682.0,0.0,0.7938
109101,7807,563056.0,7107.0,0.0,1.0933
110120,15308,1096023.0,15343.0,0.0,0.8179
109102,2651,24280.0,0.0,0.0,
112104,3950,257990.0,3146.0,0.0,1.7665
112102,8991,917751.0,8071.0,0.0,1.2657
112106,923,406.0,0.0,0.0,
110110,3380,237693.0,7387.0,0.0,1.313
112105,3488,2720.0,1.0,0.0,
112100,9153,1769735.0,15985.0,0.0,1.1712
122100,19573,1994242.0,15081.0,2051.0,0.8982
101100,15622,1053372.0,11346.0,2575.0,0.7772
117102,6999,411289.0,7464.0,0.0,0.6947
117101,19464,1565551.0,20241.0,0.0,0.8237
118105,6838,588009.0,5519.0,15772.0,0.5865
