hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input,te_output,te_directional
101100,0.28,0.27,0.35,0.25,0.28,0.05,0.79,0.051,19.6,0.903
102100,0.42,0.31,0.38,0.22,0.43,0.01,0.78,0.05,20.023,0.905
103100,0.44,0.46,0.39,0.28,0.36,0,0.86,0.04,25.056,0.923
103101,0.14,0.13,0.17,0.11,0.07,0,0.66,0.044,22.647,0.915
104100,0.25,0.24,0.24,0.15,0.18,0,0.75,0.035,28.472,0.932
105100,0.27,0.32,0.29,0.24,0.35,0,0.91,0.063,15.814,0.881
105101,0.28,0.3,0.29,0.19,0.32,0,0.98,0.056,17.937,0.894
105102,0.16,0.14,0.19,0.17,0.21,0,0.7,0.064,15.619,0.88
106100,0.48,0.47,0.53,0.3,0.32,0,1,0.04,24.906,0.923
106102,0.1,0.07,0.12,0.14,0.08,0,1.02,0.053,18.929,0.9
106103,0.11,0.1,0.17,0.15,0.1,0,0.68,0.056,17.794,0.894
107100,0.5,0.66,0.41,0.41,0.34,0,1.19,0.033,30.147,0.936
107101,0.17,0.18,0.22,0.23,0.2,0,0.74,0.057,17.425,0.891
107102,0.15,0.1,0.15,0.08,0.14,0.04,0.74,0.076,13.125,0.858
108100,0.15,0.12,0.24,0.13,0.22,0,0.79,0.072,13.977,0.866
108101,0.12,0.1,0.2,0.11,0.23,0,0.76,0.093,10.696,0.829
109100,0.54,0.51,0.56,0.91,0.84,0,0.81,0.076,13.179,0.859
109101,0.27,0.18,0.19,0.12,0.17,0,1.05,0.031,32.559,0.94
109102,0.12,0.08,0.05,0.01,0,0,NA,0.015,66,0.97
109103,0.12,0.13,0.06,0.07,0.06,0,NA,0.024,41,0.952
110100,0.54,0.67,0.5,0.84,0.43,0,1.01,0.059,17.036,0.889
110110,0.06,0.12,0.07,0.05,0.16,0,1.19,0.13,7.687,0.77
110120,0.37,0.44,0.36,0.29,0.38,0,0.82,0.05,19.961,0.905
110150,0.13,0.08,0.15,0.13,0.15,0.01,0.64,0.056,17.767,0.893
111100,0.58,0.8,0.54,0.61,0.37,0.11,0.9,0.054,18.455,0.897
111101,0.47,0.45,0.38,0.43,0.21,0.08,0.9,0.049,20.562,0.907
111195,0.46,0.41,0.18,0.2,0.17,0.06,1.24,0.037,26.833,0.928
112100,0.37,0.77,0.21,0.4,0.37,0,1.2,0.049,20.5,0.907
112101,0.21,0.17,0.34,0.02,0.19,0,0.73,0.059,16.985,0.889
112102,0.24,0.34,0.18,0.21,0.19,0,1.38,0.039,25.895,0.926
112103,0.11,0.26,0.11,0.11,0.04,0,1.67,0.038,26.5,0.927
112104,0.11,0.14,0.08,0.06,0.08,0,1.68,0.035,28.188,0.931
112105,0.01,0.01,0.08,0,0,0,NA,0.291,3.437,0.549
112106,0.02,0,0.02,0,0,0,NA,1,1,0
113100,0.66,0.67,0.63,0.86,0.55,0.09,0.93,0.049,20.337,0.906
113130,0.18,0.14,0.15,0.08,0.13,0,1.12,0.035,28.385,0.932
113180,0.25,0.18,0.31,0.27,0.21,0,0.78,0.045,22.177,0.914
114101,0.91,0.83,0.9,0.67,0.73,0.17,0.96,0.053,18.735,0.899
114103,0.39,0.32,0.41,0.47,0.25,0.02,0.78,0.045,21.989,0.913
114105,0.42,0.53,0.34,0.18,0.26,0.05,0.86,0.034,29.4,0.934
115100,0.49,0.58,0.4,0.41,0.4,0.1,1.01,0.058,17.15,0.89
115107,0.12,0.13,0.2,0.11,0.16,0,0.78,0.065,15.375,0.878
116100,0.23,0.26,0.3,0.47,0.31,0.01,0.8,0.077,12.968,0.857
116105,0.55,0.51,0.5,0.61,0.42,0,1,0.042,23.893,0.92
116108,0.19,0.14,0.3,0.21,0.24,0,0.78,0.062,16.229,0.884
117101,0.43,0.38,0.42,0.35,0.38,0.02,0.86,0.043,23.197,0.917
117102,0.11,0.09,0.14,0.08,0.13,0.13,0.69,0.338,2.962,0.495
118100,0.84,0.9,0.68,0.66,0.59,0.71,1.09,0.241,4.141,0.611
118105,0.1,0.04,0.15,0.14,0.11,0.27,0.6,0.964,1.037,0.018
118106,0.08,0.04,0.1,0.11,0.06,0.24,NA,0.857,1.167,0.077
119100,0.43,0.48,0.44,0.45,0.38,0,0.92,0.043,23.197,0.917
119101,0.07,0.04,0.08,0.1,0.07,0.13,NA,0.531,1.885,0.307
120101,0.02,0.01,0.55,0.53,0.41,0.07,0.84,1,1,0
121109,0.64,0.88,0.68,0.68,0.49,0.09,1.01,0.04,24.889,0.923
122100,0.4,0.53,0.43,0.44,0.36,0.04,0.9,0.044,22.778,0.916
123100,0.37,0.32,0.34,0.35,0.34,0,0.85,0.045,22.309,0.914
124105,0.57,0.6,0.49,0.38,0.39,0,0.91,0.033,29.962,0.935
125100,0.29,0.2,0.19,0.17,0.11,0,0.79,0.024,41.974,0.953
126100,0.34,0.33,0.26,0.17,0.2,0,0.96,0.029,34.85,0.944
129100,0.12,0.07,0.16,0.09,0.09,0.11,0.64,0.262,3.818,0.585
129106,0.13,0.09,0.16,0.1,0.1,0.03,0.72,0.066,15.167,0.876
133150,0.18,0.1,0.15,0.11,0.13,0.05,0.84,0.079,12.6,0.853
