hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input_grd,te_output_grd,te_directional_grd
101100,0.29,0.32,0.36,0.29,0.32,0.05,0.8,0.038,16.675,0.726
102100,0.44,0.3,0.4,0.23,0.33,0,0.82,0.027,25.147,0.768
103100,0.53,0.65,0.4,0.32,0.31,0,0.91,0.024,34.363,0.863
103101,0.17,0.13,0.18,0.13,0.07,0,0.68,0.025,18.304,0.631
104100,0.26,0.24,0.25,0.17,0.2,0,0.77,0.026,22.823,0.72
105100,0.29,0.37,0.27,0.19,0.34,0,0.95,0.048,18.637,0.858
105101,0.3,0.4,0.29,0.2,0.33,0,1,0.048,20.909,0.909
105102,0.18,0.15,0.19,0.19,0.23,0,0.71,0.04,12.78,0.635
106100,0.5,0.51,0.41,0.29,0.34,0,1.02,0.031,34.5,0.962
106102,0.11,0.08,0.12,0.17,0.08,0,1.07,0.057,20.079,0.962
106103,0.11,0.1,0.18,0.17,0.1,0,0.68,0.039,11.844,0.606
107100,0.52,0.64,0.42,0.36,0.36,0,1.19,0.036,39.534,1.121
107101,0.18,0.18,0.22,0.24,0.23,0,0.75,0.042,13.5,0.671
107102,0.16,0.12,0.16,0.09,0.14,0.02,0.75,0.028,19.715,0.695
108100,0.15,0.12,0.26,0.15,0.24,0,0.79,0.055,11.356,0.687
108101,0.12,0.1,0.2,0.11,0.24,0,0.78,0.068,8.97,0.655
109100,0.56,0.51,0.58,0.96,1,0,0.83,0.065,10.69,0.71
109101,0.28,0.16,0.2,0.12,0.15,0,1.03,0.026,41.097,0.98
109102,0.12,0.07,0.06,0.02,0,0,NA,NA,NA,NA
109103,0.12,0.12,0.06,0.07,0.06,0,NA,NA,NA,NA
110100,0.55,0.7,0.51,0.89,0.44,0,1.02,0.057,18.279,0.912
110110,0.06,0.12,0.08,0.05,0.16,0,1.24,0.144,10.695,0.982
110120,0.37,0.44,0.37,0.31,0.34,0,0.8,0.032,20.023,0.738
110150,0.13,0.08,0.15,0.13,0.13,0.01,0.63,0.027,14.49,0.578
111100,0.61,0.85,0.59,0.63,0.37,0.1,0.88,0.036,21.472,0.81
111101,0.48,0.43,0.37,0.48,0.26,0.07,0.92,0.033,25.235,0.856
111195,0.39,0.36,0.17,0.22,0.19,0.08,1.31,0.067,25.545,1.182
112100,0.39,0.79,0.23,0.44,0.39,0,1.19,0.051,27.37,1.091
112101,0.22,0.16,0.34,0.01,0.19,0,0.73,0.039,13.462,0.655
112102,0.25,0.33,0.19,0.2,0.19,0,1.33,0.044,40.25,1.245
112103,0.11,0.29,0.12,0.12,0.05,0,1.74,0.066,45.458,1.611
112104,0.11,0.14,0.09,0.06,0.08,0,1.67,0.053,52.814,1.568
112105,0.01,0.01,0.08,0,0,0,NA,NA,NA,NA
112106,0.02,0.01,0.02,0,0,0,NA,NA,NA,NA
113100,0.66,0.69,0.66,0.87,0.57,0.08,0.92,0.041,20.24,0.84
113130,0.2,0.16,0.15,0.09,0.15,0,1.1,0.036,33.734,1.031
113180,0.26,0.19,0.33,0.28,0.25,0,0.78,0.035,17.515,0.714
114101,0.96,0.94,0.86,0.69,0.75,0.19,0.95,0.047,19.2,0.861
114103,0.39,0.37,0.44,0.49,0.26,0.02,0.75,0.032,17.312,0.688
114105,0.44,0.57,0.35,0.2,0.29,0.04,0.86,0.025,30.011,0.812
115100,0.55,0.57,0.44,0.45,0.5,0.1,1.02,0.046,22.44,0.931
115107,0.13,0.16,0.2,0.13,0.17,0,0.78,0.044,13.719,0.696
116100,0.23,0.31,0.32,0.46,0.35,0,0.79,0.055,11.455,0.688
116105,0.6,0.53,0.57,0.69,0.47,0,1.02,0.041,25.721,0.942
116108,0.19,0.16,0.29,0.21,0.27,0,0.78,0.048,12.624,0.69
117101,0.45,0.4,0.41,0.36,0.47,0,0.87,0.039,19.158,0.794
117102,0.12,0.09,0.16,0.1,0.17,0.23,0.69,0.331,1.44,0.243
118100,0.88,1,0.7,0.83,0.63,0.75,1.09,0.232,5.115,0.707
118105,0.1,0.05,0.15,0.15,0.12,0.3,0.61,0.458,0.813,0.087
118106,0.09,0.05,0.1,0.14,0.07,0.21,NA,NA,NA,NA
119100,0.45,0.54,0.46,0.45,0.41,0,0.95,0.038,23.982,0.878
119101,0.07,0.04,0.09,0.11,0.07,0.07,NA,NA,NA,NA
120101,0.02,0.01,0.57,0.58,0.46,0.08,0.86,0.86,0.86,0
121109,0.65,0.91,0.69,0.77,0.54,0.1,1.04,0.043,25.46,0.959
122100,0.42,0.59,0.45,0.46,0.38,0.04,0.93,0.036,23.642,0.859
123100,0.39,0.35,0.34,0.37,0.38,0,0.86,0.036,20.3,0.79
124105,0.61,0.66,0.49,0.4,0.44,0.97,0.93,0.37,2.339,0.401
125100,0.29,0.21,0.2,0.21,0.11,0,0.83,0.021,33.24,0.789
126100,0.36,0.34,0.24,0.18,0.19,0,0.99,0.023,42.322,0.944
129100,0.13,0.08,0.16,0.09,0.12,0.08,0.68,0.105,4.42,0.498
129106,0.14,0.1,0.16,0.12,0.12,0.04,0.74,0.053,10.36,0.642
133150,0.19,0.1,0.15,0.12,0.15,0.03,0.84,0.033,21.28,0.776
