hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input,te_output,te_directional
109100,0.56,0.45,0.56,0.94,0.95,0,0.84,1,1,0
109101,0.27,0.18,0.2,0.15,0.15,0,1.11,0.487,2.054,0.345
109102,0.11,0.07,0.05,0.02,0,0,NA,0.215,4.662,0.647
109103,0.13,0.14,0.06,0.07,0.06,0,1.08,0.334,2.997,0.5
110100,0.54,0.76,0.51,1,0.51,0,1.09,1,1,0
110110,0.06,0.14,0.09,0.05,0.18,0,1.23,1,1,0
110120,0.38,0.4,0.36,0.34,0.33,0.2,0.82,1,1,0
110150,0.12,0.08,0.15,0.13,0.13,0.01,0.64,1,1,0
111100,0.6,0.78,0.57,0.62,0.4,0.09,0.89,0.748,1.337,0.144
111101,0.45,0.44,0.37,0.52,0.28,0.07,0.94,0.819,1.221,0.1
111195,0.38,0.31,0.18,0.24,0.18,0.09,1.32,0.715,1.399,0.166
112100,0.38,0.91,0.27,0.51,0.44,0,1.22,0.777,1.286,0.125
112101,0.21,0.17,0.34,0.02,0.19,0,0.75,0.721,1.387,0.162
112102,0.24,0.32,0.18,0.21,0.17,0,1.42,0.539,1.856,0.3
112103,0.11,0.28,0.12,0.12,0.04,0,1.78,0.665,1.503,0.201
112104,0.1,0.13,0.09,0.06,0.08,0,1.68,0.467,2.14,0.363
112105,0.01,0.01,0.07,0,0,0,NA,1,1,0
112106,0.02,0.01,0.02,0,0,0,NA,0.286,3.5,0.556
113100,0.64,0.76,0.67,0.93,0.6,0.1,0.95,0.973,1.028,0.014
113130,0.21,0.16,0.16,0.1,0.1,0.02,1.02,0.513,1.951,0.322
113180,0.26,0.18,0.32,0.31,0.25,0,0.8,0.932,1.073,0.035
114101,0.92,0.91,0.85,0.72,0.79,0,0.96,0.543,1.842,0.296
114103,0.37,0.33,0.41,0.49,0.25,0.01,0.74,0.848,1.179,0.082
114105,0.44,0.56,0.35,0.2,0.28,0.04,0.89,0.447,2.238,0.382
