hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input_grd,te_output_grd,te_directional_grd
109100,0.47,0.6,0.62,0.79,0.89,0,0.75,0.75,0.75,0
109101,0.25,0.18,0.18,0.11,0.17,0,1.03,0.649,1.636,0.234
109102,0.1,0.08,0.05,0,0,0,NA,NA,NA,NA
109103,0.07,0.13,0.05,0.06,0.04,0,NA,NA,NA,NA
110100,0.46,0.71,0.51,0.74,0.44,0,0.97,0.928,1.014,0.021
110110,0.05,0.11,0.08,0.05,0.16,0,NA,NA,NA,NA
110120,0.3,0.31,0.33,0.2,0.29,0,0.75,0.473,1.189,0.17
110150,0.09,0.08,0.16,0.09,0.12,0,0.59,0.59,0.59,0
111100,0.52,0.73,0.52,0.56,0.34,0.12,0.86,0.86,0.86,0
111101,0.24,0.31,0.15,0.05,0.1,0,0.74,0.187,2.922,0.441
111195,0.4,0.3,0.18,0.17,0.18,0.08,1.16,1.16,1.16,0
112100,0.35,0.81,0.37,0.45,0.33,0,1.14,0.881,1.475,0.146
112101,0.18,0.2,0.39,0.02,0.18,0,0.71,0.552,0.912,0.089
112102,0.21,0.39,0.2,0.19,0.2,0,1.21,0.701,2.091,0.323
112103,0.1,0.24,0.09,0.09,0.04,0,1.71,0.971,3.011,0.472
112104,0.1,0.15,0.08,0.04,0.06,0,1.76,0.595,5.201,0.869
112105,0.01,0.01,0.06,0,0,0,NA,NA,NA,NA
112106,0.02,0.01,0.02,0,0,0,NA,NA,NA,NA
113100,0.61,0.67,0.59,0.68,0.49,0.13,0.92,0.92,0.92,0
113130,0.16,0.13,0.16,0.07,0.16,0,1.03,0.846,1.256,0.102
113180,0.22,0.18,0.35,0.23,0.23,0,0.69,0.69,0.69,0
114101,0.74,0.74,1,0.6,0.7,0.18,0.9,0.9,0.9,0
114103,0.32,0.32,0.43,0.39,0.24,0.02,0.7,0.7,0.7,0
114105,0.25,0.3,0.11,0.14,0.09,0.05,NA,NA,NA,NA
