hospital_id,hospital_name,te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
101100,Hospital Doctor Juan Noé,0.023,0.034,0.023,43.5,1.932,1.932,0.955,0.711,0.711,0.926,1.0,1.0,1.08,1.0,1.0,0.039,0.0,0.0,0.023,0.034,0.023,43.5,2.052,2.052,0.955,0.711,0.711
102100,Hospital de Iquique,0.023,0.033,0.023,43.548,1.734,1.734,0.955,0.581,0.581,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.023,0.033,0.023,43.548,1.847,1.847,0.955,0.635,0.635
103100,Hospital de Antofagasta,0.013,0.019,0.013,78.784,1.921,1.921,0.975,0.638,0.638,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.013,0.019,0.013,74.455,1.937,1.937,0.973,0.608,0.608
103101,Hospital de Calama,0.02,0.077,0.02,51.071,4.199,4.199,0.962,0.923,0.962,0.899,1.0,1.0,1.113,1.0,1.0,0.053,0.0,0.0,0.016,0.077,0.016,62.833,5.218,5.218,0.969,0.923,0.969
104100,Hospital de Copiapó,0.017,0.043,0.017,57.5,2.934,2.934,0.966,0.957,0.966,0.982,1.0,1.0,1.018,1.0,1.0,0.009,0.0,0.0,0.017,0.043,0.017,57.5,3.226,3.226,0.966,0.957,0.966
105100,Hospital de La Serena,0.025,0.034,0.025,40.781,2.281,2.281,0.952,0.672,0.672,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.025,0.034,0.025,40.781,2.204,2.204,0.952,0.672,0.672
105101,Hospital de Coquimbo,0.023,0.033,0.023,43.548,2.22,2.22,0.955,0.705,0.705,0.539,1.0,1.0,1.854,1.0,1.0,0.299,0.0,0.0,0.023,0.033,0.023,43.548,2.027,2.027,0.955,0.705,0.705
105102,Hospital de Ovalle,0.033,0.071,0.033,30.0,2.824,2.824,0.935,0.929,0.935,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.033,0.071,0.033,30.0,2.824,2.824,0.935,0.929,0.935
106100,Hospital Carlos Van Buren,0.014,0.02,0.014,70.312,1.846,1.846,0.972,0.599,0.599,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.016,0.02,0.016,61.017,1.656,1.656,0.968,0.454,0.454
106102,Hospital Dr. Eduardo Pereira Ramírez,0.034,0.125,0.034,29.0,3.958,3.958,0.933,0.875,0.933,0.574,1.0,1.0,1.743,1.0,1.0,0.271,0.0,0.0,0.034,0.125,0.034,29.0,3.958,3.958,0.933,0.875,0.933
106103,Hospital Claudio Vicuña,0.028,0.1,0.028,36.25,4.053,4.052,0.946,0.9,0.946,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.028,0.1,0.028,36.25,4.052,4.053,0.946,0.9,0.946
107100,Hospital Dr. Gustavo Fricke,0.014,0.019,0.014,70.147,1.807,1.807,0.972,0.568,0.568,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.019,0.019,0.019,54.016,1.406,1.406,0.964,0.291,0.291
107101,Hospital de Quillota,0.026,0.056,0.026,38.571,2.906,2.906,0.949,0.944,0.949,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.026,0.056,0.026,38.571,2.906,2.906,0.949,0.944,0.949
107102,Hospital de Quilpué,0.024,0.091,0.024,41.25,4.502,4.502,0.953,0.909,0.953,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.024,0.091,0.024,41.25,4.502,4.502,0.953,0.909,0.953
108100,Hospital San Camilo de San Felipe,0.042,0.091,0.042,23.571,2.551,2.551,0.919,0.909,0.919,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.042,0.091,0.042,23.571,2.667,2.667,0.919,0.909,0.919
108101,Hospital San Juan de Dios (Los Andes),0.054,0.111,0.054,18.409,2.445,2.445,0.897,0.889,0.897,0.571,0.575,0.575,1.752,1.684,1.684,0.273,0.262,0.262,0.054,0.111,0.054,18.409,2.445,2.445,0.897,0.889,0.897
109100,Hospital San José,0.044,1.0,1.0,22.95,1.0,1.0,0.916,0.0,0.0,0.927,0.934,0.927,1.079,1.079,1.079,0.038,0.036,0.038,0.044,1.0,1.0,22.95,1.0,1.0,0.916,0.0,0.0
109101,Hospital Roberto del Río,0.018,0.063,0.018,55.385,3.944,3.944,0.965,0.938,0.965,0.78,0.789,0.78,1.282,1.257,1.257,0.123,0.121,0.123,0.02,0.063,0.02,48.984,3.403,3.403,0.96,0.937,0.96
110100,Hospital San Juan de Dios (Santiago),0.027,0.819,0.819,36.494,1.079,1.079,0.947,0.055,0.055,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.027,0.917,0.917,36.494,1.022,1.022,0.947,0.017,0.017
110120,Hospital Félix Bulnes Cerda,0.019,0.027,0.019,52.031,1.932,1.932,0.962,0.69,0.69,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.019,0.027,0.019,52.031,2.065,2.065,0.962,0.71,0.71
110150,Hospital de Melipilla,0.035,0.143,0.035,28.636,4.691,4.691,0.933,0.857,0.933,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.035,0.143,0.035,28.636,4.691,4.691,0.933,0.857,0.933
111100,Hospital Clínico San Borja Arriarán,0.02,0.224,0.224,49.6,1.199,1.199,0.96,0.158,0.158,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.02,0.215,0.215,49.6,1.275,1.275,0.96,0.204,0.204
111101,Hospital El Carmen de Maipú,0.02,0.023,0.02,49.143,1.708,1.708,0.96,0.475,0.475,0.643,0.716,0.643,1.555,1.486,1.555,0.217,0.179,0.217,0.02,0.023,0.02,49.143,1.669,1.669,0.96,0.475,0.475
111195,Hospital de Urgencia Asistencia Pública,0.029,0.029,0.029,35.0,3.289,3.289,0.944,0.899,0.899,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.029,0.029,0.029,35.0,3.26,3.26,0.944,0.899,0.899
112100,Hospital Del Salvador de Santiago,0.021,0.026,0.021,47.432,1.959,1.959,0.959,0.59,0.59,0.529,0.623,0.529,1.891,1.796,1.891,0.308,0.263,0.308,0.021,0.026,0.021,47.432,1.959,1.959,0.959,0.59,0.59
112101,Hospital Santiago Oriente Luis Tisne,0.034,0.063,0.034,29.333,1.991,1.991,0.934,0.848,0.848,0.622,1.0,0.622,1.607,1.0,1.607,0.233,0.0,0.233,0.029,0.063,0.029,34.557,2.401,2.401,0.944,0.937,0.944
112102,Hospital Luis Calvo Mackena,0.014,0.04,0.014,70.312,3.925,3.925,0.972,0.96,0.972,0.371,1.0,0.371,2.695,1.0,2.695,0.459,0.0,0.459,0.016,0.04,0.016,63.507,2.985,2.985,0.969,0.96,0.969
112103,Hospital del Tórax,0.017,0.091,0.017,58.0,5.901,5.901,0.966,0.909,0.966,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.023,0.091,0.023,42.718,4.167,4.167,0.954,0.909,0.954
112104,Instituto de Neurocirugía,0.011,0.1,0.011,90.0,10.8,10.8,0.978,0.9,0.978,0.456,0.625,0.456,2.195,2.06,2.195,0.374,0.289,0.374,0.014,0.1,0.014,70.808,7.545,7.545,0.972,0.9,0.972
113100,Hospital Barros Luco Trudeau,0.022,0.971,0.971,45.333,1.007,1.007,0.957,0.005,0.005,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.022,0.977,0.977,45.333,1.006,1.006,0.957,0.005,0.005
113130,Hospital Exequiel González Cortés,0.017,0.063,0.017,60.0,5.125,5.125,0.967,0.937,0.967,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.017,0.063,0.017,60.0,4.565,4.565,0.967,0.938,0.967
113180,Hospital Sanatorio El Pino,0.029,0.056,0.029,34.138,2.082,2.082,0.943,0.904,0.904,0.99,0.995,0.99,1.01,1.005,1.01,0.005,0.002,0.005,0.028,0.056,0.028,35.217,2.301,2.301,0.945,0.944,0.945
114101,Hospital Sótero del Río,0.025,1.0,1.0,40.421,1.0,1.0,0.952,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.025,1.0,1.0,40.421,1.0,1.0,0.952,0.0,0.0
114103,Hospital Padre Alberto Hurtado,0.023,0.027,0.023,43.796,1.495,1.495,0.955,0.407,0.407,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.023,0.027,0.023,43.796,1.625,1.625,0.955,0.469,0.469
115100,Hospital de Rancagua,0.022,0.103,0.103,44.8,1.567,1.567,0.956,0.403,0.403,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.022,0.103,0.103,44.8,1.467,1.467,0.956,0.327,0.327
115107,Hospital San Fernando,0.026,0.083,0.026,38.571,3.598,3.598,0.949,0.917,0.949,0.882,1.0,1.0,1.133,1.0,1.0,0.062,0.0,0.0,0.026,0.083,0.026,38.571,3.859,3.859,0.949,0.917,0.949
116100,Hospital de Curicó,0.034,0.043,0.034,29.0,1.591,1.591,0.933,0.439,0.439,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.034,0.043,0.034,29.0,1.591,1.591,0.933,0.439,0.439
116105,Hospital de Talca,0.022,0.267,0.267,45.206,1.169,1.169,0.957,0.138,0.138,0.957,1.0,1.0,1.045,1.0,1.0,0.022,0.0,0.0,0.022,0.674,0.674,44.686,1.076,1.076,0.956,0.062,0.062
116108,Hospital de Linares,0.037,0.067,0.037,27.0,2.267,2.267,0.929,0.853,0.853,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.037,0.067,0.037,27.0,2.415,2.415,0.929,0.853,0.853
117101,Hospital de Chillán,0.025,0.025,0.025,40.0,1.618,1.618,0.951,0.469,0.469,0.104,1.0,1.0,9.6,1.0,1.0,0.811,0.0,0.0,0.025,0.025,0.025,40.0,1.623,1.623,0.951,0.455,0.455
117102,Hospital de San Carlos,0.359,0.649,0.649,2.783,1.26,1.26,0.471,0.163,0.163,0.938,1.0,1.0,1.067,1.0,1.0,0.032,0.0,0.0,0.359,0.649,0.649,2.783,1.26,1.26,0.471,0.163,0.163
118100,Hospital Guillermo Grant Benavente,0.104,1.0,1.0,9.6,1.0,1.0,0.811,0.0,0.0,0.019,0.022,0.019,53.077,1.374,1.374,0.963,0.305,0.305,0.104,1.0,1.0,9.6,1.0,1.0,0.811,0.0,0.0
118105,Hospital de Coronel,0.937,1.0,1.0,1.067,1.0,1.0,0.032,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.938,1.0,1.0,1.067,1.0,1.0,0.032,0.0,0.0
119100,Hospital de Las Higueras,0.019,0.022,0.019,53.077,1.545,1.545,0.963,0.431,0.431,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.019,0.022,0.019,53.077,1.513,1.513,0.963,0.383,0.383
120101,Hospital de Los Ángeles,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
121109,Hospital de Temuco,0.02,0.91,0.91,49.714,1.021,1.021,0.961,0.017,0.017,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.022,1.0,1.0,44.802,1.0,1.0,0.956,0.0,0.0
122100,Hospital de Valdivia,0.019,0.024,0.019,52.5,1.523,1.523,0.963,0.423,0.423,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.02,0.024,0.02,50.86,1.532,1.532,0.961,0.406,0.406
123100,Hospital de Osorno,0.023,0.029,0.023,43.75,1.944,1.944,0.955,0.623,0.623,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.023,0.029,0.023,43.75,1.957,1.957,0.955,0.623,0.623
124105,Hospital de Puerto Montt,0.196,1.0,1.0,5.113,1.0,1.0,0.673,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.196,1.0,1.0,5.113,1.0,1.0,0.673,0.0,0.0
125100,Hospital de Coyhaique,0.016,0.048,0.016,60.9,3.535,3.535,0.968,0.952,0.968,,,,,,,,,,0.016,0.048,0.016,60.9,3.594,3.594,0.968,0.952,0.968
126100,Hospital Regional de Punta Arenas,0.011,0.03,0.011,90.75,3.255,3.255,0.978,0.97,0.978,,,,,,,,,,0.013,0.03,0.013,78.833,2.958,2.958,0.975,0.97,0.975
129100,Hospital de Angol,0.143,0.143,0.143,7.0,3.065,3.065,0.75,0.737,0.737,,,,,,,,,,0.143,0.143,0.143,7.0,3.077,3.077,0.75,0.737,0.737
129106,Hospital de Victoria,0.056,0.111,0.056,18.0,4.507,4.507,0.895,0.889,0.895,,,,,,,,,,0.056,0.111,0.056,18.0,4.518,4.518,0.895,0.889,0.895
133150,Hospital de Castro,0.042,0.111,0.042,24.0,3.855,3.855,0.92,0.889,0.92,,,,,,,,,,0.042,0.111,0.042,24.0,3.855,3.855,0.92,0.889,0.92
