hospital_id,hospital_fns_id,region,row_index,21_value,22_value
101100,103,15,7943,25392597,15200599
102100,203,1,7946,34817202,16278222
103100,303,3,7950,37125042,22816537
103101,304,3,7951,14232097,6885763
104100,403,3,7958,22460094,13954195
105100,503,4,7965,22738148,15399213
105101,504,4,7966,24200718,15386566
105102,505,4,7967,13836176,6691882
108100,803,5,7997,14215431,6839934
108101,804,5,7998,11535972,6459984
107101,704,5,7985,16093614,10177641
107100,703,5,7984,42001939,38349092
106100,603,5,7976,42045607,25104513
107102,705,5,7986,13322994,5833849
106102,607,5,7980,9909762,4704846
110120,2708,13,8195,30728043,24028614
109101,2605,13,8184,24717072,11323525
109100,2606,13,8185,45818340,28667963
112102,2304,13,8159,21585608,19375610
112100,2306,13,8161,32682292,41189035
112104,2308,13,8163,10685380,8867831
112103,2303,13,8158,11315296,15153065
110100,2709,13,8196,45967788,38504571
111195,2405,13,8170,37483448,19520252
111100,2404,13,8169,49701862,45045838
113130,2505,13,8176,16108755,7957591
113100,2503,13,8174,55722132,38477100
112101,2305,13,8160,18435577,11385778
111101,2406,13,8171,38992526,22831552
114103,3001,13,8206,32407071,19452785
114101,2805,13,8202,73511288,46531780
113180,2508,13,8179,22243878,11662618
106103,604,5,7977,10261054,6629571
110150,2705,13,8192,12047418,5257793
115100,903,6,8007,39835747,34958429
115107,9010,6,8014,11117569,8006857
116100,1003,7,8024,20912742,15387518
116105,1008,7,8029,44028946,27293000
116108,10011,7,8032,17448240,7514351
117102,1104,16,8040,10453722,5012993
117101,1103,16,8039,38370880,21109088
119100,1303,8,8060,37278129,26075226
118100,1203,8,8050,71220503,47736367
118105,1205,8,8052,10048411,2741021
120101,1405,8,8068,41560558,30651709
129100,1603,9,8082,12339024,5065518
129106,1604,9,8083,12916602,5909703
121109,17016,9,8104,55530717,46239240
122100,1803,14,8107,35782382,27812331
123100,1903,10,8117,32775154,18792750
124105,20011,10,8133,48064746,31393304
133150,3302,10,8210,15909737,6131349
125100,2107,11,8141,26795868,11963352
126100,2205,12,8149,28776202,17080809
