hospital_id,hospital_name,year,te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
101100,Hospital Doctor Juan Noé,2019,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.59,1.59,1.59,1.59,1.59,1.59
102100,Hospital de Iquique,2019,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22
103100,Hospital de Antofagasta,2019,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.0,1.0,1.0,1.0,1.0,1.0
103101,Hospital de Calama,2019,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,0.85,0.85,0.85,0.85,0.85,0.85
104100,Hospital de Copiapó,2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.03,1.03,1.03,1.03,1.03,1.03
105100,Hospital de La Serena,2019,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,790569415042180.0,790569415042180.0,790569415042180.0,inf,inf,inf
105101,Hospital de Coquimbo,2019,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.02,1.02,1.02,1.02,1.02,1.02
105102,Hospital de Ovalle,2019,1.07,1.07,1.07,1.07,1.07,1.07,1.04,1.05,1.06,1.05,1.07,1.09,1.1,1.1,1.1,1.1,1.1,1.1
106100,Hospital Carlos Van Buren,2019,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,1.05,1.05,1.05,1.05,1.05,1.05
106102,Hospital Dr. Eduardo Pereira Ramírez,2019,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,0.97,0.97,0.97,0.97,0.97,0.97
106103,Hospital Claudio Vicuña,2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.14,1.14,1.14,1.14,1.14,1.14
107100,Hospital Dr. Gustavo Fricke,2019,0.97,0.97,0.97,0.97,0.97,0.97,1.1,1.19,1.28,1.38,1.49,1.6,0.91,0.91,0.91,0.91,0.91,0.91
107101,Hospital de Quillota,2019,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.16,1.29,1.39,1.49,0.6,0.6,0.6,0.6,0.6,0.6
107102,Hospital de Quilpué,2019,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,4.38,4.38,4.38,4.38,4.38,4.38
108100,Hospital San Camilo de San Felipe,2019,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.03,1.03,1.03,1.03,1.03,1.03
108101,Hospital San Juan de Dios (Los Andes),2019,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,1.09,1.09,1.09,1.09,1.09,1.09
109100,Hospital San José,2019,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.06,1.06,1.06,1.06,1.06,1.06
109101,Hospital Roberto del Río,2019,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.05,1.05,1.05,1.05,1.05,1.05
110100,Hospital San Juan de Dios (Santiago),2019,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,0.92,0.92,0.92,0.92,0.92,0.92
110120,Hospital Félix Bulnes Cerda,2019,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.07,1.07,1.07,1.07,1.07,1.07
110150,Hospital de Melipilla,2019,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.21,1.21,1.21,1.21,1.21,1.21
111100,Hospital Clínico San Borja Arriarán,2019,1.05,1.05,1.05,1.05,1.05,1.05,1.07,1.1,1.12,1.14,1.17,1.19,1.19,1.19,1.19,1.19,1.19,1.19
111101,Hospital El Carmen de Maipú,2019,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.2,1.21,1.21,1.08,1.08,1.08,1.08,1.08,1.08
111195,Hospital de Urgencia Asistencia Pública,2019,1.07,1.07,1.07,1.07,1.07,1.07,1.11,1.11,1.11,1.11,1.11,1.11,1.03,1.03,1.03,1.03,1.03,1.03
112100,Hospital Del Salvador de Santiago,2019,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.81,0.81,0.81,0.81,0.81,0.81
112101,Hospital Santiago Oriente Luis Tisne,2019,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.07,1.09,0.94,0.94,0.94,0.94,0.94,0.94
112102,Hospital Luis Calvo Mackena,2019,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.22,1.28,1.33,0.97,0.97,0.97,0.97,0.97,0.97
112103,Hospital del Tórax,2019,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.07,0.91,0.91,0.91,0.91,0.91,0.91
112104,Instituto de Neurocirugía,2019,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.97,1.01,1.02,1.03,1.05,1.05,1.05,1.05,1.05,1.05
113100,Hospital Barros Luco Trudeau,2019,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.94,0.96,1.0,1.0,1.0,1.0,1.0,1.0
113130,Hospital Exequiel González Cortés,2019,25.42,25.42,25.42,25.42,25.42,25.42,25.42,25.42,25.42,25.42,25.42,25.42,1.21,1.21,1.21,1.21,1.21,1.21
113180,Hospital Sanatorio El Pino,2019,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,0.9,0.9,0.9,0.9,0.9,0.9
114101,Hospital Sótero del Río,2019,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.07,1.07,1.07,1.07,1.07,1.07
114103,Hospital Padre Alberto Hurtado,2019,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.12,1.07,1.05,1.05,1.06,1.0,1.0,1.0,1.0,1.0,1.0
