hospital_id,hospital_fns_id,region,21_value,22_value,hospital_discharge,diagnostic_tests,surgical_interventions,medical_consultations,21_value_normalized,22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,GRD
101100,103,15,32632391.3,19058600.84,15597.0,972059.0,11213.0,2740.0,0.27,0.25,0.3,0.21,0.21,0.05,0.77
102100,203,1,43499300.4,22025871.54,17090.0,913875.0,13011.0,2349.0,0.37,0.29,0.34,0.19,0.25,0.05,0.75
103100,303,3,47941253.26,24916588.16,18738.0,1083407.0,15286.0,0.0,0.42,0.33,0.38,0.23,0.3,0.0,0.84
103101,304,3,17724009.75,6963931.62,7858.0,465478.0,3187.0,0.0,0.14,0.08,0.13,0.09,0.04,0.0,0.61
104100,403,3,28546097.51,17890872.74,10436.0,519166.0,7733.0,0.0,0.24,0.23,0.19,0.11,0.14,0.0,0.72
105100,503,4,27366826.4,19991151.88,14128.0,1077647.0,12857.0,0.0,0.23,0.26,0.27,0.23,0.25,0.0,0.84
105101,504,4,30538286.19,20050510.67,13734.0,717322.0,14338.0,0.0,0.25,0.26,0.26,0.15,0.28,0.0,0.92
105102,505,4,17590700.02,8716951.57,9406.0,682217.1,9011.0,0.0,0.13,0.1,0.16,0.14,0.16,0.0,0.67
106100,603,5,51857490.46,34848655.86,25637.0,1338391.0,17013.0,0.0,0.45,0.47,0.54,0.29,0.33,0.0,0.95
106102,607,5,12328252.99,6739036.66,5036.0,1588944.0,3372.0,0.0,0.09,0.07,0.06,0.34,0.04,0.0,1.03
106103,604,5,13124410.08,7847159.12,9518.0,596721.0,5102.0,0.0,0.09,0.09,0.16,0.12,0.08,0.0,0.65
107100,703,5,53493994.83,45982961.44,22146.0,2084833.0,17054.0,0.0,0.47,0.62,0.46,0.45,0.34,0.0,1.15
107101,704,5,19232433.1,12271633.38,11513.0,910442.0,9566.0,0.0,0.15,0.15,0.21,0.19,0.18,0.0,0.72
107102,705,5,16248904.02,6843596.89,7287.0,365105.0,5360.0,0.0,0.12,0.08,0.11,0.07,0.09,0.0,0.68
108100,803,5,17718413.57,8422417.11,11421.0,527650.0,9910.0,0.0,0.14,0.1,0.21,0.11,0.18,0.0,0.74
108101,804,5,14464912.92,7836969.58,9361.0,503916.0,9549.0,0.0,0.11,0.09,0.16,0.1,0.17,0.0,0.7
109100,2606,13,56808726.68,38184748.57,27599.0,3770824.0,45800.0,0.0,0.5,0.51,0.58,0.82,0.95,0.0,0.79
109101,2605,13,31096677.1,14723945.99,8479.0,548040.0,7954.0,0.0,0.26,0.19,0.14,0.11,0.14,0.0,1.05
110100,2709,13,55963885.62,52487335.77,23760.0,3609216.0,19543.0,30.0,0.49,0.71,0.49,0.79,0.39,0.0,1.0
110120,2708,13,36881483.48,29093556.93,14695.0,1044591.0,15069.0,0.0,0.31,0.39,0.28,0.22,0.29,0.0,0.77
110150,2705,13,14471980.38,6421970.2,7097.0,474206.0,6514.0,482.0,0.11,0.07,0.11,0.1,0.11,0.01,0.63
111100,2404,13,62634110.29,65483835.93,22123.0,2552721.0,16693.0,5598.0,0.55,0.89,0.46,0.55,0.33,0.11,0.87
111101,2406,13,42269414.0,26591345.73,14299.0,1461813.0,8483.0,1433.0,0.36,0.35,0.27,0.31,0.15,0.03,0.77
111195,2405,13,46151723.48,24309019.58,7712.0,751555.0,7957.0,3579.0,0.4,0.32,0.12,0.16,0.14,0.07,1.22
112100,2306,13,40906307.64,58360407.53,18986.0,1750036.0,19665.0,0.0,0.35,0.79,0.38,0.38,0.39,0.0,1.14
112101,2305,13,22453630.18,16396212.63,17138.0,71153.0,8630.0,0.0,0.18,0.21,0.34,0.01,0.16,0.0,0.68
112102,2304,13,26671103.24,26363593.77,9172.0,907005.0,8804.0,0.0,0.22,0.35,0.16,0.19,0.16,0.0,1.26
112103,2303,13,13774992.11,18871480.8,4621.0,476662.0,1728.0,0.0,0.1,0.24,0.05,0.1,0.01,0.0,1.71
112104,2308,13,13416227.8,10903679.8,3797.0,244060.0,2878.0,0.0,0.1,0.13,0.03,0.05,0.03,0.0,1.73
113100,2503,13,70103765.6,49619853.82,27007.0,3274290.0,24167.0,6443.0,0.62,0.67,0.57,0.71,0.49,0.13,0.91
113130,2505,13,19718434.11,9904451.45,7135.0,351793.0,6784.0,0.0,0.15,0.12,0.11,0.07,0.12,0.0,1.07
113180,2508,13,27772368.62,14476986.09,14968.0,1080442.0,9328.0,0.0,0.23,0.18,0.29,0.23,0.17,0.0,0.78
114101,2805,13,94106171.94,53017925.29,41256.0,2805431.0,31295.0,8561.0,0.84,0.72,0.9,0.61,0.64,0.17,0.86
114103,3001,13,39643769.84,25275372.12,19315.0,1835903.0,11126.0,820.0,0.34,0.33,0.39,0.4,0.21,0.02,0.67
115100,903,6,46760686.19,38536580.08,18196.0,1595307.0,19053.0,3959.0,0.4,0.52,0.36,0.34,0.38,0.08,0.95
115107,9010,6,13699914.92,7566770.79,8645.0,373482.0,7479.0,0.0,0.1,0.09,0.14,0.07,0.13,0.0,0.68
116100,1003,7,25630850.25,17721535.65,13973.0,1917368.0,14538.0,19667.0,0.21,0.23,0.27,0.41,0.28,0.38,0.76
116105,1008,7,50298185.34,32663564.41,19192.0,2360261.0,15882.0,0.0,0.44,0.44,0.39,0.51,0.31,0.0,0.94
116108,10011,7,20926526.25,8941319.18,14927.0,829864.0,11286.0,3361.0,0.17,0.1,0.29,0.17,0.21,0.07,0.72
117101,1103,16,46534866.95,26243030.42,20429.0,1441236.0,19383.0,0.0,0.4,0.35,0.42,0.31,0.39,0.0,0.8
117102,1104,16,12600322.78,5959798.55,6783.0,378302.0,6188.0,0.0,0.09,0.06,0.1,0.07,0.1,0.0,0.71
118100,1203,8,87057112.45,65050349.27,30225.0,3397046.0,23185.0,5765.0,0.78,0.89,0.64,0.74,0.47,0.11,1.01
118105,1205,8,12696818.34,3409723.88,7052.0,542390.0,5002.0,18041.0,0.09,0.03,0.11,0.11,0.08,0.35,0.57
119100,1303,8,46480436.72,34150346.39,20784.0,1772167.0,16304.0,0.0,0.4,0.46,0.42,0.38,0.32,0.0,0.83
120101,1405,8,51331973.96,37984099.52,25343.0,2131957.0,16811.0,0.0,0.45,0.51,0.53,0.46,0.33,0.0,0.74
121109,17016,9,70427265.56,55639231.36,34057.0,3254481.0,22901.0,4232.0,0.62,0.76,0.73,0.71,0.46,0.08,0.95
122100,1803,14,44401336.11,33360844.41,20076.0,1938059.0,15025.0,2012.0,0.38,0.45,0.41,0.42,0.29,0.04,0.87
123100,1903,10,41243164.1,23183651.35,15835.0,1336590.0,15374.0,0.0,0.35,0.3,0.31,0.29,0.3,0.0,0.8
124105,20011,10,57686823.65,38106118.72,22230.0,1337033.0,14497.0,0.0,0.51,0.51,0.46,0.29,0.28,0.0,0.86
125100,2107,11,32962385.07,12415574.46,8800.0,992407.0,5579.0,0.0,0.28,0.15,0.15,0.21,0.09,0.0,0.76
126100,2205,12,35781954.45,21204099.65,11821.0,642916.0,7708.0,0.0,0.3,0.28,0.22,0.13,0.14,0.0,0.85
