hospital_id,hospital_discharge,diagnostic_tests,surgical_interventions,medical_consultations,GRD
101100,16382.0,1322625.0,15480.0,2567.0,0.7965
102100,18521.0,1066779.0,15896.0,0.0,0.8223
103100,18519.0,1479786.0,14689.0,0.0,0.906
103101,8406.0,600182.0,3463.0,0.0,0.6829
104100,11521.0,768385.0,9717.0,0.0,0.7663
105100,12506.0,883266.0,16323.0,0.0,0.9487
105101,13511.0,900028.0,15688.0,0.0,1.0042
105102,8892.0,858729.0,11293.0,0.0,0.7126
106100,18950.0,1314900.0,16327.0,0.0,1.0209
106102,5488.0,763507.0,3912.0,0.0,1.0663
106103,8169.0,780582.0,4712.0,0.0,0.6826
107100,19162.0,1664149.0,17486.0,0.0,1.1867
107101,10330.0,1110958.0,11041.0,0.0,0.7478
107102,7526.0,408443.0,6873.0,882.0,0.7461
108100,11761.0,663417.0,11325.0,0.0,0.7851
108101,9081.0,516349.0,11760.0,0.0,0.7783
109100,26457.0,4385599.0,48087.0,0.0,0.8275
109101,9025.0,570725.0,7331.0,0.0,1.0349
110100,23550.0,4081988.0,20965.0,235.0,1.0192
110120,16758.0,1396488.0,16297.0,0.0,0.7998
110150,7012.0,602110.0,6417.0,762.0,0.6273
111100,27006.0,2887404.0,17748.0,4931.0,0.876
111101,17144.0,2214987.0,12582.0,3679.0,0.919
111195,7989.0,1003254.0,9004.0,4296.0,1.3127
112100,10415.0,1994988.0,18695.0,0.0,1.1887
112101,15610.0,49972.0,9079.0,0.0,0.7306
112102,8592.0,922215.0,9034.0,0.0,1.3343
112103,5482.0,531325.0,2281.0,0.0,1.7354
112104,4067.0,278222.0,3940.0,0.0,1.6667
113100,30233.0,3973087.0,27518.0,4341.0,0.9234
113130,6761.0,395227.0,7157.0,0.0,1.0957
113180,14924.0,1263150.0,11893.0,0.0,0.7819
114101,39259.0,3154374.0,36286.0,9974.0,0.9522
114103,20180.0,2261976.0,12460.0,921.0,0.7452
115100,20103.0,2045681.0,23861.0,5178.0,1.0167
115107,9230.0,575507.0,8040.0,0.0,0.7751
116100,14717.0,2118544.0,16792.0,0.0,0.7851
116105,26046.0,3145967.0,22745.0,0.0,1.0186
116108,13094.0,972311.0,12912.0,0.0,0.7799
117101,18902.0,1661581.0,22437.0,0.0,0.8742
117102,7417.0,444326.0,8356.0,11809.0,0.6921
118100,32151.0,3800062.0,30160.0,38239.0,1.0933
118105,7154.0,677855.0,5593.0,15278.0,0.6073
119100,20893.0,2057220.0,19524.0,0.0,0.9482
120101,26020.0,2665896.0,22170.0,4056.0,0.8587
121109,31319.0,3531941.0,26114.0,4897.0,1.0372
122100,20504.0,2124301.0,18275.0,1908.0,0.9335
123100,15777.0,1774809.0,18238.0,0.0,0.8574
124105,22350.0,1846478.0,21106.0,49980.0,0.9263
125100,9255.0,954246.0,5469.0,0.0,0.83
126100,11213.0,828133.0,8921.0,0.0,0.9881
129100,7397.0,414908.0,5603.0,4160.0,0.6791
129106,7624.0,531485.0,5819.0,1827.0,0.7414
133150,7149.0,549042.0,7253.0,1404.0,0.8421
