hospital_id,2015,2016,2017,2018,2019,2020
101100,0.95,1,1.03,1.02,1.21,0.76
113130,1.02,0.95,1.34,0.74,25.42,0.04
111100,0.98,1.06,0.91,0.71,1.05,0.79
111195,0.85,0.96,1,0.97,1.07,0.76
110100,0.84,1,1.07,1.11,1.19,0.62
112103,0.89,0.94,1.04,0.9,1.06,0.41
112104,0.86,0.89,1.03,0.96,0.94,0.51
112100,0.99,0.92,1.08,1,0.97,0.43
133150,0.99,0.89,1,0.77,1.08,0.57
112102,0.95,0.85,0.52,1.15,1.2,0.6
109100,1.02,0.83,0.99,1.03,0.81,0.73
109101,1.02,0.9,0.85,1.02,1.03,0.68
110120,0.88,0.84,1.02,1.1,1.09,0.58
106102,0.85,0.93,0.96,0.49,1.05,0.83
107102,0.86,0.95,1,1.05,1.1,0.51
106100,0.89,1,1.1,1.1,0.91,0.52
125100,1.04,0.91,0.95,1.18,1.02,0.68
107100,0.87,0.88,1.15,0.94,0.97,0.6
107101,0.95,0.94,0.97,1.07,1.14,0.78
108101,0.99,0.96,1.07,0.89,4.38,0.16
124105,0.87,0.88,1.19,0.85,0.91,2.3
113100,0.91,0.99,0.93,0.87,0.91,1.06
112101,1.92,0.95,1.26,0.88,1.03,1.11
111101,0.87,1.32,0.77,1.57,1.21,0.74
129106,1.08,0.69,1.1,1,1.14,0.58
129100,0.94,0.84,0.97,0.98,1.06,0.73
120101,0.95,0.9,1.09,0.87,1,0.64
118105,0.94,1.05,1,1,1,0.83
118100,1.05,1.08,1.22,1,1,0.67
119100,1.02,0.97,0.98,1.02,1.21,1.21
122100,0.92,0.79,1.01,1,1.17,2.12
117101,0.88,0.96,0.95,1.08,1,0.71
117102,0.83,0.99,0.99,1.02,0.6,0.65
108100,0.94,0.9,1.01,0.98,1.09,0.86
116108,1.02,0.8,1.09,0.89,1.13,1.25
116100,0.96,0.9,1.08,0.99,1,0.58
115107,0.96,0.88,1.08,0.98,1.07,0.62
115100,0.93,0.94,0.98,1.08,1.11,0.77
123100,0.97,0.88,0.98,1.1,0.92,0.59
110150,0.92,0.86,0.99,1.18,1.05,0.84
106103,0.85,1.03,2.39,1.69,1,0.2
113180,0.86,0.98,2.38,1.01,1.21,0.25
114101,1.07,1,0.93,0.96,0.9,0.44
114103,0.9,0.96,1.05,1.01,1.18,0.59
116105,0.94,0.9,8106784234893087,0,790569415042190,0
105102,0.95,0.92,0.94,1.13,1.07,0.86
121109,0.96,0.92,1.04,1.03,1.26,1.16
105101,0.93,0.95,1.06,1.05,1.03,0.75
105100,0.92,0.99,0.99,13.47,0.85,0.11
103101,1.02,0.91,0.85,1.19,1.16,0.84
126100,0.96,0.92,1.02,0.9,1.13,0.55
102100,1.02,0.87,1.06,0.65,1.22,1.05
103100,0.99,0.88,0.94,1.21,1.59,0.76
104100,0.9,0.85,1.12,0.57,1,1.03
