hospital_id,2015,2016,2017,2018,2019,2020
101100,0.98,1.01,1.03,1.02,1.21,0.76
113130,1.02,0.97,1.33,0.74,25.42,0.04
111100,0.99,1.04,0.91,0.75,1.07,0.81
111195,0.74,0.98,1.01,1.05,1.11,0.9
110100,0.82,1.05,1.06,1.13,1.19,0.6
112103,0.9,0.96,1.03,0.9,1.06,0.41
112104,0.9,0.9,1.03,0.96,0.94,0.55
112100,1.01,0.93,1.08,1,0.97,0.43
133150,1.02,0.94,0.99,0.72,1.1,0.63
112102,0.95,0.88,0.56,1.15,1.2,0.6
109100,1.04,0.84,1.02,1.03,0.81,0.75
109101,1.04,0.89,0.9,0.99,1.03,0.74
110120,0.9,0.82,1.03,1.1,1.09,0.58
106102,0.83,0.96,0.97,0.49,1.05,0.83
107102,0.87,0.98,1,1.05,1.1,0.51
106100,0.89,1.01,1.1,1.1,0.91,0.52
125100,1.05,0.91,0.95,1.18,1.02,0.68
107100,0.96,0.87,1.17,1.02,1.1,0.54
107101,0.98,0.94,0.97,1.07,1.14,0.78
108101,1,1,1.07,0.89,4.38,0.17
124105,0.96,0.87,1.22,0.85,0.91,2.3
113100,0.91,1.03,0.92,0.87,0.91,1.06
112101,1.95,1.01,1.29,0.88,1.03,1.11
111101,0.91,1.05,0.85,1.57,1.21,0.74
129106,1.1,0.55,1.08,1,1.14,0.58
129100,0.91,0.88,0.98,0.98,1.09,0.78
120101,1.04,0.91,0.99,0.92,1.11,0.58
118105,0.92,1.03,1.02,1.22,1.02,0.61
118100,0.93,1.02,1.26,0.99,1.01,0.61
119100,1,0.94,1,1.02,1.21,1.21
122100,0.94,0.83,1.09,0.89,1.17,2.12
117101,0.98,0.92,0.99,1.1,1,0.73
117102,0.79,1.04,1,1.02,0.6,0.74
108100,0.9,0.98,1.02,0.98,1.09,0.86
116108,1,0.82,1.09,0.89,1.13,1.25
116100,0.95,0.97,1.09,0.99,1,0.58
115107,0.95,0.87,1.08,0.98,1.07,0.62
115100,0.92,0.96,0.99,1.09,1.1,0.79
123100,1.01,0.91,1,1.1,0.92,0.59
110150,0.93,0.87,1.01,1.18,1.05,0.84
106103,0.85,1.03,2.39,1.69,1,0.2
113180,0.9,1.01,2.51,1.01,1.21,0.25
114101,1.07,1,0.94,0.96,0.9,0.44
114103,0.87,1.01,1.05,1.01,1.18,0.59
116105,0.94,0.93,8104627403059821,0,790569415042328,0
105102,0.98,0.92,0.97,1.05,1.04,0.86
121109,1.01,0.94,1.03,1.05,1.26,1.16
105101,0.94,0.97,1.05,1.05,1.03,0.75
105100,0.95,0.99,0.96,13.01,0.85,0.11
103101,1.02,0.87,0.86,1.19,1.16,0.84
126100,1.03,0.97,1.03,0.91,1.11,0.58
102100,1.06,0.87,1.05,0.65,1.22,1.05
103100,0.96,0.87,0.95,1.21,1.59,0.76
104100,0.92,0.9,1.11,0.57,1,1.03
