hospital_id,2015,2016,2017,2018,2019,2020
101100,0.99,1,1.06,1.02,1.21,0.76
113130,1.01,1.02,1.38,0.74,25.42,0.04
111100,0.99,1.01,0.9,0.86,1.12,1.19
111195,0.64,0.89,1.01,1.08,1.11,0.88
110100,0.82,1.06,1.08,1.13,1.19,0.58
112103,0.92,1.05,1.07,0.9,1.06,0.46
112104,0.89,0.98,1.03,1.02,0.97,0.64
112100,1.01,0.92,1.11,1,0.97,0.43
133150,0.99,1.15,0.95,0.75,1.08,0.83
112102,0.96,0.92,0.64,1.15,1.2,0.6
109100,1.12,0.87,1.05,1.03,0.81,0.75
109101,1.16,0.93,0.91,0.99,1.03,0.88
110120,0.88,0.83,1.06,1.1,1.09,0.58
106102,0.82,0.97,0.98,0.49,1.05,0.83
107102,0.84,1.02,1.01,1.05,1.1,0.51
106100,0.9,0.99,1.1,1.1,0.91,0.52
125100,1.06,0.91,0.95,1.18,1.02,0.68
107100,0.95,0.95,1.11,1.02,1.28,0.66
107101,0.98,0.96,0.97,1.07,1.16,0.93
108101,1.01,1.02,1.08,0.89,4.38,0.19
124105,0.98,0.86,1.24,0.85,0.91,2.3
113100,0.95,1.02,0.92,0.87,0.91,1.06
112101,2.05,1.14,1.3,0.88,1.03,1.11
111101,0.93,0.97,0.85,1.57,1.21,0.82
129106,1.14,0.61,1.09,1.04,1.32,0.88
129100,0.89,0.99,1.08,0.98,1.09,0.74
120101,1.08,0.94,1.11,0.89,1.27,0.7
118105,0.93,0.93,1.12,1.32,1.07,0.29
118100,1.06,1.01,1.15,0.98,1.02,0.21
119100,1.01,0.9,1.04,1.02,1.21,1.21
122100,1.03,0.94,1.09,0.72,1.01,2.12
117101,1.06,0.95,1.01,1.1,1,0.73
117102,0.81,1.04,1.07,0.97,0.68,1.02
108100,0.91,1.05,1.06,0.98,1.09,0.86
116108,1.01,0.82,1.13,0.89,1.13,1.25
116100,0.97,0.91,1.1,0.99,1,0.58
115107,0.95,0.81,1.08,0.98,1.07,0.62
115100,0.97,1.04,1.08,1.17,1.13,0.94
123100,1.01,0.92,1,1.1,0.92,0.59
110150,0.98,0.9,1.02,1.18,1.05,0.84
106103,0.86,1.03,2.39,1.69,1,0.2
113180,0.94,1.17,2.01,1.01,1.21,0.25
114101,1.07,1,0.92,0.96,0.9,0.44
114103,0.88,1.1,1.05,1.08,1.07,0.64
116105,0.93,0.99,9051905479623404,0,790569415042348,0
105102,1.05,0.94,1.04,1.11,1.06,0.86
121109,0.9,0.97,1.01,1.13,1.28,1.16
105101,0.94,1,1.06,1.05,1.03,0.75
105100,1.01,1.1,0.98,11.35,0.85,0.11
103101,1,0.84,0.88,1.19,1.16,0.84
126100,1,1.1,1.1,0.97,1.07,0.83
102100,1.11,0.88,0.98,0.65,1.22,1.05
103100,0.94,0.8,0.99,1.21,1.59,0.76
104100,0.99,0.98,1.12,0.57,1,1.03
