hospital_id,2015,2016,2017,2018,2019,2020
101100,0.97,0.99,1.07,1.02,1.21,0.76
113130,1.01,1.03,1.43,0.74,25.42,0.04
111100,0.98,0.99,0.91,0.92,1.14,1.44
111195,0.66,0.91,0.98,1.08,1.11,0.89
110100,0.83,1.03,1.09,1.13,1.19,0.58
112103,0.92,1.07,1.1,0.9,1.06,0.5
112104,0.88,1,1.05,1.05,1.01,0.67
112100,1.01,0.91,1.12,1,0.97,0.43
133150,1.02,1.14,0.93,0.77,1.07,0.96
112102,0.97,0.87,0.62,1.13,1.22,0.6
109100,1.15,0.89,1.06,1.03,0.81,0.75
109101,1.18,0.95,0.89,0.99,1.03,0.92
110120,0.84,0.86,1.07,1.1,1.09,0.58
106102,0.82,0.94,1,0.49,1.05,0.83
107102,0.83,1.02,1,1.05,1.1,0.51
106100,0.9,0.99,1.1,1.1,0.91,0.52
125100,1.06,0.91,0.95,1.18,1.02,0.68
107100,0.92,0.93,1.09,1,1.38,0.8
107101,0.96,0.94,0.97,1.04,1.29,1.2
108101,1.04,0.99,1.09,0.89,4.38,0.2
124105,0.98,0.86,1.24,0.85,0.91,2.3
113100,0.96,1,0.92,0.87,0.92,1.06
112101,2.07,1.09,1.29,0.88,1.03,1.11
111101,0.94,1.12,0.92,1.46,1.2,1.44
129106,1.15,0.64,1.08,1.06,1.41,1.13
129100,0.92,0.96,1.1,0.98,1.09,0.68
120101,1.06,0.93,1.2,0.85,1.35,0.8
118105,0.93,0.89,1.15,1.37,1.1,0.37
118100,1.03,1.05,1.1,0.98,1.02,0.12
119100,1.01,0.92,1.06,0.99,1.27,1.21
122100,1.01,0.9,1.08,0.7,0.88,2.12
117101,0.97,0.98,1.02,1.1,1,0.74
117102,0.84,1.01,1.12,0.86,0.75,1.21
108100,0.95,0.97,1.05,0.98,1.09,0.86
116108,1.03,0.8,1.09,1.03,1.09,1.25
116100,0.99,0.84,1.09,0.99,1,0.59
115107,0.96,0.82,1.08,0.98,1.07,0.62
115100,0.97,1.04,1.1,1.19,1.16,1.06
123100,0.96,0.89,1,1.1,0.92,0.59
110150,0.98,0.9,1,1.18,1.05,0.84
106103,0.86,1.03,2.39,1.69,1,0.2
113180,0.94,1.16,1.79,1.01,1.21,0.25
114101,1.07,1,0.92,0.96,0.9,0.44
114103,0.9,1.08,1.07,1.11,1.05,0.72
116105,0.94,0.98,Inf,0,Inf,0
105102,1.06,0.95,1.06,1.14,1.05,0.87
121109,0.86,0.96,1.03,1.17,1.28,1.16
105101,0.94,0.99,1.07,1.05,1.03,0.75
105100,0.96,1.13,0.98,10.6,0.85,0.11
103101,1,0.85,0.85,1.19,1.16,0.84
126100,0.94,1.09,1.13,1,1.05,0.99
102100,1.11,0.88,0.95,0.65,1.22,1.05
103100,0.95,0.77,0.99,1.21,1.59,0.76
104100,0.95,0.9,1.16,0.57,1,1.03
