hospital_id,2015,2016,2017,2018,2019,2020
101100,0.95,0.98,1.08,1.02,1.21,0.76
113130,1.01,1.02,1.5,0.74,25.42,0.04
111100,0.96,1.01,0.92,1.06,1.19,2.1
111195,0.71,0.91,0.98,1.08,1.11,0.92
110100,0.85,1,1.09,1.13,1.19,0.58
112103,0.9,1.05,1.1,0.98,1.07,0.61
112104,0.85,0.98,1.08,1.1,1.03,0.75
112100,1.01,0.91,1.12,1,0.97,0.43
133150,1.02,1.1,0.91,0.8,1.05,1.27
112102,0.96,0.83,0.68,1.25,1.33,0.74
109100,1.17,0.89,1.06,1.03,0.81,0.75
109101,1.15,0.99,0.86,0.99,1.03,1.02
110120,0.82,0.88,1.07,1.1,1.09,0.58
106102,0.81,0.91,1.02,0.49,1.05,0.83
107102,0.82,1,1,1.05,1.1,0.53
106100,0.9,0.99,1.1,1.1,0.91,0.52
125100,1.06,0.91,0.95,1.18,1.02,0.68
107100,0.9,0.9,1.05,0.97,1.6,1.14
107101,0.95,0.94,0.98,1.06,1.49,1.82
108101,1.06,0.96,1.1,0.89,4.38,0.23
124105,0.98,0.86,1.24,0.85,0.91,2.3
113100,0.97,0.98,0.93,0.87,0.96,1.06
112101,2.14,1.01,1.27,0.95,1.09,1.25
111101,0.94,1.26,0.91,1.63,1.21,3.68
129106,1.09,0.75,1.1,1.04,1.48,1.69
129100,0.98,0.89,1.1,0.98,1.09,0.66
120101,0.99,0.92,1.33,0.79,1.54,1.06
118105,0.93,0.83,1.18,1.49,1.15,0.63
118100,1,1.09,1.01,0.96,1.04,0.04
119100,1.03,0.95,1.15,0.97,1.31,1.29
122100,0.98,0.84,1.06,0.68,0.68,2.07
117101,0.88,1.04,1.02,1.1,1,0.8
117102,0.88,0.98,1.16,0.82,0.82,1.68
108100,0.97,0.94,1.04,0.98,1.09,0.86
116108,1.08,0.79,1.09,1.05,1.06,1.37
116100,1,0.8,1.09,0.99,1,0.66
115107,0.97,0.82,1.08,0.98,1.07,0.62
115100,0.96,0.99,1.1,1.24,1.23,1.34
123100,0.93,0.85,1.01,1.1,0.92,0.59
110150,0.98,0.89,0.98,1.18,1.05,0.84
106103,0.85,1.04,2.39,1.69,1,0.2
113180,0.92,1.09,1.41,1.01,1.21,0.36
114101,1.07,1,0.92,0.96,0.9,0.44
114103,0.93,1.01,1.1,1.19,1.06,0.86
116105,0.94,0.97,Inf,0,Inf,0
105102,1.04,0.96,1.09,1.21,1.09,1.04
121109,0.86,0.95,1.04,1.25,1.28,1.16
105101,0.93,0.98,1.07,1.05,1.03,0.79
105100,0.92,1.14,1.01,9.25,0.85,0.11
103101,1.02,0.85,0.82,1.19,1.16,0.84
126100,0.87,1.05,1.17,1.06,1,1.41
102100,1.12,0.88,0.92,0.65,1.22,1.05
103100,0.95,0.76,0.98,1.21,1.59,0.76
104100,0.91,0.84,1.18,0.57,1,1.03
