hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input,te_output,te_directional
101100,0.27,0.25,0.3,0.21,0.21,0.05,0.77,0.686,1.301,0.16
102100,0.37,0.29,0.34,0.19,0.25,0.05,0.75,0.584,1.391,0.202
103100,0.42,0.33,0.38,0.23,0.3,0,0.84,0.628,1.338,0.181
103101,0.14,0.08,0.13,0.09,0.04,0,0.61,0.651,1.731,0.239
104100,0.24,0.23,0.19,0.11,0.14,0,0.72,0.48,1.952,0.361
105100,0.23,0.26,0.27,0.23,0.25,0,0.84,0.772,1.266,0.128
105101,0.25,0.26,0.26,0.15,0.28,0,0.92,0.72,1.388,0.163
105102,0.13,0.1,0.16,0.14,0.16,0,0.67,0.885,1.148,0.065
106100,0.45,0.47,0.54,0.29,0.33,0,0.95,0.917,1.061,0.036
106102,0.09,0.07,0.06,0.34,0.04,0,1.03,1,1,0
106103,0.09,0.09,0.16,0.12,0.08,0,0.65,1,1,0
107100,0.47,0.62,0.46,0.45,0.34,0,1.15,0.736,1.267,0.133
107101,0.15,0.15,0.21,0.19,0.18,0,0.72,0.913,1.097,0.047
107102,0.12,0.08,0.11,0.07,0.09,0,0.68,0.75,1.684,0.204
108100,0.14,0.1,0.21,0.11,0.18,0,0.74,0.942,1.065,0.031
108101,0.11,0.09,0.16,0.1,0.17,0,0.7,1,1,0
109100,0.5,0.51,0.58,0.82,0.95,0,0.79,1,1,0
109101,0.26,0.19,0.14,0.11,0.14,0,1.05,0.397,2.553,0.455
110100,0.49,0.71,0.49,0.79,0.39,0,1,0.968,1.023,0.013
110120,0.31,0.39,0.28,0.22,0.29,0,0.77,0.614,1.559,0.239
110150,0.11,0.07,0.11,0.1,0.11,0.01,0.63,0.864,1.294,0.101
111100,0.55,0.89,0.46,0.55,0.33,0.11,0.87,0.67,1.24,0.176
111101,0.36,0.35,0.27,0.31,0.15,0.03,0.77,0.525,1.697,0.286
111195,0.4,0.32,0.12,0.16,0.14,0.07,1.22,0.272,3.24,0.605
112100,0.35,0.79,0.38,0.38,0.39,0,1.14,0.784,1.217,0.109
112101,0.18,0.21,0.34,0.01,0.16,0,0.68,1,1,0
112102,0.22,0.35,0.16,0.19,0.16,0,1.26,0.547,1.892,0.31
112103,0.1,0.24,0.05,0.1,0.01,0,1.71,0.9,2.459,0.1
112104,0.1,0.13,0.03,0.05,0.03,0,1.73,0.9,3.743,0.1
113100,0.62,0.67,0.57,0.71,0.49,0.13,0.91,1,1,0
113130,0.15,0.12,0.11,0.07,0.12,0,1.07,0.638,1.928,0.295
113180,0.23,0.18,0.29,0.23,0.17,0,0.78,0.797,1.191,0.1
114101,0.84,0.72,0.9,0.61,0.64,0.17,0.86,1,1,0
114103,0.34,0.33,0.39,0.4,0.21,0.02,0.67,0.838,1.149,0.079
115100,0.4,0.52,0.36,0.34,0.38,0.08,0.95,0.633,1.381,0.195
115107,0.1,0.09,0.14,0.07,0.13,0,0.68,0.996,1.009,0.003
116100,0.21,0.23,0.27,0.41,0.28,0.38,0.76,1,1,0
116105,0.44,0.44,0.39,0.51,0.31,0,0.94,0.703,1.357,0.163
116108,0.17,0.1,0.29,0.17,0.21,0.07,0.72,1,1,0
117101,0.4,0.35,0.42,0.31,0.39,0,0.8,0.764,1.197,0.107
117102,0.09,0.06,0.1,0.07,0.1,0,0.71,1,1,0
118100,0.78,0.89,0.64,0.74,0.47,0.11,1.01,1,1,0
118105,0.09,0.03,0.11,0.11,0.08,0.35,0.57,1,1,0
119100,0.4,0.46,0.42,0.38,0.32,0,0.83,0.76,1.236,0.122
120101,0.45,0.51,0.53,0.46,0.33,0,0.74,0.909,1.071,0.04
121109,0.62,0.76,0.73,0.71,0.46,0.08,0.95,1,1,0
122100,0.38,0.45,0.41,0.42,0.29,0.04,0.87,0.799,1.19,0.099
123100,0.35,0.3,0.31,0.29,0.3,0,0.8,0.601,1.455,0.228
124105,0.51,0.51,0.46,0.29,0.28,0,0.86,0.655,1.352,0.175
125100,0.28,0.15,0.15,0.21,0.09,0,0.76,0.443,1.606,0.311
126100,0.3,0.28,0.22,0.13,0.14,0,0.85,0.423,1.929,0.389
129100,0.11,0.06,0.12,0.07,0.09,0,0.62,0.831,1.342,0.12
129106,0.12,0.08,0.12,0.08,0.09,0.04,0.7,0.752,1.583,0.188
133150,0.15,0.08,0.11,0.08,0.1,0.08,0.79,0.619,1.729,0.274
