hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input,te_output,te_directional
101100,0.3,0.26,0.33,0.29,0.28,0.06,0.82,0.04,25,0.923
102100,0.45,0.25,0.37,0.25,0.4,1,0.82,0.444,2.25,0.385
103100,0.56,0.59,0.41,0.41,0.28,0,0.93,0.013,76.488,0.974
103101,0.19,0.14,0.17,0.15,0.09,0,0.72,0.016,62.588,0.969
104100,0.26,0.22,0.22,0.17,0.21,0,0.78,0.018,56.952,0.965
105100,0.29,0.33,0.25,0.24,0.34,0,0.95,0.025,39.235,0.95
105101,0.31,0.34,0.26,0.2,0.3,0,1.01,0.021,47.533,0.959
105102,0.2,0.14,0.15,0.22,0.22,0,0.74,0.024,41.818,0.953
106100,0.48,0.42,0.38,0.31,0.31,0,1.01,0.014,70.737,0.972
106102,0.1,0.07,0.07,0.18,0.06,0,1.11,0.03,33.889,0.943
106103,0.11,0.1,0.12,0.13,0.07,0,0.71,0.019,51.333,0.962
107100,0.53,0.65,0.4,0.41,0.35,0,1.19,0.014,69.657,0.972
107101,0.17,0.16,0.16,0.24,0.21,0,0.77,0.027,37.238,0.948
107102,0.15,0.1,0.11,0.1,0.12,0.02,0.76,0.027,37.5,0.948
108100,0.15,0.11,0.2,0.15,0.23,0,0.84,0.033,30,0.935
108101,0.12,0.1,0.15,0.11,0.21,0,0.85,0.038,26.286,0.927
109100,0.57,0.46,0.54,0.95,0.98,0,0.84,0.037,26.755,0.928
109101,0.27,0.18,0.16,0.14,0.13,0,1.11,0.011,94.5,0.979
110100,0.55,0.76,0.48,1,0.5,0,1.09,0.03,33.55,0.942
110120,0.38,0.4,0.33,0.33,0.31,0.2,0.82,0.105,9.5,0.81
110150,0.12,0.07,0.11,0.12,0.1,0.01,0.64,0.018,55.2,0.964
111100,0.61,0.78,0.55,0.62,0.38,0.09,0.89,0.03,33.889,0.943
111101,0.46,0.44,0.34,0.52,0.26,0.07,0.94,0.03,32.857,0.941
111195,0.38,0.31,0.14,0.23,0.16,0.09,1.32,0.047,21.111,0.91
112100,0.39,0.92,0.23,0.51,0.42,0,1.22,0.023,42.714,0.954
112101,0.21,0.16,0.31,0.01,0.17,0,0.75,0.026,37.935,0.949
112102,0.24,0.32,0.14,0.2,0.14,0,1.42,0.014,73.2,0.973
112103,0.11,0.27,0.07,0.11,0.02,0,1.78,0.016,61,0.968
112104,0.1,0.13,0.04,0.05,0.05,0,1.68,0.011,92,0.978
113100,0.65,0.77,0.66,0.93,0.59,0.1,0.95,0.031,32.5,0.94
113130,0.21,0.16,0.11,0.09,0.08,0.02,1.02,0.019,52.5,0.963
113180,0.26,0.18,0.29,0.3,0.22,0,0.8,0.02,50.207,0.961
114101,0.94,0.92,0.84,0.72,0.79,0,0.96,0.018,54.734,0.964
114103,0.38,0.33,0.38,0.49,0.22,0.01,0.74,0.021,47.306,0.959
115100,0.56,0.53,0.45,0.48,0.53,0.11,1,0.039,25.455,0.924
115107,0.12,0.15,0.15,0.14,0.14,0,0.81,0.025,39.429,0.951
116100,0.23,0.31,0.29,0.49,0.34,0.03,0.81,0.035,28.633,0.933
116105,0.6,0.52,0.56,0.74,0.49,0,1.05,0.02,49.459,0.96
116108,0.19,0.15,0.26,0.25,0.23,0,0.79,0.026,38,0.949
117101,0.45,0.39,0.39,0.44,0.46,0.01,0.87,0.022,45,0.957
117102,0.11,0.08,0.11,0.18,0.15,0.23,0.7,0.418,2.391,0.41
118100,0.9,0.9,0.69,0.92,0.57,0.91,1.11,0.202,4.945,0.664
118105,0.1,0.04,0.1,0.15,0.09,0.27,0.62,0.54,1.852,0.299
119100,0.45,0.51,0.42,0.51,0.45,0,0.96,0.022,46,0.957
120101,0.01,0,0.56,0.61,0.46,0.05,0.9,1,1,0
121109,0.66,0.9,0.65,0.59,0.5,0.11,1.06,0.033,30,0.935
122100,0.41,0.56,0.41,0.47,0.36,0.06,0.96,0.029,34.167,0.943
123100,0.38,0.32,0.31,0.43,0.35,0,0.86,0.02,49.943,0.961
124105,0.62,0.65,0.47,0.45,0.44,0.82,0.96,0.265,3.78,0.582
125100,0.29,0.19,0.16,0.22,0.09,0,0.86,0.012,80.409,0.975
126100,0.36,0.31,0.22,0.19,0.17,0,0.97,0.011,91.636,0.978
129100,0.13,0.06,0.12,0.1,0.1,0.09,0.68,0.138,7.222,0.757
129106,0.13,0.08,0.11,0.11,0.09,0.06,0.76,0.092,10.833,0.831
133150,0.19,0.09,0.11,0.13,0.14,0.03,0.82,0.032,31.667,0.939
