hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input,te_output,te_directional
101100,0.3,0.26,0.33,0.29,0.28,0.06,0.82,0.047,1.899,0.721
102100,0.45,0.25,0.37,0.25,0.4,1,0.82,1,1,0
103100,0.56,0.59,0.41,0.41,0.28,0,0.93,0.013,1.736,0.545
103101,0.19,0.14,0.17,0.15,0.09,0,0.72,0.016,3.545,0.969
104100,0.26,0.22,0.22,0.17,0.21,0,0.78,0.018,2.765,0.965
105100,0.29,0.33,0.25,0.24,0.34,0,0.95,0.025,2.118,0.624
105101,0.31,0.34,0.26,0.2,0.3,0,1.01,0.021,2.254,0.746
105102,0.2,0.14,0.15,0.22,0.22,0,0.74,0.024,2.81,0.953
106100,0.48,0.42,0.38,0.31,0.31,0,1.01,0.014,1.81,0.606
106102,0.1,0.07,0.07,0.18,0.06,0,1.11,0.03,3.676,0.943
106103,0.11,0.1,0.12,0.13,0.07,0,0.71,0.019,4.868,0.962
107100,0.53,0.65,0.4,0.41,0.35,0,1.19,0.014,1.748,0.559
107101,0.17,0.16,0.16,0.24,0.21,0,0.77,0.027,2.898,0.948
107102,0.15,0.1,0.11,0.1,0.12,0.02,0.76,0.027,4.62,0.948
108100,0.15,0.11,0.2,0.15,0.23,0,0.84,0.033,2.541,0.935
108101,0.12,0.1,0.15,0.11,0.21,0,0.85,0.038,2.677,0.927
109100,0.57,0.46,0.54,0.95,0.98,0,0.84,1,1,0
109101,0.27,0.18,0.16,0.14,0.13,0,1.11,0.011,3.842,0.979
110100,0.55,0.76,0.48,1,0.5,0,1.09,1,1,0
110120,0.38,0.4,0.33,0.33,0.31,0.2,0.82,0.197,1.791,0.545
110150,0.12,0.07,0.11,0.12,0.1,0.01,0.64,0.018,5.146,0.964
111100,0.61,0.78,0.55,0.62,0.38,0.09,0.89,0.079,1.267,0.211
111101,0.46,0.44,0.34,0.52,0.26,0.07,0.94,0.04,1.656,0.439
111195,0.38,0.31,0.14,0.23,0.16,0.09,1.32,0.069,3.209,0.844
112100,0.39,0.92,0.23,0.51,0.42,0,1.22,0.023,1.677,0.45
112101,0.21,0.16,0.31,0.01,0.17,0,0.75,0.026,1.964,0.831
112102,0.24,0.32,0.14,0.2,0.14,0,1.42,0.014,3.831,0.973
112103,0.11,0.27,0.07,0.11,0.02,0,1.78,0.016,6.202,0.968
112104,0.1,0.13,0.04,0.05,0.05,0,1.68,0.011,10.871,0.978
113100,0.65,0.77,0.66,0.93,0.59,0.1,0.95,1,1,0
113130,0.21,0.16,0.11,0.09,0.08,0.02,1.02,0.019,5.437,0.963
113180,0.26,0.18,0.29,0.3,0.22,0,0.8,0.02,2.114,0.938
114101,0.94,0.92,0.84,0.72,0.79,0,0.96,1,1,0
114103,0.38,0.33,0.38,0.49,0.22,0.01,0.74,0.021,1.565,0.473
115100,0.56,0.53,0.45,0.48,0.53,0.11,1,0.216,1.406,0.301
115107,0.12,0.15,0.15,0.14,0.14,0,0.81,0.025,3.816,0.951
116100,0.23,0.31,0.29,0.49,0.34,0.03,0.81,0.035,1.544,0.42
116105,0.6,0.52,0.56,0.74,0.49,0,1.05,0.385,1.123,0.103
116108,0.19,0.15,0.26,0.25,0.23,0,0.79,0.026,2.302,0.949
117101,0.45,0.39,0.39,0.44,0.46,0.01,0.87,0.022,1.589,0.443
117102,0.11,0.08,0.11,0.18,0.15,0.23,0.7,0.76,1.238,0.12
118100,0.9,0.9,0.69,0.92,0.57,0.91,1.11,1,1,0
118105,0.1,0.04,0.1,0.15,0.09,0.27,0.62,1,1,0
119100,0.45,0.51,0.42,0.51,0.45,0,0.96,0.022,1.505,0.402
120101,0.01,0,0.56,0.61,0.46,0.05,0.9,1,1,0
121109,0.66,0.9,0.65,0.59,0.5,0.11,1.06,0.528,1.137,0.106
122100,0.41,0.56,0.41,0.47,0.36,0.06,0.96,0.034,1.575,0.46
123100,0.38,0.32,0.31,0.43,0.35,0,0.86,0.02,1.852,0.616
124105,0.62,0.65,0.47,0.45,0.44,0.82,0.96,0.759,1.099,0.071
125100,0.29,0.19,0.16,0.22,0.09,0,0.86,0.012,3.411,0.975
126100,0.36,0.31,0.22,0.19,0.17,0,0.97,0.011,2.974,0.978
129100,0.13,0.06,0.12,0.1,0.1,0.09,0.68,0.203,3.298,0.621
129106,0.13,0.08,0.11,0.11,0.09,0.06,0.76,0.108,4.731,0.75
133150,0.19,0.09,0.11,0.13,0.14,0.03,0.82,0.032,3.826,0.93
