hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input,te_output,te_directional
101100,0.27,0.25,0.231,0.21,0.21,0.05,0.77,0.705,1.418,0.173
102100,0.37,0.29,0.255,0.19,0.25,0.05,0.75,0.559,1.788,0.283
103100,0.42,0.33,0.3192,0.23,0.3,0,0.84,0.615,1.626,0.238
103101,0.14,0.08,0.0793,0.09,0.04,0,0.61,0.509,1.966,0.326
104100,0.24,0.23,0.1368,0.11,0.14,0,0.72,0.467,2.143,0.364
105100,0.23,0.26,0.2268,0.23,0.25,0,0.84,0.842,1.187,0.086
105101,0.25,0.26,0.2392,0.15,0.28,0,0.92,0.82,1.22,0.099
105102,0.13,0.1,0.1072,0.14,0.16,0,0.67,0.81,1.234,0.105
106100,0.45,0.47,0.513,0.29,0.33,0,0.95,0.913,1.095,0.045
106102,0.09,0.07,0.0618,0.34,0.04,0,1.03,1,1,0
106103,0.09,0.09,0.104,0.12,0.08,0,0.65,0.99,1.01,0.005
107100,0.47,0.62,0.529,0.45,0.34,0,1.15,0.915,1.093,0.045
107101,0.15,0.15,0.1512,0.19,0.18,0,0.72,0.906,1.103,0.049
107102,0.12,0.08,0.0748,0.07,0.09,0,0.68,0.552,1.812,0.289
108100,0.14,0.1,0.1554,0.11,0.18,0,0.74,0.948,1.055,0.027
108101,0.11,0.09,0.112,0.1,0.17,0,0.7,0.972,1.029,0.014
109100,0.5,0.51,0.4582,0.82,0.95,0,0.79,1,1,0
109101,0.26,0.19,0.147,0.11,0.14,0,1.05,0.458,2.182,0.371
110100,0.49,0.71,0.49,0.79,0.39,0,1,0.915,1.093,0.044
110120,0.31,0.39,0.2156,0.22,0.29,0,0.77,0.627,1.594,0.229
110150,0.11,0.07,0.0693,0.1,0.11,0.01,0.63,0.751,1.332,0.142
111100,0.55,0.89,0.4002,0.55,0.33,0.11,0.87,0.646,1.549,0.215
111101,0.36,0.35,0.2079,0.31,0.15,0.03,0.77,0.522,1.917,0.314
111195,0.4,0.32,0.1464,0.16,0.14,0.07,1.22,0.314,3.189,0.523
112100,0.35,0.79,0.4332,0.38,0.39,0,1.14,1,1,0
112101,0.18,0.21,0.2312,0.01,0.16,0,0.68,1,1,0
112102,0.22,0.35,0.2016,0.19,0.16,0,1.26,0.754,1.326,0.14
112103,0.1,0.24,0.0855,0.1,0.01,0,1.71,0.726,1.378,0.159
112104,0.1,0.13,0.0519,0.05,0.03,0,1.73,0.43,2.326,0.399
113100,0.62,0.67,0.5187,0.71,0.49,0.13,0.91,0.742,1.347,0.148
113130,0.15,0.12,0.1177,0.07,0.12,0,1.07,0.642,1.558,0.218
113180,0.23,0.18,0.2262,0.23,0.17,0,0.78,0.826,1.21,0.095
114101,0.84,0.72,0.774,0.61,0.64,0.17,0.86,0.748,1.337,0.144
114103,0.34,0.33,0.2613,0.4,0.21,0.02,0.67,0.699,1.431,0.177
115100,0.4,0.52,0.342,0.34,0.38,0.08,0.95,0.729,1.372,0.157
115107,0.1,0.09,0.0952,0.07,0.13,0,0.68,0.864,1.157,0.073
116100,0.21,0.23,0.2052,0.41,0.28,0.38,0.76,1,1,0
116105,0.44,0.44,0.3666,0.51,0.31,0,0.94,0.741,1.349,0.149
116108,0.17,0.1,0.2088,0.17,0.21,0.07,0.72,1,1,0
117101,0.4,0.35,0.336,0.31,0.39,0,0.8,0.718,1.393,0.164
117102,0.09,0.06,0.071,0.07,0.1,0,0.71,0.812,1.232,0.104
118100,0.78,0.89,0.6464,0.74,0.47,0.11,1.01,0.708,1.412,0.171
118105,0.09,0.03,0.0627,0.11,0.08,0.35,0.57,1,1,0
119100,0.4,0.46,0.3486,0.38,0.32,0,0.83,0.738,1.355,0.151
120101,0.45,0.51,0.3922,0.46,0.33,0,0.74,0.748,1.337,0.144
121109,0.62,0.76,0.6935,0.71,0.46,0.08,0.95,0.936,1.068,0.033
122100,0.38,0.45,0.3567,0.42,0.29,0.04,0.87,0.806,1.241,0.107
123100,0.35,0.3,0.248,0.29,0.3,0,0.8,0.631,1.586,0.227
124105,0.51,0.51,0.3956,0.29,0.28,0,0.86,0.627,1.594,0.229
125100,0.28,0.15,0.114,0.21,0.09,0,0.76,0.445,2.247,0.384
126100,0.3,0.28,0.187,0.13,0.14,0,0.85,0.503,1.987,0.33
129100,0.11,0.06,0.0744,0.07,0.09,0,0.62,0.689,1.451,0.184
129106,0.12,0.08,0.084,0.08,0.09,0.04,0.7,0.59,1.695,0.258
133150,0.15,0.08,0.0869,0.08,0.1,0.08,0.79,0.571,1.751,0.273
