hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input,te_output,te_directional
101100,0.27,0.25,0.231,0.21,0.21,0.05,0.77,0.708,1.357,0.164
102100,0.37,0.29,0.255,0.19,0.25,0.05,0.75,0.581,1.47,0.226
103100,0.42,0.33,0.3192,0.23,0.3,0,0.84,0.697,1.295,0.151
103101,0.14,0.08,0.0793,0.09,0.04,0,0.61,0.651,1.953,0.258
104100,0.24,0.23,0.1368,0.11,0.14,0,0.72,0.493,2.05,0.358
105100,0.23,0.26,0.2268,0.23,0.25,0,0.84,0.842,1.182,0.086
105101,0.25,0.26,0.2392,0.15,0.28,0,0.92,0.821,1.193,0.096
105102,0.13,0.1,0.1072,0.14,0.16,0,0.67,0.874,1.169,0.072
106100,0.45,0.47,0.513,0.29,0.33,0,0.95,1,1,0
106102,0.09,0.07,0.0618,0.34,0.04,0,1.03,1,1,0
106103,0.09,0.09,0.104,0.12,0.08,0,0.65,1,1,0
107100,0.47,0.62,0.529,0.45,0.34,0,1.15,0.979,1.02,0.01
107101,0.15,0.15,0.1512,0.19,0.18,0,0.72,0.927,1.085,0.039
107102,0.12,0.08,0.0748,0.07,0.09,0,0.68,0.75,1.697,0.196
108100,0.14,0.1,0.1554,0.11,0.18,0,0.74,0.968,1.038,0.017
108101,0.11,0.09,0.112,0.1,0.17,0,0.7,1,1,0
109100,0.5,0.51,0.4582,0.82,0.95,0,0.79,1,1,0
109101,0.26,0.19,0.147,0.11,0.14,0,1.05,0.481,1.955,0.37
110100,0.49,0.71,0.49,0.79,0.39,0,1,1,1,0
110120,0.31,0.39,0.2156,0.22,0.29,0,0.77,0.631,1.572,0.228
110150,0.11,0.07,0.0693,0.1,0.11,0.01,0.63,0.864,1.294,0.101
111100,0.55,0.89,0.4002,0.55,0.33,0.11,0.87,0.677,1.246,0.182
111101,0.36,0.35,0.2079,0.31,0.15,0.03,0.77,0.534,1.728,0.287
111195,0.4,0.32,0.1464,0.16,0.14,0.07,1.22,0.318,2.49,0.519
112100,0.35,0.79,0.4332,0.38,0.39,0,1.14,1,1,0
112101,0.18,0.21,0.2312,0.01,0.16,0,0.68,1,1,0
112102,0.22,0.35,0.2016,0.19,0.16,0,1.26,0.757,1.326,0.139
112103,0.1,0.24,0.0855,0.1,0.01,0,1.71,0.9,1.353,0.1
112104,0.1,0.13,0.0519,0.05,0.03,0,1.73,0.9,2.27,0.1
113100,0.62,0.67,0.5187,0.71,0.49,0.13,0.91,1,1,0
113130,0.15,0.12,0.1177,0.07,0.12,0,1.07,0.712,1.534,0.194
113180,0.23,0.18,0.2262,0.23,0.17,0,0.78,0.838,1.161,0.082
114101,0.84,0.72,0.774,0.61,0.64,0.17,0.86,1,1,0
114103,0.34,0.33,0.2613,0.4,0.21,0.02,0.67,0.741,1.296,0.138
115100,0.4,0.52,0.342,0.34,0.38,0.08,0.95,0.761,1.262,0.125
115107,0.1,0.09,0.0952,0.07,0.13,0,0.68,0.994,1.015,0.004
116100,0.21,0.23,0.2052,0.41,0.28,0.38,0.76,1,1,0
116105,0.44,0.44,0.3666,0.51,0.31,0,0.94,0.811,1.192,0.098
116108,0.17,0.1,0.2088,0.17,0.21,0.07,0.72,1,1,0
117101,0.4,0.35,0.336,0.31,0.39,0,0.8,0.779,1.204,0.106
117102,0.09,0.06,0.071,0.07,0.1,0,0.71,1,1,0
118100,0.78,0.89,0.6464,0.74,0.47,0.11,1.01,1,1,0
118105,0.09,0.03,0.0627,0.11,0.08,0.35,0.57,1,1,0
119100,0.4,0.46,0.3486,0.38,0.32,0,0.83,0.771,1.274,0.125
120101,0.45,0.51,0.3922,0.46,0.33,0,0.74,0.789,1.245,0.114
121109,0.62,0.76,0.6935,0.71,0.46,0.08,0.95,1,1,0
122100,0.38,0.45,0.3567,0.42,0.29,0.04,0.87,0.843,1.174,0.083
123100,0.35,0.3,0.248,0.29,0.3,0,0.8,0.636,1.428,0.208
124105,0.51,0.51,0.3956,0.29,0.28,0,0.86,0.671,1.382,0.179
125100,0.28,0.15,0.114,0.21,0.09,0,0.76,0.456,1.623,0.316
126100,0.3,0.28,0.187,0.13,0.14,0,0.85,0.507,1.873,0.325
129100,0.11,0.06,0.0744,0.07,0.09,0,0.62,0.83,1.398,0.122
129106,0.12,0.08,0.084,0.08,0.09,0.04,0.7,0.766,1.555,0.166
133150,0.15,0.08,0.0869,0.08,0.1,0.08,0.79,0.657,1.729,0.25
