hospital_id,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,grd,te_input,te_output,te_directional
101100,0.28,0.27,0.2528,0.24,0.26,0.05,0.79,0.026,2.035,0.685
102100,0.42,0.31,0.2652,0.21,0.41,0.01,0.78,0.081,1.604,0.365
103100,0.44,0.47,0.301,0.26,0.34,0,0.86,0.02,1.845,0.543
103101,0.14,0.12,0.0858,0.1,0.04,0,0.66,0.014,5.62,0.973
104100,0.25,0.24,0.15,0.14,0.16,0,0.75,0.016,3.319,0.968
105100,0.27,0.32,0.2275,0.23,0.33,0,0.91,0.031,1.836,0.498
105101,0.28,0.29,0.245,0.18,0.3,0,0.98,0.027,1.931,0.59
105102,0.15,0.13,0.105,0.16,0.19,0,0.7,0.032,2.643,0.937
106100,0.48,0.47,0.51,0.29,0.3,0,1,0.324,1.283,0.199
106102,0.1,0.07,0.0714,0.13,0.05,0,1.02,0.025,4.401,0.951
106103,0.1,0.09,0.0884,0.14,0.07,0,0.68,0.027,4.175,0.948
107100,0.51,0.66,0.4522,0.38,0.32,0,1.19,0.05,1.476,0.317
107101,0.17,0.18,0.1258,0.22,0.18,0,0.74,0.027,2.885,0.947
107102,0.14,0.1,0.0814,0.07,0.11,0.04,0.74,0.041,3.646,0.908
108100,0.15,0.11,0.158,0.12,0.2,0,0.79,0.034,2.425,0.934
108101,0.12,0.1,0.1216,0.1,0.21,0,0.76,0.045,2.268,0.876
109100,0.54,0.51,0.4293,0.9,0.83,0,0.81,1,1,0
109101,0.27,0.17,0.147,0.11,0.14,0,1.05,0.013,3.429,0.974
110100,0.55,0.67,0.4848,0.82,0.41,0,1.01,0.928,1.02,0.016
110120,0.37,0.44,0.2624,0.28,0.36,0,0.82,0.025,1.807,0.493
110150,0.12,0.07,0.0704,0.12,0.13,0.01,0.64,0.028,3.465,0.946
111100,0.59,0.81,0.468,0.6,0.36,0.11,0.9,0.309,1.248,0.184
111101,0.47,0.45,0.306,0.43,0.19,0.08,0.9,0.031,1.691,0.478
111195,0.46,0.41,0.1612,0.19,0.15,0.06,1.24,0.019,3.402,0.933
112100,0.38,0.77,0.192,0.39,0.36,0,1.2,0.024,1.937,0.499
112101,0.2,0.17,0.219,0,0.16,0,0.73,0.025,2.411,0.952
112102,0.23,0.34,0.1794,0.2,0.17,0,1.38,0.019,2.893,0.963
112103,0.11,0.25,0.1002,0.11,0.02,0,1.67,0.02,4.869,0.96
112104,0.1,0.14,0.0672,0.05,0.05,0,1.68,0.015,7.221,0.97
113100,0.67,0.68,0.5673,0.84,0.54,0.09,0.93,1,1,0
113130,0.17,0.13,0.1232,0.07,0.1,0,1.12,0.016,4.128,0.968
113180,0.25,0.18,0.2106,0.27,0.18,0,0.78,0.021,2.263,0.94
114101,0.93,0.84,0.8544,0.64,0.73,0.17,0.96,1,1,0
114103,0.39,0.32,0.2964,0.46,0.22,0.02,0.78,0.023,1.572,0.427
115100,0.5,0.58,0.3737,0.39,0.38,0.1,1.01,0.082,1.602,0.392
115107,0.11,0.13,0.117,0.11,0.13,0,0.78,0.03,3.639,0.941
116100,0.23,0.26,0.216,0.47,0.29,0.01,0.8,0.039,1.442,0.327
116105,0.56,0.51,0.47,0.59,0.41,0,1,0.278,1.231,0.175
116108,0.19,0.14,0.2028,0.2,0.22,0,0.78,0.03,2.255,0.846
117101,0.44,0.37,0.3354,0.33,0.36,0.02,0.86,0.021,1.664,0.452
117102,0.1,0.08,0.0621,0.08,0.11,0.13,0.69,0.37,1.735,0.397
118100,0.86,0.91,0.7303,0.63,0.58,0.71,1.09,1,1,0
118105,0.1,0.03,0.066,0.13,0.08,0.27,0.6,1,1,0
119100,0.43,0.48,0.3772,0.44,0.36,0,0.92,0.021,1.503,0.377
120101,0.01,0,0.4452,0.52,0.39,0.07,0.84,1,1,0
121109,0.66,0.89,0.6666,0.64,0.48,0.09,1.01,0.883,1.037,0.028
122100,0.41,0.54,0.36,0.43,0.34,0.04,0.9,0.021,1.542,0.408
123100,0.37,0.32,0.255,0.34,0.32,0,0.85,0.022,1.927,0.581
124105,0.58,0.61,0.4277,0.36,0.37,0,0.91,0.017,1.629,0.395
125100,0.29,0.19,0.1185,0.16,0.08,0,0.79,0.011,3.937,0.979
126100,0.34,0.33,0.2112,0.16,0.17,0,0.96,0.014,2.803,0.972
129100,0.12,0.06,0.0768,0.08,0.07,0.11,0.64,0.233,2.241,0.543
129106,0.12,0.08,0.0792,0.09,0.08,0.03,0.72,0.036,4.735,0.931
133150,0.17,0.09,0.0924,0.1,0.11,0.05,0.84,0.042,3.248,0.878
