hospital_id,region,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,te_input,te_output,te_directional
103100,3,0.42,0.33,0.38,0.23,0.3,0,1,1,0
103101,3,0.14,0.08,0.13,0.09,0.04,0,1,1,0
104100,3,0.24,0.23,0.19,0.11,0.14,0,0.873,1.146,0.068
105100,4,0.23,0.26,0.27,0.23,0.25,0,0.954,1.048,0.024
105101,4,0.25,0.26,0.26,0.15,0.28,0,0.91,1.099,0.047
105102,4,0.13,0.1,0.16,0.14,0.16,0,1,1,0
106100,5,0.45,0.47,0.54,0.29,0.33,0,0.705,1.419,0.173
106102,5,0.09,0.07,0.06,0.34,0.04,0,1,1,0
106103,5,0.09,0.09,0.16,0.12,0.08,0,1,1,0
107100,5,0.47,0.62,0.46,0.45,0.34,0,0.653,1.532,0.21
107101,5,0.15,0.15,0.21,0.19,0.18,0,0.958,1.044,0.021
107102,5,0.12,0.08,0.11,0.07,0.09,0,0.676,1.48,0.194
108100,5,0.14,0.1,0.21,0.11,0.18,0,1,1,0
108101,5,0.11,0.09,0.16,0.1,0.17,0,1,1,0
115100,6,0.4,0.52,0.36,0.34,0.38,0.08,1,1,0
115107,6,0.1,0.09,0.14,0.07,0.13,0,1,1,0
116100,7,0.21,0.23,0.27,0.41,0.28,0.38,1,1,0
116105,7,0.44,0.44,0.39,0.51,0.31,0,0.653,1.53,0.21
116108,7,0.17,0.1,0.29,0.17,0.21,0.07,1,1,0
118100,8,0.78,0.89,0.64,0.74,0.47,0.11,0.776,1.288,0.126
118105,8,0.09,0.03,0.11,0.11,0.08,0.35,1,1,0
119100,8,0.4,0.46,0.42,0.38,0.32,0,0.9,1.111,0.053
120101,8,0.45,0.51,0.53,0.46,0.33,0,0.964,1.038,0.019
121109,9,0.62,0.76,0.73,0.71,0.46,0.08,1,1,0
129100,9,0.11,0.06,0.12,0.07,0.09,0,1,1,0
129106,9,0.12,0.08,0.12,0.08,0.09,0.04,1,1,0
123100,10,0.35,0.3,0.31,0.29,0.3,0,1,1,0
124105,10,0.51,0.51,0.46,0.29,0.28,0,1,1,0
133150,10,0.15,0.08,0.11,0.08,0.1,0.08,1,1,0
109100,13,0.5,0.51,0.58,0.82,0.95,0,1,1,0
109101,13,0.26,0.19,0.14,0.11,0.14,0,0.49,2.042,0.343
110100,13,0.49,0.71,0.49,0.79,0.39,0,0.983,1.017,0.009
110120,13,0.31,0.39,0.28,0.22,0.29,0,0.642,1.557,0.218
110150,13,0.11,0.07,0.11,0.1,0.11,0.01,1,1,0
111100,13,0.55,0.89,0.46,0.55,0.33,0.11,0.954,1.048,0.024
111101,13,0.36,0.35,0.27,0.31,0.15,0.03,0.708,1.413,0.171
111195,13,0.4,0.32,0.12,0.16,0.14,0.07,0.926,1.079,0.038
112100,13,0.35,0.79,0.38,0.38,0.39,0,0.828,1.208,0.094
112101,13,0.18,0.21,0.34,0.01,0.16,0,1,1,0
112102,13,0.22,0.35,0.16,0.19,0.16,0,0.587,1.702,0.26
112103,13,0.1,0.24,0.05,0.1,0.01,0,0.61,1.64,0.242
112104,13,0.1,0.13,0.03,0.05,0.03,0,0.305,3.28,0.533
113100,13,0.62,0.67,0.57,0.71,0.49,0.13,1,1,0
113130,13,0.15,0.12,0.11,0.07,0.12,0,0.644,1.552,0.216
113180,13,0.23,0.18,0.29,0.23,0.17,0,1,1,0
114101,13,0.84,0.72,0.9,0.61,0.64,0.17,1,1,0
114103,13,0.34,0.33,0.39,0.4,0.21,0.02,0.964,1.038,0.019
117101,16,0.4,0.35,0.42,0.31,0.39,0,0.996,1.004,0.002
117102,16,0.09,0.06,0.1,0.07,0.1,0,1,1,0
