hospital_id,region,X21_value_normalized,X22_value_normalized,hospital_discharge_normalized,diagnostic_tests_normalized,surgical_interventions_normalized,medical_consultations_normalized,te_input,te_output,te_directional
103100,3,0.53,0.65,0.37,0.32,0.28,0,1,1,0
103101,3,0.16,0.13,0.14,0.12,0.04,0,1,1,0
104100,3,0.26,0.23,0.21,0.16,0.18,0,1,1,0
105100,4,0.29,0.37,0.23,0.19,0.32,0,1,1,0
105101,4,0.3,0.4,0.26,0.19,0.31,0,1,1,0
105102,4,0.17,0.14,0.15,0.18,0.21,0,1,1,0
106100,5,0.5,0.51,0.38,0.28,0.32,0,1,1,0
106102,5,0.1,0.08,0.07,0.16,0.05,0,1,1,0
106103,5,0.11,0.1,0.13,0.16,0.07,0,1,1,0
107100,5,0.53,0.64,0.39,0.36,0.34,0,1,1,0
107101,5,0.18,0.18,0.18,0.24,0.21,0,1,1,0
107102,5,0.15,0.11,0.12,0.08,0.12,0.02,1,1,0
108100,5,0.15,0.11,0.22,0.14,0.21,0,1,1,0
108101,5,0.12,0.09,0.15,0.11,0.22,0,1,1,0
115100,6,0.56,0.58,0.41,0.44,0.48,0.1,1,1,0
115107,6,0.12,0.16,0.16,0.12,0.14,0,1,1,0
116100,7,0.23,0.31,0.28,0.46,0.33,0,1,1,0
116105,7,0.61,0.53,0.55,0.68,0.46,0,1,1,0
116108,7,0.19,0.15,0.25,0.21,0.25,0,1,1,0
118100,8,0.9,1.02,0.69,0.83,0.62,0.75,1,1,0
118105,8,0.1,0.04,0.11,0.14,0.09,0.3,1,1,0
119100,8,0.46,0.54,0.43,0.44,0.39,0,0.019,1.374,0.305
120101,8,0.01,0.01,0.55,0.58,0.45,0.08,1,1,0
121109,9,0.66,0.92,0.67,0.77,0.53,0.1,1,1,0
129100,9,0.13,0.07,0.11,0.08,0.09,0.08,1,1,0
129106,9,0.13,0.09,0.12,0.11,0.1,0.04,1,1,0
123100,10,0.39,0.35,0.31,0.38,0.36,0,1,1,0
124105,10,0.62,0.67,0.46,0.4,0.42,0.97,1,1,0
133150,10,0.19,0.09,0.11,0.11,0.13,0.03,1,1,0
109100,13,0.56,0.51,0.56,0.96,1,0,1,1,0
109101,13,0.28,0.16,0.15,0.12,0.13,0,0.575,1.684,0.262
110100,13,0.56,0.7,0.49,0.89,0.42,0,0.927,1.079,0.038
110120,13,0.37,0.44,0.33,0.3,0.32,0,0.78,1.257,0.123
110150,13,0.12,0.07,0.11,0.12,0.11,0.01,1,1,0
111100,13,0.62,0.86,0.57,0.63,0.35,0.1,1,1,0
111101,13,0.49,0.43,0.34,0.48,0.24,0.07,1,1,0
111195,13,0.39,0.35,0.13,0.21,0.16,0.08,1,1,0
112100,13,0.39,0.8,0.18,0.43,0.37,0,0.643,1.555,0.217
112101,13,0.22,0.16,0.3,0,0.16,0,1,1,0
112102,13,0.25,0.33,0.14,0.19,0.16,0,0.529,1.891,0.308
112103,13,0.11,0.29,0.07,0.11,0.02,0,0.622,1.607,0.233
112104,13,0.1,0.13,0.04,0.05,0.05,0,0.371,2.695,0.459
113100,13,0.68,0.7,0.64,0.87,0.56,0.08,1,1,0
113130,13,0.2,0.16,0.1,0.08,0.12,0,0.456,2.195,0.374
113180,13,0.26,0.18,0.29,0.27,0.23,0,1,1,0
114101,13,0.98,0.96,0.85,0.69,0.75,0.19,1,1,0
114103,13,0.4,0.37,0.41,0.49,0.24,0.02,0.99,1.01,0.005
117101,16,0.46,0.4,0.38,0.36,0.45,0,1,1,0
117102,16,0.11,0.08,0.12,0.09,0.15,0.23,1,1,0
