te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
0,0.009,0.009,1,0.067,0.067,0.021,0.015,0.016,0.02,0.022,0.021,0.18,0.025,0.027,0.009,0.008,0.008,0,0.009,0.009,0.989,0.068,0.068,0.021,0.015,0.016
0.009,0,0.001,0.997,0.066,0.066,0.019,0.017,0.017,0.018,0.019,0.019,0.177,0.022,0.024,0.012,0.012,0.012,0.009,0.001,0.001,0.986,0.066,0.066,0.019,0.017,0.017
0.009,0.001,0,0.997,0.066,0.066,0.019,0.018,0.018,0.018,0.02,0.019,0.177,0.022,0.024,0.012,0.012,0.012,0.009,0.001,0.001,0.987,0.067,0.067,0.019,0.018,0.018
1,0.997,0.997,0,0.942,0.942,0.981,0.987,0.987,0.982,0.981,0.981,0.974,0.978,0.976,0.997,0.998,0.998,1,0.997,0.997,0.034,0.942,0.942,0.981,0.987,0.987
0.067,0.066,0.066,0.942,0,0,0.051,0.055,0.054,0.053,0.051,0.052,0.18,0.049,0.048,0.065,0.066,0.066,0.067,0.066,0.066,0.931,0.002,0.002,0.051,0.055,0.054
0.067,0.066,0.066,0.942,0,0,0.051,0.055,0.054,0.053,0.051,0.052,0.18,0.049,0.048,0.065,0.066,0.066,0.067,0.066,0.066,0.931,0.002,0.002,0.051,0.055,0.054
0.021,0.019,0.019,0.981,0.051,0.051,0,0.011,0.011,0.007,0.006,0.006,0.175,0.007,0.01,0.019,0.021,0.02,0.021,0.019,0.019,0.97,0.051,0.051,0,0.012,0.012
0.015,0.017,0.018,0.987,0.055,0.055,0.011,0,0,0.013,0.013,0.013,0.179,0.016,0.017,0.014,0.014,0.014,0.015,0.017,0.018,0.977,0.055,0.055,0.011,0.001,0.001
0.016,0.017,0.018,0.987,0.054,0.054,0.011,0,0,0.013,0.013,0.013,0.179,0.015,0.017,0.014,0.015,0.014,0.016,0.018,0.018,0.976,0.054,0.054,0.011,0.001,0.001
0.02,0.018,0.018,0.982,0.053,0.053,0.007,0.013,0.013,0,0.005,0.004,0.179,0.01,0.013,0.02,0.02,0.02,0.02,0.017,0.018,0.972,0.053,0.053,0.007,0.013,0.013
0.022,0.019,0.02,0.981,0.051,0.051,0.006,0.013,0.013,0.005,0,0.003,0.177,0.008,0.011,0.021,0.022,0.021,0.022,0.019,0.02,0.97,0.052,0.052,0.006,0.013,0.013
0.021,0.019,0.019,0.981,0.052,0.052,0.006,0.013,0.013,0.004,0.003,0,0.178,0.009,0.013,0.02,0.021,0.021,0.021,0.019,0.019,0.971,0.052,0.052,0.006,0.013,0.013
0.18,0.177,0.177,0.974,0.18,0.18,0.175,0.179,0.179,0.179,0.177,0.178,0,0.173,0.173,0.176,0.18,0.18,0.18,0.177,0.177,0.963,0.18,0.18,0.175,0.179,0.179
0.025,0.022,0.022,0.978,0.049,0.049,0.007,0.016,0.015,0.01,0.008,0.009,0.173,0,0.006,0.022,0.024,0.024,0.025,0.022,0.022,0.967,0.05,0.05,0.007,0.016,0.016
0.027,0.024,0.024,0.976,0.048,0.048,0.01,0.017,0.017,0.013,0.011,0.013,0.173,0.006,0,0.024,0.026,0.025,0.027,0.024,0.024,0.966,0.049,0.049,0.01,0.017,0.017
0.009,0.012,0.012,0.997,0.065,0.065,0.019,0.014,0.014,0.02,0.021,0.02,0.176,0.022,0.024,0,0.005,0.004,0.009,0.012,0.012,0.986,0.065,0.065,0.019,0.014,0.014
0.008,0.012,0.012,0.998,0.066,0.066,0.021,0.014,0.015,0.02,0.022,0.021,0.18,0.024,0.026,0.005,0,0.002,0.008,0.012,0.012,0.988,0.066,0.066,0.021,0.014,0.015
