te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
0,0,0,0,0,0,0.381,0.581,0.736,0.62,0.55,0.51,0.955,0.955,0.955,0.955,0.955,0.955
0,0,0,0,0,0,0.381,0.581,0.736,0.62,0.55,0.51,0.955,0.955,0.955,0.955,0.955,0.955
0,0,0,0,0,0,0.381,0.581,0.736,0.62,0.55,0.51,0.955,0.955,0.955,0.955,0.955,0.955
0,0,0,0,0,0,0.381,0.581,0.736,0.62,0.55,0.51,0.955,0.955,0.955,0.955,0.955,0.955
0,0,0,0,0,0,0.381,0.581,0.736,0.62,0.55,0.51,0.955,0.955,0.955,0.955,0.955,0.955
0,0,0,0,0,0,0.381,0.581,0.736,0.62,0.55,0.51,0.955,0.955,0.955,0.955,0.955,0.955
0.381,0.381,0.381,0.381,0.381,0.381,0,0.285,0.496,0.496,0.529,0.562,0.948,0.948,0.948,0.948,0.948,0.948
0.581,0.581,0.581,0.581,0.581,0.581,0.285,0,0.244,0.35,0.46,0.535,0.976,0.976,0.976,0.976,0.976,0.976
0.736,0.736,0.736,0.736,0.736,0.736,0.496,0.244,0,0.255,0.419,0.525,1,1,1,1,1,1
0.62,0.62,0.62,0.62,0.62,0.62,0.496,0.35,0.255,0,0.183,0.299,0.966,0.966,0.966,0.966,0.966,0.966
0.55,0.55,0.55,0.55,0.55,0.55,0.529,0.46,0.419,0.183,0,0.126,0.938,0.938,0.938,0.938,0.938,0.938
0.51,0.51,0.51,0.51,0.51,0.51,0.562,0.535,0.525,0.299,0.126,0,0.93,0.93,0.93,0.93,0.93,0.93
0.955,0.955,0.955,0.955,0.955,0.955,0.948,0.976,1,0.966,0.938,0.93,0,0,0,0,0,0
0.955,0.955,0.955,0.955,0.955,0.955,0.948,0.976,1,0.966,0.938,0.93,0,0,0,0,0,0
0.955,0.955,0.955,0.955,0.955,0.955,0.948,0.976,1,0.966,0.938,0.93,0,0,0,0,0,0
0.955,0.955,0.955,0.955,0.955,0.955,0.948,0.976,1,0.966,0.938,0.93,0,0,0,0,0,0
0.955,0.955,0.955,0.955,0.955,0.955,0.948,0.976,1,0.966,0.938,0.93,0,0,0,0,0,0
0.955,0.955,0.955,0.955,0.955,0.955,0.948,0.976,1,0.966,0.938,0.93,0,0,0,0,0,0
