te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_directional_crs,te_directional_vrs,te_directional_nirs,te_input_region_crs,te_input_region_vrs,te_input_region_nirs,te_output_region_crs,te_output_region_vrs,te_output_region_nirs,te_directional_region_crs,te_directional_region_vrs,te_directional_region_nirs,te_input_grd_crs,te_input_grd_vrs,te_input_grd_nirs,te_output_grd_crs,te_output_grd_vrs,te_output_grd_nirs,te_directional_grd_crs,te_directional_grd_vrs,te_directional_grd_nirs
0,0.305,0.307,0.884,0.781,0.781,0.768,0.86,0.861,0.581,0.579,0.573,0.781,0.592,0.612,0.81,0.889,0.887,0,0.327,0.329,0.88,0.765,0.765,0.768,0.86,0.861
0.305,0,0.002,0.723,0.728,0.728,0.56,0.863,0.863,0.452,0.46,0.453,0.598,0.461,0.488,0.782,0.91,0.907,0.305,0.009,0.011,0.714,0.714,0.714,0.56,0.867,0.867
0.307,0.002,0,0.769,0.785,0.785,0.601,0.916,0.917,0.488,0.498,0.489,0.605,0.502,0.529,0.799,0.924,0.924,0.307,0.011,0.009,0.758,0.77,0.77,0.601,0.92,0.92
0.884,0.723,0.769,0,0.155,0.155,0.086,0.126,0.125,0.158,0.137,0.154,0.815,0.139,0.136,0.564,0.642,0.591,0.882,0.713,0.756,0.006,0.15,0.15,0.087,0.138,0.137
0.781,0.728,0.785,0.155,0,0,0.155,0.098,0.091,0.21,0.19,0.204,0.794,0.149,0.158,0.489,0.547,0.51,0.779,0.729,0.783,0.167,0.013,0.013,0.156,0.101,0.094
0.781,0.728,0.785,0.155,0,0,0.155,0.098,0.091,0.21,0.19,0.204,0.794,0.149,0.158,0.489,0.547,0.51,0.779,0.729,0.783,0.167,0.013,0.013,0.156,0.101,0.094
0.768,0.56,0.601,0.086,0.155,0.155,0,0.107,0.109,0.052,0.035,0.043,0.715,0.035,0.049,0.516,0.622,0.583,0.767,0.549,0.588,0.073,0.122,0.122,0,0.115,0.117
0.86,0.863,0.916,0.126,0.098,0.098,0.107,0,0,0.167,0.145,0.161,0.833,0.152,0.151,0.501,0.56,0.514,0.859,0.865,0.915,0.118,0.066,0.066,0.107,0.002,0.002
0.861,0.863,0.917,0.125,0.091,0.091,0.109,0,0,0.17,0.148,0.163,0.833,0.153,0.151,0.504,0.563,0.517,0.86,0.865,0.916,0.117,0.061,0.061,0.109,0.002,0.002
0.581,0.452,0.488,0.158,0.21,0.21,0.052,0.167,0.17,0,0.017,0.012,0.827,0.066,0.099,0.601,0.619,0.604,0.58,0.445,0.479,0.143,0.168,0.168,0.052,0.177,0.18
0.579,0.46,0.498,0.137,0.19,0.19,0.035,0.145,0.148,0.017,0,0.005,0.809,0.049,0.064,0.555,0.638,0.602,0.577,0.454,0.489,0.123,0.151,0.151,0.035,0.154,0.156
0.573,0.453,0.489,0.154,0.204,0.204,0.043,0.161,0.163,0.012,0.005,0,0.813,0.058,0.093,0.569,0.635,0.62,0.572,0.445,0.479,0.137,0.162,0.162,0.043,0.171,0.173
