te_input_crs,te_input_vrs,te_input_nirs,te_output_crs,te_output_vrs,te_output_nirs,te_input_crs_grd,te_input_vrs_grd,te_input_nirs_grd,te_output_crs_grd,te_output_vrs_grd,te_output_nirs_grd,te_input_crs_region,te_input_vrs_region,te_input_nirs_region,te_output_crs_region,te_output_vrs_region,te_output_nirs_region
0,0,0,0,0,0,0.002,0.003,0.005,0.004,0.003,0.003,0.01,0.01,0.01,0.01,0.01,0.01
0,0,0,0,0,0,0.002,0.003,0.005,0.004,0.003,0.003,0.01,0.01,0.01,0.01,0.01,0.01
0,0,0,0,0,0,0.002,0.003,0.005,0.004,0.003,0.003,0.01,0.01,0.01,0.01,0.01,0.01
0,0,0,0,0,0,0.002,0.003,0.005,0.004,0.003,0.003,0.01,0.01,0.01,0.01,0.01,0.01
0,0,0,0,0,0,0.002,0.003,0.005,0.004,0.003,0.003,0.01,0.01,0.01,0.01,0.01,0.01
0,0,0,0,0,0,0.002,0.003,0.005,0.004,0.003,0.003,0.01,0.01,0.01,0.01,0.01,0.01
0.002,0.002,0.002,0.002,0.002,0.002,0,0.001,0.002,0.002,0.003,0.003,0.01,0.01,0.01,0.01,0.01,0.01
0.003,0.003,0.003,0.003,0.003,0.003,0.001,0,0.001,0.001,0.002,0.003,0.01,0.01,0.01,0.01,0.01,0.01
0.005,0.005,0.005,0.005,0.005,0.005,0.002,0.001,0,0.001,0.002,0.003,0.01,0.01,0.01,0.01,0.01,0.01
0.004,0.004,0.004,0.004,0.004,0.004,0.002,0.001,0.001,0,0,0.001,0.009,0.009,0.009,0.009,0.009,0.009
0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0,0,0,0.009,0.009,0.009,0.009,0.009,0.009
0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.001,0,0,0.009,0.009,0.009,0.009,0.009,0.009
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0,0,0,0,0,0
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0,0,0,0,0,0
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0,0,0,0,0,0
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0,0,0,0,0,0
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0,0,0,0,0,0
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0,0,0,0,0,0
